No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,15400.291,55,30910.582,30915.933,31190.856
2,JC+I,15205.646,56,30523.292,30528.843,30808.662
3,JC+G4,15141.768,56,30395.536,30401.087,30680.906
4,JC+I+G4,15124.566,57,30363.132,30368.886,30653.597
5,F81+F,15341.302,58,30798.604,30804.565,31094.165
6,F81+F+I,15147.839,59,30413.678,30419.851,30714.336
7,F81+F+G4,15091.079,59,30300.157,30306.330,30600.815
8,F81+F+I+G4,15072.145,60,30264.291,30270.678,30570.044
9,K2P,15048.950,56,30209.901,30215.452,30495.271
10,K2P+I,14839.035,57,29792.070,29797.825,30082.536
11,K2P+G4,14756.508,57,29627.017,29632.771,29917.483
12,K2P+I+G4,14740.700,58,29597.401,29603.362,29892.962
13,HKY+F,15030.068,59,30178.135,30184.308,30478.793
14,HKY+F+I,14815.648,60,29751.295,29757.683,30057.049
15,HKY+F+G4,14736.638,60,29593.276,29599.664,29899.030
16,HKY+F+I+G4,14719.396,61,29560.792,29567.398,29871.642
17,TNe,15045.774,57,30205.548,30211.303,30496.014
18,TNe+I,14837.475,58,29790.950,29796.911,30086.512
19,TNe+G4,14756.257,58,29628.514,29634.475,29924.075
20,TNe+I+G4,14740.353,59,29598.707,29604.879,29899.364
21,TN+F,14988.992,60,30097.985,30104.372,30403.739
22,TN+F+I,14781.842,61,29685.685,29692.291,29996.534
23,TN+F+G4,14707.225,61,29536.449,29543.055,29847.299
24,TN+F+I+G4,14689.275,62,29502.549,29509.378,29818.494
25,K3P,15048.942,57,30211.884,30217.638,30502.350
26,K3P+I,14839.030,58,29794.060,29800.021,30089.622
27,K3P+G4,14756.497,58,29628.995,29634.956,29924.556
28,K3P+I+G4,14740.690,59,29599.379,29605.552,29900.037
29,K3Pu+F,15030.068,60,30180.135,30186.523,30485.889
30,K3Pu+F+I,14815.648,61,29753.297,29759.903,30064.146
31,K3Pu+F+G4,14736.638,61,29595.276,29601.883,29906.126
32,K3Pu+F+I+G4,14719.397,62,29562.793,29569.622,29878.739
33,TPM2+F,15025.549,60,30171.098,30177.486,30476.852
34,TPM2+F+I,14811.357,61,29744.714,29751.320,30055.563
35,TPM2+F+G4,14732.715,61,29587.430,29594.036,29898.279
36,TPM2+F+I+G4,14715.278,62,29554.556,29561.385,29870.502
37,TPM2u+F,15025.550,60,30171.099,30177.487,30476.853
38,TPM2u+F+I,14811.357,61,29744.715,29751.321,30055.564
