No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,13243.290,51,26588.580,26602.916,26794.876
2,Dayhoff+I,13187.721,52,26479.443,26494.380,26689.783
3,Dayhoff+G4,12897.728,52,25899.456,25914.394,26109.796
4,Dayhoff+I+G4,12891.683,53,25889.367,25904.921,26103.752
5,Dayhoff+F,13157.412,70,26454.824,26483.143,26737.975
6,Dayhoff+F+I,13106.033,71,26354.067,26383.278,26641.262
7,Dayhoff+F+G4,12808.229,71,25758.459,25787.670,26045.654
8,Dayhoff+F+I+G4,12803.370,72,25750.741,25780.861,26041.981
9,mtMAM,14432.468,51,28966.935,28981.271,29173.231
10,mtMAM+I,14328.848,52,28761.695,28776.633,28972.036
11,mtMAM+G4,13629.041,52,27362.082,27377.020,27572.422
12,mtMAM+I+G4,13628.281,53,27362.562,27378.116,27576.947
13,mtMAM+F,13577.957,70,27295.914,27324.233,27579.065
14,mtMAM+F+I,13474.616,71,27091.232,27120.443,27378.427
15,mtMAM+F+G4,13046.268,71,26234.536,26263.747,26521.731
16,mtMAM+F+I+G4,13041.245,72,26226.490,26256.611,26517.731
17,JTT,12837.075,51,25776.150,25790.485,25982.445
18,JTT+I,12783.386,52,25670.771,25685.709,25881.112
19,JTT+G4,12545.679,52,25195.358,25210.296,25405.698
20,JTT+I+G4,12542.443,53,25190.886,25206.440,25405.271
21,JTT+F,12799.403,70,25738.805,25767.124,26021.956
22,JTT+F+I,12746.661,71,25635.322,25664.533,25922.517
23,JTT+F+G4,12519.196,71,25180.393,25209.604,25467.588
24,JTT+F+I+G4,12516.109,72,25176.219,25206.339,25467.459
25,WAG,12968.242,51,26038.485,26052.820,26244.780
26,WAG+I,12917.822,52,25939.644,25954.581,26149.984
27,WAG+G4,12690.030,52,25484.060,25498.997,25694.400
28,WAG+I+G4,12686.546,53,25479.092,25494.647,25693.477
29,WAG+F,12947.078,70,26034.156,26062.475,26317.306
30,WAG+F+I,12899.916,71,25941.832,25971.043,26229.027
31,WAG+F+G4,12669.782,71,25481.564,25510.775,25768.759
32,WAG+F+I+G4,12666.810,72,25477.621,25507.741,25768.861
33,cpREV,13154.593,51,26411.185,26425.521,26617.481
34,cpREV+I,13065.986,52,26235.972,26250.909,26446.312
35,cpREV+G4,12806.166,52,25716.332,25731.270,25926.672
36,cpREV+I+G4,12798.311,53,25702.622,25718.177,25917.008
37,cpREV+F,13176.629,70,26493.259,26521.578,26776.409
38,cpREV+F+I,13085.522,71,26313.045,26342.256,26600.240
39,cpREV+F+G4,12818.701,71,25779.401,25808.613,26066.597
