No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,3625.322,87,7424.644,7640.306,7691.639
2,Dayhoff+I,3356.660,88,6889.319,7113.091,7159.383
3,Dayhoff+G4,3211.871,88,6599.741,6823.512,6869.805
4,Dayhoff+I+G4,3194.999,89,6567.998,6800.172,6841.130
5,Dayhoff+F,3622.795,106,7457.590,7893.821,7782.894
6,Dayhoff+F+I,3355.871,107,6925.742,7378.918,7254.115
7,Dayhoff+F+G4,3203.906,107,6621.813,7074.989,6950.186
8,Dayhoff+F+I+G4,3187.899,108,6591.798,7062.678,6923.240
9,mtMAM,3911.583,87,7997.167,8212.829,8264.162
10,mtMAM+I,3617.249,88,7410.498,7634.269,7680.562
11,mtMAM+G4,3328.696,88,6833.393,7057.164,7103.457
12,mtMAM+I+G4,3323.329,89,6824.658,7056.832,7097.790
13,mtMAM+F,3770.419,106,7752.838,8189.069,8078.142
14,mtMAM+F+I,3481.654,107,7177.309,7630.485,7505.682
15,mtMAM+F+G4,3218.812,107,6651.623,7104.800,6979.996
16,mtMAM+F+I+G4,3206.690,108,6629.379,7100.259,6960.821
17,JTT,3492.118,87,7158.236,7373.898,7425.231
18,JTT+I,3238.042,88,6652.083,6875.854,6922.147
19,JTT+G4,3119.172,88,6414.343,6638.115,6684.407
20,JTT+I+G4,3111.191,89,6400.381,6632.555,6673.514
21,JTT+F,3492.101,106,7196.202,7632.433,7521.506
22,JTT+F+I,3241.354,107,6696.709,7149.885,7025.082
23,JTT+F+G4,3117.941,107,6449.882,6903.059,6778.255
24,JTT+F+I+G4,3109.708,108,6435.416,6906.296,6766.857
25,WAG,3544.821,87,7263.641,7479.303,7530.636
26,WAG+I,3305.804,88,6787.608,7011.379,7057.671
27,WAG+G4,3177.877,88,6531.755,6755.526,6801.818
28,WAG+I+G4,3168.988,89,6515.976,6748.150,6789.109
29,WAG+F,3530.315,106,7272.630,7708.861,7597.934
30,WAG+F+I,3292.314,107,6798.628,7251.805,7127.001
31,WAG+F+G4,3158.939,107,6531.879,6985.055,6860.251
32,WAG+F+I+G4,3150.490,108,6516.981,6987.861,6848.422
33,cpREV,3567.939,87,7309.878,7525.540,7576.872
34,cpREV+I,3328.925,88,6833.850,7057.621,7103.913
35,cpREV+G4,3172.304,88,6520.609,6744.380,6790.672
36,cpREV+I+G4,3161.575,89,6501.149,6733.323,6774.282
37,cpREV+F,3558.283,106,7328.565,7764.796,7653.869
38,cpREV+F+I,3320.738,107,6855.477,7308.653,7183.849
39,cpREV+F+G4,3164.094,107,6542.189,6995.365,6870.561
40,cpREV+F+I+G4,3152.133,108,6520.266,6991.146,6851.708
41,mtREV,3752.031,87,7678.062,7893.724,7945.057
42,mtREV+I,3504.760,88,7185.520,7409.291,7455.583
43,mtREV+G4,3296.855,88,6769.710,6993.481,7039.773
44,mtREV+I+G4,3285.745,89,6749.491,6981.665,7022.623
45,mtREV+F,3626.180,106,7464.360,7900.591,7789.664
46,mtREV+F+I,3381.176,107,6976.351,7429.528,7304.724
47,mtREV+F+G4,3192.557,107,6599.115,7052.291,6927.488
48,mtREV+F+I+G4,3180.842,108,6577.684,7048.564,6909.126
49,rtREV,3592.315,87,7358.629,7574.291,7625.624
50,rtREV+I,3356.131,88,6888.262,7112.034,7158.326
51,rtREV+G4,3216.296,88,6608.593,6832.364,6878.657
52,rtREV+I+G4,3210.899,89,6599.798,6831.972,6872.930
53,rtREV+F,3553.881,106,7319.761,7755.992,7645.065
54,rtREV+F+I,3318.485,107,6850.970,7304.146,7179.343
55,rtREV+F+G4,3171.392,107,6556.784,7009.960,6885.156
56,rtREV+F+I+G4,3165.424,108,6546.848,7017.728,6878.289
57,mtART,3923.140,87,8020.280,8235.942,8287.275
58,mtART+I,3654.258,88,7484.515,7708.286,7754.579
59,mtART+G4,3361.321,88,6898.641,7122.413,7168.705
60,mtART+I+G4,3344.206,89,6866.412,7098.586,7139.545
61,mtART+F,3782.496,106,7776.991,8213.222,8102.295
62,mtART+F+I,3514.606,107,7243.213,7696.389,7571.586
