No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,24434.063,71,49010.126,49016.983,49390.285
2,Dayhoff+I,24169.973,72,48483.947,48491.002,48869.461
3,Dayhoff+G4,23769.371,72,47682.742,47689.797,48068.256
4,Dayhoff+I+G4,23769.493,73,47684.987,47692.243,48075.855
5,Dayhoff+F,24182.393,90,48544.787,48555.914,49026.679
6,Dayhoff+F+I,23900.402,91,47982.804,47994.187,48470.051
7,Dayhoff+F+G4,23474.640,91,47131.281,47142.663,47618.528
8,Dayhoff+F+I+G4,23474.280,92,47132.560,47144.201,47625.162
9,mtMAM,25772.811,71,51687.622,51694.479,52067.782
10,mtMAM+I,25526.608,72,51197.217,51204.272,51582.731
11,mtMAM+G4,24817.647,72,49779.295,49786.350,50164.809
12,mtMAM+I+G4,24818.223,73,49782.446,49789.702,50173.314
13,mtMAM+F,24499.820,90,49179.641,49190.769,49661.534
14,mtMAM+F+I,24215.676,91,48613.352,48624.735,49100.599
15,mtMAM+F+G4,23645.163,91,47472.326,47483.709,47959.573
16,mtMAM+F+I+G4,23645.171,92,47474.342,47485.983,47966.943
17,JTT,24176.724,71,48495.447,48502.305,48875.607
18,JTT+I,23874.476,72,47892.952,47900.007,48278.466
19,JTT+G4,23507.014,72,47158.029,47165.084,47543.543
20,JTT+I+G4,23506.031,73,47158.061,47165.317,47548.930
21,JTT+F,23966.752,90,48113.503,48124.631,48595.396
22,JTT+F+I,23643.453,91,47468.905,47480.288,47956.152
23,JTT+F+G4,23256.366,91,46694.732,46706.115,47181.979
24,JTT+F+I+G4,23254.900,92,46693.800,46705.441,47186.401
25,WAG,24739.170,71,49620.341,49627.198,50000.501
26,WAG+I,24432.527,72,49009.054,49016.109,49394.568
27,WAG+G4,24031.584,72,48207.168,48214.223,48592.682
28,WAG+I+G4,24030.824,73,48207.647,48214.903,48598.516
29,WAG+F,24375.266,90,48930.531,48941.659,49412.424
30,WAG+F+I,24049.625,91,48281.250,48292.633,48768.497
31,WAG+F+G4,23622.689,91,47427.377,47438.760,47914.624
32,WAG+F+I+G4,23621.414,92,47426.828,47438.469,47919.429
33,cpREV,25068.735,71,50279.469,50286.326,50659.629
34,cpREV+I,24739.186,72,49622.371,49629.426,50007.886
35,cpREV+G4,24281.592,72,48707.184,48714.239,49092.698
36,cpREV+I+G4,24280.163,73,48706.327,48713.583,49097.195
37,cpREV+F,24528.128,90,49236.256,49247.383,49718.148
38,cpREV+F+I,24186.684,91,48555.368,48566.751,49042.615
39,cpREV+F+G4,23688.503,91,47559.006,47570.388,48046.253
40,cpREV+F+I+G4,23686.968,92,47557.935,47569.576,48050.537
41,mtREV,25221.848,71,50585.695,50592.553,50965.855
42,mtREV+I,24987.847,72,50119.695,50126.750,50505.209
43,mtREV+G4,24472.003,72,49088.006,49095.061,49473.520
44,mtREV+I+G4,24472.563,73,49091.127,49098.383,49481.995
45,mtREV+F,24260.548,90,48701.097,48712.224,49182.989
46,mtREV+F+I,23993.526,91,48169.052,48180.434,48656.298
47,mtREV+F+G4,23502.649,91,47187.298,47198.680,47674.545
48,mtREV+F+I+G4,23502.413,92,47188.826,47200.467,47681.428
49,rtREV,24993.239,71,50128.478,50135.335,50508.638
50,rtREV+I,24695.845,72,49535.691,49542.746,49921.205
51,rtREV+G4,24248.078,72,48640.156,48647.211,49025.670
52,rtREV+I+G4,24247.520,73,48641.041,48648.297,49031.909
53,rtREV+F,24473.634,90,49127.267,49138.395,49609.160
54,rtREV+F+I,24190.500,91,48563.000,48574.382,49050.247
55,rtREV+F+G4,23728.032,91,47638.063,47649.446,48125.310
56,rtREV+F+I+G4,23727.555,92,47639.109,47650.750,48131.711
57,mtART,26353.826,71,52849.652,52856.509,53229.811
58,mtART+I,26059.510,72,52263.019,52270.074,52648.534
