No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,17080.709,75,34311.418,34320.809,34698.598
2,Dayhoff+I,16486.400,76,33124.801,33134.449,33517.143
3,Dayhoff+G4,16224.772,76,32601.543,32611.192,32993.886
4,Dayhoff+I+G4,16218.259,77,32590.517,32600.428,32988.022
5,Dayhoff+F,17021.749,94,34231.497,34246.443,34716.762
6,Dayhoff+F+I,16428.625,95,33047.249,33062.526,33537.677
7,Dayhoff+F+G4,16156.003,95,32502.005,32517.282,32992.433
8,Dayhoff+F+I+G4,16150.393,96,32492.787,32508.398,32988.377
9,mtMAM,18584.965,75,37319.930,37329.320,37707.110
10,mtMAM+I,17773.775,76,35699.550,35709.199,36091.892
11,mtMAM+G4,17185.174,76,34522.347,34531.996,34914.690
12,mtMAM+I+G4,17169.478,77,34492.957,34502.868,34890.461
13,mtMAM+F,17647.474,94,35482.948,35497.893,35968.213
14,mtMAM+F+I,16900.145,95,33990.289,34005.566,34480.717
15,mtMAM+F+G4,16458.768,95,33107.535,33122.812,33597.963
16,mtMAM+F+I+G4,16445.146,96,33082.291,33097.903,33577.882
17,JTT,16895.098,75,33940.197,33949.587,34327.377
18,JTT+I,16277.323,76,32706.646,32716.295,33098.988
19,JTT+G4,16038.031,76,32228.062,32237.711,32620.405
20,JTT+I+G4,16031.265,77,32216.530,32226.441,32614.035
21,JTT+F,16836.949,94,33861.897,33876.843,34347.163
22,JTT+F+I,16224.519,95,32639.038,32654.314,33129.466
23,JTT+F+G4,15983.520,95,32157.040,32172.316,32647.468
24,JTT+F+I+G4,15976.648,96,32145.295,32160.906,32640.885
25,WAG,17196.147,75,34542.293,34551.684,34929.473
26,WAG+I,16600.150,76,33352.300,33361.949,33744.642
27,WAG+G4,16338.262,76,32828.525,32838.173,33220.867
28,WAG+I+G4,16330.897,77,32815.795,32825.706,33213.299
29,WAG+F,17143.264,94,34474.528,34489.474,34959.793
30,WAG+F+I,16555.814,95,33301.628,33316.904,33792.055
31,WAG+F+G4,16285.364,95,32760.727,32776.004,33251.155
32,WAG+F+I+G4,16278.275,96,32748.551,32764.162,33244.141
33,cpREV,17398.867,75,34947.734,34957.124,35334.914
34,cpREV+I,16783.585,76,33719.171,33728.819,34111.513
35,cpREV+G4,16461.550,76,33075.100,33084.748,33467.442
36,cpREV+I+G4,16453.497,77,33060.994,33070.905,33458.499
37,cpREV+F,17285.072,94,34758.144,34773.089,35243.409
38,cpREV+F+I,16685.022,95,33560.043,33575.319,34050.471
39,cpREV+F+G4,16347.168,95,32884.337,32899.613,33374.765
