No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,17827.094,67,35788.187,35799.692,36106.902
2,Dayhoff+I,17277.167,68,34690.334,34702.198,35013.806
3,Dayhoff+G4,16846.139,68,33828.278,33840.141,34151.749
4,Dayhoff+I+G4,16832.432,69,33802.865,33815.093,34131.093
5,Dayhoff+F,17781.824,86,35735.649,35755.007,36144.745
6,Dayhoff+F+I,17239.250,87,34652.500,34672.334,35066.353
7,Dayhoff+F+G4,16796.817,87,33767.634,33787.468,34181.487
8,Dayhoff+F+I+G4,16785.301,88,33746.601,33766.918,34165.211
9,mtMAM,19469.619,67,39073.237,39084.742,39391.952
10,mtMAM+I,18996.440,68,38128.880,38140.744,38452.352
11,mtMAM+G4,17854.008,68,35844.016,35855.879,36167.487
12,mtMAM+I+G4,17850.806,69,35839.612,35851.840,36167.841
13,mtMAM+F,18639.212,86,37450.425,37469.783,37859.521
14,mtMAM+F+I,18105.296,87,36384.592,36404.426,36798.445
15,mtMAM+F+G4,17250.921,87,34675.841,34695.675,35089.694
16,mtMAM+F+I+G4,17241.435,88,34658.870,34679.186,35077.480
17,JTT,17495.835,67,35125.669,35137.174,35444.383
18,JTT+I,16993.186,68,34122.373,34134.236,34445.844
19,JTT+G4,16568.483,68,33272.966,33284.829,33596.437
20,JTT+I+G4,16563.862,69,33265.723,33277.951,33593.952
21,JTT+F,17509.758,86,35191.515,35210.874,35600.612
22,JTT+F+I,17007.704,87,34189.407,34209.241,34603.260
23,JTT+F+G4,16580.421,87,33334.842,33354.677,33748.696
24,JTT+F+I+G4,16576.264,88,33328.529,33348.845,33747.139
25,WAG,17534.890,67,35203.781,35215.286,35522.495
26,WAG+I,17038.809,68,34213.617,34225.481,34537.089
27,WAG+G4,16639.116,68,33414.232,33426.095,33737.703
28,WAG+I+G4,16632.278,69,33402.557,33414.784,33730.785
29,WAG+F,17548.585,86,35269.170,35288.528,35678.266
30,WAG+F+I,17052.661,87,34279.323,34299.157,34693.176
31,WAG+F+G4,16638.908,87,33451.815,33471.649,33865.668
32,WAG+F+I+G4,16632.994,88,33441.988,33462.305,33860.598
33,cpREV,17699.155,67,35532.309,35543.814,35851.023
34,cpREV+I,17222.142,68,34580.284,34592.147,34903.755
35,cpREV+G4,16775.894,68,33687.788,33699.652,34011.260
36,cpREV+I+G4,16768.601,69,33675.202,33687.430,34003.431
37,cpREV+F,17638.899,86,35449.798,35469.156,35858.894
38,cpREV+F+I,17144.687,87,34463.375,34483.209,34877.228
39,cpREV+F+G4,16713.059,87,33600.118,33619.952,34013.971
40,cpREV+F+I+G4,16703.781,88,33583.562,33603.878,34002.172
41,mtREV,18675.391,67,37484.782,37496.287,37803.496
