dataset,species,datatype,ref_num,est_num,sp,tc
EMGT00050000008675,Drosophila,AA,19,50,0.9808079114984914,0.896551724137931
EMGT00050000008675,Drosophila,AA,3,50,0.9686699424635673,0.8821138211382114
EMGT00050000008675,Drosophila,AA,45,50,0.9796517726033145,0.888663967611336
EMGT00050000008675,Drosophila,AA,1,50,0.9717154811715482,0.9040816326530612
EMGT00050000008675,Drosophila,AA,47,50,0.9690587841232624,0.8895705521472392
EMGT00050000008675,Drosophila,AA,26,50,0.9837992109460254,0.9109311740890689
EMGT00050000008675,Drosophila,AA,22,50,0.9739057591623037,0.9105691056910569
EMGT00050000008675,Drosophila,AA,5,50,0.9714524905818334,0.8981670061099797
EMGT00050000008675,Drosophila,AA,43,50,0.9769098604534217,0.9020408163265307
EMGT00050000008675,Drosophila,AA,39,50,0.9731349538977367,0.889795918367347
EMGT00050000008675,Drosophila,AA,7,50,0.9726503601943374,0.9164969450101833
EMGT00050000008675,Drosophila,AA,41,50,0.9771289741549031,0.9205702647657841
EMGT00050000008675,Drosophila,AA,20,50,0.9747269760241014,0.9081632653061225
EMGT00050000008675,Drosophila,AA,46,50,0.9662803392962123,0.8609406952965235
EMGT00050000008675,Drosophila,AA,27,50,0.9701892480321554,0.8834355828220859
EMGT00050000008675,Drosophila,AA,18,50,0.9695979899497488,0.8841463414634146
EMGT00050000008675,Drosophila,AA,25,50,0.9721327252186284,0.8979591836734694
EMGT00050000008675,Drosophila,AA,2,50,0.9746671133070932,0.9022403258655805
EMGT00050000008675,Drosophila,AA,44,50,0.9740422859535273,0.9166666666666666
EMGT00050000008675,Drosophila,AA,6,50,0.9766486395841194,0.8959183673469387
EMGT00050000008675,Drosophila,AA,40,50,0.9693467336683417,0.8836734693877552
EMGT00050000008675,Drosophila,AA,38,50,0.9713126751139548,0.8857142857142857
EMGT00050000008675,Drosophila,AA,21,50,0.9781381634372367,0.8597560975609756
EMGT00050000008675,Drosophila,AA,23,50,0.9640965273690406,0.8463114754098361
EMGT00050000008675,Drosophila,AA,4,50,0.9801349482419011,0.8940936863543788
EMGT00050000008675,Drosophila,AA,42,50,0.976847579901015,0.8963414634146342
EMGT00050000008675,Drosophila,AA,8,50,0.9693177061532022,0.8916155419222904
EMGT00050000008675,Drosophila,AA,36,50,0.9716965332440127,0.8877551020408163
EMGT00050000008675,Drosophila,AA,12,50,0.9729707112970711,0.9126016260162602
EMGT00050000008675,Drosophila,AA,10,50,0.9698103687507884,0.8737270875763747
EMGT00050000008675,Drosophila,AA,34,50,0.9724870836308649,0.879837067209776
EMGT00050000008675,Drosophila,AA,30,50,0.9757240917461912,0.8800813008130082
EMGT00050000008675,Drosophila,AA,48,50,0.9856172425360618,0.907070707070707
EMGT00050000008675,Drosophila,AA,29,50,0.9691148775894539,0.8816326530612245
EMGT00050000008675,Drosophila,AA,14,50,0.9736456194745884,0.8977505112474438
EMGT00050000008675,Drosophila,AA,16,50,0.9799881786709449,0.8629032258064516
EMGT00050000008675,Drosophila,AA,32,50,0.9802739726027397,0.8699186991869918
EMGT00050000008675,Drosophila,AA,11,50,0.9681224899598394,0.8836734693877552
EMGT00050000008675,Drosophila,AA,35,50,0.9776419360241165,0.9227642276422764
EMGT00050000008675,Drosophila,AA,37,50,0.96875,0.8775510204081632
EMGT00050000008675,Drosophila,AA,9,50,0.9744598894657511,0.9
EMGT00050000008675,Drosophila,AA,13,50,0.9726618102654274,0.9065040650406504
EMGT00050000008675,Drosophila,AA,17,50,0.9856609785753218,0.920892494929006
EMGT00050000008675,Drosophila,AA,33,50,0.97785128119243,0.9146341463414634
EMGT00050000008675,Drosophila,AA,49,50,0.9586088557796937,0.8609406952965235
EMGT00050000008675,Drosophila,AA,31,50,0.9612976425599865,0.8504098360655737
EMGT00050000008675,Drosophila,AA,15,50,0.9706042917734011,0.8780487804878049
EMGT00050000008675,Drosophila,AA,28,50,0.9680713060216763,0.8816326530612245
