name,datatype,AIC,AICc,BIC
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
ENSGT00390000000236.Euteleostomi.001,AA,LG+F+I+G4,LG+F+I+G4,LG+I+G4
