name,datatype,AIC,AICc,BIC
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
PF01544,AA,LG+I+G4,LG+I+G4,LG+I+G4
