name,datatype,AIC,AICc,BIC
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+G4,TVMe+G4,TVMe+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+G4,TVMe+G4,TVMe+G4
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVM+F+I+G4,TVM+F+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVMe+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,SYM+I+G4,SYM+I+G4,SYM+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,TVM+F+I+G4,TVMe+I+G4,TVMe+I+G4
PF02698,NT,SYM+I+G4,TVMe+I+G4,TVMe+I+G4
