No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103566.080,599,208330.160,212093.511,211129.465
2,Dayhoff+I,101382.505,600,203965.010,207760.799,206768.989
3,Dayhoff+G4,95968.043,600,193136.086,196931.875,195940.064
4,Dayhoff+I+G4,95695.845,601,192593.690,196422.282,195402.342
5,Dayhoff+F,104113.427,618,209462.855,213911.018,212350.953
6,Dayhoff+F+I,101992.142,619,205222.283,209710.938,208115.055
7,Dayhoff+F+G4,96282.882,619,193803.763,198292.418,196696.535
8,Dayhoff+F+I+G4,96014.587,620,193269.173,197798.820,196166.618
9,mtMAM,119655.173,599,240508.345,244271.696,243307.651
10,mtMAM+I,118244.511,600,237689.022,241484.811,240493.000
11,mtMAM+G4,104706.580,600,210613.161,214408.950,213417.140
12,mtMAM+I+G4,104549.069,601,210300.139,214128.732,213108.791
13,mtMAM+F,113021.721,618,227279.441,231727.604,230167.539
14,mtMAM+F+I,111317.901,619,223873.802,228362.457,226766.573
15,mtMAM+F+G4,100711.753,619,202661.506,207150.161,205554.277
16,mtMAM+F+I+G4,100580.349,620,202400.698,206930.345,205298.142
17,JTT,103744.072,599,208686.145,212449.495,211485.450
18,JTT+I,101652.919,600,204505.838,208301.627,207309.816
19,JTT+G4,95791.415,600,192782.831,196578.620,195586.810
20,JTT+I+G4,95582.977,601,192367.955,196196.548,195176.607
21,JTT+F,104067.136,618,209370.273,213818.436,212258.371
22,JTT+F+I,101996.659,619,205231.317,209719.972,208124.089
23,JTT+F+G4,95888.254,619,193014.509,197503.164,195907.280
24,JTT+F+I+G4,95688.070,620,192616.141,197145.788,195513.585
25,WAG,101278.494,599,203754.988,207518.339,206554.294
26,WAG+I,99341.719,600,199883.438,203679.228,202687.417
27,WAG+G4,94474.099,600,190148.198,193943.988,192952.177
28,WAG+I+G4,94267.840,601,189737.680,193566.272,192546.332
29,WAG+F,101506.828,618,204249.657,208697.820,207137.755
30,WAG+F+I,99607.895,619,200453.789,204942.444,203346.561
31,WAG+F+G4,94557.447,619,190352.893,194841.548,193245.665
32,WAG+F+I+G4,94334.585,620,189909.169,194438.816,192806.614
33,cpREV,102363.890,599,205925.779,209689.130,208725.085
34,cpREV+I,100594.730,600,202389.460,206185.249,205193.439
35,cpREV+G4,95668.433,600,192536.867,196332.656,195340.846
36,cpREV+I+G4,95440.756,601,192083.512,195912.104,194892.164
37,cpREV+F,102098.901,618,205433.803,209881.966,208321.901
38,cpREV+F+I,100176.302,619,201590.604,206079.259,204483.375
39,cpREV+F+G4,95325.226,619,191888.451,196377.106,194781.222
40,cpREV+F+I+G4,95055.592,620,191351.184,195880.831,194248.629
41,mtREV,111737.473,599,224672.945,228436.296,227472.251
42,mtREV+I,110217.378,600,221634.756,225430.546,224438.735
43,mtREV+G4,101567.782,600,204335.564,208131.354,207139.543
44,mtREV+I+G4,101428.696,601,204059.392,207887.985,206868.045
45,mtREV+F,106094.904,618,213425.808,217873.971,216313.907
46,mtREV+F+I,104298.414,619,209834.827,214323.482,212727.599
47,mtREV+F+G4,97364.515,619,195967.029,200455.684,198859.801
48,mtREV+F+I+G4,97206.898,620,195653.795,200183.443,198551.240
49,rtREV,102984.259,599,207166.519,210929.870,209965.824
50,rtREV+I,101201.685,600,203603.370,207399.159,206407.349
51,rtREV+G4,95200.073,600,191600.146,195395.935,194404.124
52,rtREV+I+G4,95068.832,601,191339.664,195168.257,194148.316
53,rtREV+F,102467.344,618,206170.687,210618.850,209058.785
54,rtREV+F+I,100663.456,619,202564.912,207053.566,205457.683
55,rtREV+F+G4,94422.906,619,190083.812,194572.467,192976.583
56,rtREV+F+I+G4,94263.353,620,189766.707,194296.354,192664.151
57,mtART,115805.992,599,232809.985,236573.336,235609.290
58,mtART+I,114390.445,600,229980.890,233776.679,232784.868
59,mtART+G4,102132.839,600,205465.678,209261.468,208269.657
60,mtART+I+G4,102026.747,601,205255.495,209084.087,208064.147
61,mtART+F,109521.165,618,220278.330,224726.493,223166.428
62,mtART+F+I,107813.695,619,216865.390,221354.045,219758.161
63,mtART+F+G4,98237.629,619,197713.259,202201.913,200606.030
64,mtART+F+I+G4,98077.483,620,197394.967,201924.614,200292.411
65,mtZOA,111593.900,599,224385.799,228149.150,227185.105
66,mtZOA+I,110109.253,600,221418.506,225214.296,224222.485
67,mtZOA+G4,99388.683,600,199977.366,203773.155,202781.345
68,mtZOA+I+G4,99269.346,601,199740.692,203569.285,202549.344
69,mtZOA+F,106846.697,618,214929.393,219377.556,217817.491
70,mtZOA+F+I,105047.635,619,211333.270,215821.924,214226.041
71,mtZOA+F+G4,96834.080,619,194906.160,199394.815,197798.931
72,mtZOA+F+I+G4,96639.299,620,194518.597,199048.245,197416.042
73,VT,102257.673,599,205713.345,209476.696,208512.651
74,VT+I,100305.633,600,201811.265,205607.055,204615.244
75,VT+G4,95142.736,600,191485.472,195281.261,194289.450
76,VT+I+G4,94948.525,601,191099.051,194927.643,193907.703
77,VT+F,102480.501,618,206197.003,210645.166,209085.101
78,VT+F+I,100530.279,619,202298.558,206787.213,205191.329
79,VT+F+G4,95237.531,619,191713.062,196201.717,194605.834
80,VT+F+I+G4,95029.969,620,191299.938,195829.585,194197.382
81,LG,102060.586,599,205319.173,209082.523,208118.478
82,LG+I,100203.793,600,201607.585,205403.375,204411.564
83,LG+G4,94153.362,600,189506.724,193302.513,192310.703
84,LG+I+G4,93984.001,601,189170.002,192998.595,191978.654
85,LG+F,102263.192,618,205762.384,210210.547,208650.482
86,LG+F+I,100394.145,619,202026.291,206514.946,204919.062
87,LG+F+G4,94106.764,619,189451.529,193940.184,192344.300
88,LG+F+I+G4,93931.229,620,189102.459,193632.106,191999.904
89,DCMut,103562.853,599,208323.706,212087.057,211123.011
90,DCMut+I,101379.393,600,203958.786,207754.575,206762.765
91,DCMut+G4,95972.693,600,193145.386,196941.176,195949.365
92,DCMut+I+G4,95699.871,601,192601.741,196430.334,195410.393
93,DCMut+F,104107.457,618,209450.915,213899.078,212339.013
94,DCMut+F+I,101986.026,619,205210.053,209698.708,208102.824
95,DCMut+F+G4,96285.607,619,193809.214,198297.869,196701.986
96,DCMut+F+I+G4,96016.151,620,193272.302,197801.949,196169.747
97,PMB,103174.878,599,207547.757,211311.108,210347.062
98,PMB+I,101355.525,600,203911.050,207706.840,206715.029
99,PMB+G4,96130.720,600,193461.441,197257.230,196265.419
100,PMB+I+G4,95948.561,601,193099.121,196927.714,195907.774
101,PMB+F,102897.127,618,207030.254,211478.416,209918.352
102,PMB+F+I,101037.766,619,203313.532,207802.187,206206.303
103,PMB+F+G4,95762.368,619,192762.736,197251.391,195655.507
104,PMB+F+I+G4,95575.700,620,192391.401,196921.048,195288.846
105,HIVb,108818.670,599,218835.340,222598.691,221634.646
106,HIVb+I,106455.656,600,214111.312,217907.102,216915.291
107,HIVb+G4,99413.102,600,200026.204,203821.993,202830.183
108,HIVb+I+G4,99153.011,601,199508.021,203336.614,202316.673
109,HIVb+F,108775.634,618,218787.268,223235.431,221675.366
110,HIVb+F+I,106388.182,619,214014.364,218503.019,216907.136
111,HIVb+F+G4,98987.563,619,199213.127,203701.782,202105.898
112,HIVb+F+I+G4,98758.288,620,198756.576,203286.223,201654.021
113,HIVw,113004.954,599,227207.907,230971.258,230007.213
114,HIVw+I,110592.876,600,222385.752,226181.541,225189.731
115,HIVw+G4,103987.046,600,209174.093,212969.882,211978.072
116,HIVw+I+G4,103702.759,601,208607.517,212436.110,211416.170
117,HIVw+F,112657.365,618,226550.729,230998.892,229438.827
118,HIVw+F+I,110159.134,619,221556.268,226044.923,224449.039
