No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103850.370,599,208898.740,212510.800,211704.073
2,Dayhoff+I,101736.877,600,204673.754,208316.178,207483.771
3,Dayhoff+G4,96160.666,600,193521.331,197163.756,196331.348
4,Dayhoff+I+G4,95906.199,601,193014.399,196687.516,195829.099
5,Dayhoff+F,104407.458,618,210050.915,214301.382,212945.232
6,Dayhoff+F+I,102357.925,619,205953.851,210241.896,208852.851
7,Dayhoff+F+G4,96460.821,619,194159.642,198447.687,197058.643
8,Dayhoff+F+I+G4,96224.824,620,193689.648,198015.715,196593.332
9,mtMAM,119947.046,599,241092.092,244704.152,243897.425
10,mtMAM+I,118545.980,600,238291.959,241934.383,241101.976
11,mtMAM+G4,104899.661,600,210999.322,214641.747,213809.339
12,mtMAM+I+G4,104741.836,601,210685.671,214358.788,213500.371
13,mtMAM+F,113267.389,618,227770.778,232021.244,230665.095
14,mtMAM+F+I,111605.305,619,224448.610,228736.655,227347.610
15,mtMAM+F+G4,100856.568,619,202951.136,207239.181,205850.136
16,mtMAM+F+I+G4,100733.925,620,202707.851,207033.918,205611.535
17,JTT,104013.284,599,209224.567,212836.628,212029.900
18,JTT+I,101969.594,600,205139.188,208781.612,207949.204
19,JTT+G4,95973.660,600,193147.321,196789.745,195957.337
20,JTT+I+G4,95756.624,601,192715.249,196388.366,195529.949
21,JTT+F,104349.018,618,209934.036,214184.502,212828.353
22,JTT+F+I,102334.444,619,205906.889,210194.934,208805.889
23,JTT+F+G4,96049.760,619,193337.520,197625.564,196236.520
24,JTT+F+I+G4,95861.672,620,192963.344,197289.411,195867.028
25,WAG,101548.152,599,204294.305,207906.365,207099.638
26,WAG+I,99676.723,600,200553.446,204195.870,203363.463
27,WAG+G4,94700.974,600,190601.948,194244.372,193411.964
28,WAG+I+G4,94454.351,601,190110.703,193783.820,192925.403
29,WAG+F,101788.825,618,204813.651,209064.117,207707.968
30,WAG+F+I,99955.706,619,201149.413,205437.457,204048.413
31,WAG+F+G4,94771.344,619,190780.688,195068.733,193679.689
32,WAG+F+I+G4,94560.222,620,190360.443,194686.511,193264.127
33,cpREV,102571.905,599,206341.810,209953.870,209147.143
34,cpREV+I,100863.392,600,202926.784,206569.208,205736.800
35,cpREV+G4,95844.645,600,192889.289,196531.713,195699.306
36,cpREV+I+G4,95630.802,601,192463.604,196136.721,195278.304
37,cpREV+F,102317.381,618,205870.763,210121.230,208765.080
38,cpREV+F+I,100468.103,619,202174.207,206462.251,205073.207
39,cpREV+F+G4,95487.271,619,192212.543,196500.588,195111.543
40,cpREV+F+I+G4,95244.178,620,191728.355,196054.423,194632.039
41,mtREV,112016.391,599,225230.782,228842.842,228036.115
42,mtREV+I,110516.748,600,222233.496,225875.921,225043.513
43,mtREV+G4,101750.199,600,204700.397,208342.821,207510.414
44,mtREV+I+G4,101639.539,601,204481.079,208154.196,207295.779
45,mtREV+F,106342.066,618,213920.132,218170.598,216814.449
46,mtREV+F+I,104595.234,619,210428.468,214716.513,213327.469
47,mtREV+F+G4,97536.887,619,196311.775,200599.819,199210.775
48,mtREV+F+I+G4,97374.984,620,195989.968,200316.036,198893.652
49,rtREV,103229.055,599,207656.111,211268.171,210461.444
50,rtREV+I,101500.320,600,204200.640,207843.064,207010.656
51,rtREV+G4,95427.591,600,192055.182,195697.606,194865.199
52,rtREV+I+G4,95270.546,601,191743.093,195416.209,194557.793
53,rtREV+F,102710.876,618,206657.752,210908.219,209552.069
54,rtREV+F+I,100960.981,619,203159.962,207448.007,206058.962
55,rtREV+F+G4,94606.760,619,190451.521,194739.565,193350.521
56,rtREV+F+I+G4,94439.881,620,190119.762,194445.829,193023.445
57,mtART,116098.417,599,233394.835,237006.895,236200.168
58,mtART+I,114699.917,600,230599.834,234242.258,233409.850
59,mtART+G4,102296.861,600,205793.722,209436.146,208603.739
60,mtART+I+G4,102212.251,601,205626.501,209299.618,208441.201
61,mtART+F,109823.969,618,220883.938,225134.405,223778.255
62,mtART+F+I,108163.837,619,217565.675,221853.719,220464.675
63,mtART+F+G4,98395.529,619,198029.059,202317.103,200928.059
64,mtART+F+I+G4,98261.189,620,197762.377,202088.445,200666.061
65,mtZOA,111873.423,599,224944.846,228556.906,227750.179
66,mtZOA+I,110405.617,600,222011.233,225653.658,224821.250
67,mtZOA+G4,99569.749,600,200339.498,203981.922,203149.514
68,mtZOA+I+G4,99450.517,601,200103.035,203776.151,202917.734
69,mtZOA+F,107132.747,618,215501.493,219751.960,218395.811
70,mtZOA+F+I,105382.675,619,212003.349,216291.394,214902.350
71,mtZOA+F+G4,96984.731,619,195207.463,199495.507,198106.463
72,mtZOA+F+I+G4,96831.080,620,194902.161,199228.228,197805.844
73,VT,102510.562,599,206219.123,209831.184,209024.456
74,VT+I,100611.239,600,202422.477,206064.902,205232.494
75,VT+G4,95372.893,600,191945.787,195588.211,194755.803
76,VT+I+G4,95138.281,601,191478.561,195151.678,194293.261
77,VT+F,102743.750,618,206723.500,210973.967,209617.817
78,VT+F+I,100848.955,619,202935.910,207223.954,205834.910
79,VT+F+G4,95428.633,619,192095.266,196383.310,194994.266
80,VT+F+I+G4,95208.852,620,191657.704,195983.771,194561.387
81,LG,102344.520,599,205887.040,209499.101,208692.374
82,LG+I,100532.875,600,202265.750,205908.174,205075.766
83,LG+G4,94374.014,600,189948.029,193590.453,192758.045
84,LG+I+G4,94194.929,601,189591.859,193264.976,192406.559
85,LG+F,102551.414,618,206338.828,210589.294,209233.145
86,LG+F+I,100728.754,619,202695.507,206983.552,205594.508
87,LG+F+G4,94302.725,619,189843.451,194131.496,192742.451
88,LG+F+I+G4,94124.893,620,189489.785,193815.853,192393.469
89,DCMut,103845.985,599,208889.970,212502.030,211695.303
90,DCMut+I,101732.514,600,204665.028,208307.452,207475.045
91,DCMut+G4,96164.450,600,193528.900,197171.325,196338.917
92,DCMut+I+G4,95909.575,601,193021.150,196694.267,195835.850
93,DCMut+F,104400.338,618,210036.676,214287.142,212930.993
94,DCMut+F+I,102350.527,619,205939.053,210227.098,208838.053
95,DCMut+F+G4,96462.816,619,194163.633,198451.678,197062.633
96,DCMut+F+I+G4,96225.813,620,193691.626,198017.694,196595.310
97,PMB,103404.185,599,208006.370,211618.431,210811.703
98,PMB+I,101635.910,600,204471.819,208114.243,207281.836
99,PMB+G4,96334.381,600,193868.762,197511.186,196678.778
100,PMB+I+G4,96125.350,601,193452.700,197125.816,196267.400
101,PMB+F,103143.514,618,207523.027,211773.494,210417.344
102,PMB+F+I,101338.108,619,203914.216,208202.261,206813.217
103,PMB+F+G4,95955.348,619,193148.695,197436.740,196047.696
104,PMB+F+I+G4,95750.162,620,192740.324,197066.391,195644.007
105,HIVb,109097.254,599,219392.507,223004.568,222197.840
106,HIVb+I,106765.275,600,214730.551,218372.975,217540.567
107,HIVb+G4,99564.197,600,200328.395,203970.819,203138.411
108,HIVb+I+G4,99316.158,601,199834.316,203507.433,202649.016
109,HIVb+F,109067.661,618,219371.322,223621.789,222265.639
110,HIVb+F+I,106724.892,619,214687.783,218975.828,217586.784
111,HIVb+F+G4,99132.617,619,199503.234,203791.279,202402.235
112,HIVb+F+I+G4,98926.252,620,199092.504,203418.571,201996.188
113,HIVw,113256.806,599,227711.612,231323.672,230516.945
114,HIVw+I,110901.498,600,223002.996,226645.420,225813.013
115,HIVw+G4,104163.543,600,209527.085,213169.510,212337.102
116,HIVw+I+G4,103875.366,601,208952.732,212625.849,211767.432
117,HIVw+F,112919.278,618,227074.557,231325.024,229968.874
118,HIVw+F+I,110500.086,619,222238.172,226526.217,225137.173
119,HIVw+F+G4,103255.684,619,207749.369,212037.413,210648.369
120,HIVw+F+I+G4,103025.721,620,207291.443,211617.510,210195.126
121,JTTDCMut,103916.929,599,209031.859,212643.919,211837.192
122,JTTDCMut+I,101888.202,600,204976.405,208618.829,207786.422
123,JTTDCMut+G4,95928.839,600,193057.678,196700.102,195867.694
124,JTTDCMut+I+G4,95713.111,601,192628.222,196301.339,195442.922
125,JTTDCMut+F,104243.520,618,209723.041,213973.508,212617.358
126,JTTDCMut+F+I,102239.844,619,205717.687,210005.732,208616.688
127,JTTDCMut+F+G4,95985.952,619,193209.904,197497.949,196108.905
128,JTTDCMut+F+I+G4,95795.623,620,192831.245,197157.313,195734.929
129,FLU,106804.499,599,214806.998,218419.058,217612.331
130,FLU+I,104940.050,600,211080.101,214722.525,213890.118
131,FLU+G4,98438.890,600,198077.780,201720.204,200887.796
132,FLU+I+G4,98196.668,601,197595.336,201268.453,200410.036
133,FLU+F,106788.509,618,214813.018,219063.485,217707.335
134,FLU+F+I,104899.176,619,211036.351,215324.396,213935.352
135,FLU+F+G4,97971.442,619,197180.884,201468.928,200079.884
136,FLU+F+I+G4,97771.961,620,196783.923,201109.990,199687.607
137,Blosum62,103051.569,599,207301.138,210913.198,210106.471
138,Blosum62+I,101322.372,600,203844.744,207487.168,206654.760
139,Blosum62+G4,95978.760,600,193157.520,196799.944,195967.537
140,Blosum62+I+G4,95786.065,601,192774.130,196447.246,195588.830
141,Blosum62+F,102996.955,618,207229.909,211480.376,210124.226
142,Blosum62+F+I,101207.240,619,203652.480,207940.525,206551.480
143,Blosum62+F+G4,95800.895,619,192839.789,197127.834,195738.789
144,Blosum62+F+I+G4,95605.664,620,192451.329,196777.396,195355.013
145,mtMet,112655.249,599,226508.498,230120.558,229313.831
146,mtMet+I,111124.635,600,223449.270,227091.694,226259.286
147,mtMet+G4,101383.383,600,203966.766,207609.190,206776.783
148,mtMet+I+G4,101261.665,601,203725.330,207398.447,206540.030
149,mtMet+F,107724.973,618,216685.945,220936.412,219580.262
150,mtMet+F+I,105922.985,619,213083.971,217372.015,215982.971
151,mtMet+F+G4,97763.123,619,196764.247,201052.292,199663.247
152,mtMet+F+I+G4,97618.600,620,196477.200,200803.267,199380.883
153,mtVer,114933.212,599,231064.424,234676.484,233869.757
154,mtVer+I,113413.046,600,228026.092,231668.516,230836.109
155,mtVer+G4,102582.926,600,206365.851,210008.276,209175.868
156,mtVer+I+G4,102460.587,601,206123.174,209796.291,208937.874
157,mtVer+F,110002.630,618,221241.260,225491.727,224135.577
158,mtVer+F+I,108124.497,619,217486.994,221775.038,220385.994
159,mtVer+F+G4,99620.326,619,200478.651,204766.696,203377.651
160,mtVer+F+I+G4,99483.969,620,200207.938,204534.005,203111.622
161,mtInv,111796.803,599,224791.607,228403.667,227596.940
162,mtInv+I,110179.901,600,221559.802,225202.226,224369.818
163,mtInv+G4,101322.549,600,203845.099,207487.523,206655.116
164,mtInv+I+G4,101210.578,601,203623.155,207296.272,206437.855
165,mtInv+F,106035.529,618,213307.057,217557.524,216201.374
166,mtInv+F+I,104153.547,619,209545.093,213833.138,212444.094
167,mtInv+F+G4,96770.814,619,194779.629,199067.673,197678.629
168,mtInv+F+I+G4,96623.870,620,194487.739,198813.806,197391.423
