No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103889.852,599,208977.703,213706.651,211746.722
2,Dayhoff+I,101697.053,600,204594.105,209370.264,207367.747
3,Dayhoff+G4,96185.277,600,193570.553,198346.712,196344.195
4,Dayhoff+I+G4,95935.797,601,193073.594,197897.620,195851.858
5,Dayhoff+F,104444.317,618,210124.633,215877.145,212981.485
6,Dayhoff+F+I,102313.153,619,205864.306,211679.155,208725.780
7,Dayhoff+F+G4,96495.090,619,194228.179,200043.028,197089.653
8,Dayhoff+F+I+G4,96251.711,620,193743.423,199621.591,196609.519
9,mtMAM,120018.618,599,241235.237,245964.184,244004.256
10,mtMAM+I,118601.271,600,238402.543,243178.702,241176.185
11,mtMAM+G4,104944.286,600,211088.571,215864.730,213862.213
12,mtMAM+I+G4,104788.104,601,210778.208,215602.234,213556.472
13,mtMAM+F,113329.482,618,227894.965,233647.476,230751.816
14,mtMAM+F+I,111617.827,619,224473.653,230288.502,227335.127
15,mtMAM+F+G4,100908.446,619,203054.892,208869.741,205916.366
16,mtMAM+F+I+G4,100798.441,620,202836.882,208715.050,205702.978
17,JTT,104022.729,599,209243.459,213972.406,212012.478
18,JTT+I,101923.504,600,205047.008,209823.167,207820.650
19,JTT+G4,95981.115,600,193162.230,197938.389,195935.872
20,JTT+I+G4,95775.015,601,192752.029,197576.056,195530.294
21,JTT+F,104339.019,618,209914.038,215666.549,212770.889
22,JTT+F+I,102260.534,619,205759.069,211573.917,208620.543
23,JTT+F+G4,96065.259,619,193368.517,199183.366,196229.991
24,JTT+F+I+G4,95868.664,620,192977.329,198855.496,195843.425
25,WAG,101536.870,599,204271.741,209000.688,207040.760
26,WAG+I,99594.153,600,200388.306,205164.465,203161.948
27,WAG+G4,94643.255,600,190486.510,195262.669,193260.152
28,WAG+I+G4,94444.371,601,190090.742,194914.769,192869.007
29,WAG+F,101759.236,618,204754.472,210506.984,207611.323
30,WAG+F+I,99852.913,619,200943.827,206758.675,203805.300
31,WAG+F+G4,94708.798,619,190655.597,196470.445,193517.070
32,WAG+F+I+G4,94512.783,620,190265.566,196143.734,193131.662
33,cpREV,102598.319,599,206394.638,211123.586,209163.658
34,cpREV+I,100822.030,600,202844.060,207620.219,205617.702
35,cpREV+G4,95871.765,600,192943.529,197719.688,195717.171
36,cpREV+I+G4,95646.446,601,192494.892,197318.918,195273.156
37,cpREV+F,102318.016,618,205872.032,211624.544,208728.883
38,cpREV+F+I,100385.723,619,202009.447,207824.295,204870.921
39,cpREV+F+G4,95472.971,619,192183.942,197998.790,195045.416
40,cpREV+F+I+G4,95244.007,620,191728.013,197606.181,194594.110
41,mtREV,112060.668,599,225319.336,230048.284,228088.356
42,mtREV+I,110536.197,600,222272.395,227048.554,225046.037
43,mtREV+G4,101808.084,600,204816.167,209592.326,207589.809
44,mtREV+I+G4,101674.788,601,204551.577,209375.603,207329.841
45,mtREV+F,106352.627,618,213941.254,219693.765,216798.105
46,mtREV+F+I,104549.255,619,210336.509,216151.358,213197.983
47,mtREV+F+G4,97528.538,619,196295.076,202109.925,199156.550
48,mtREV+F+I+G4,97374.387,620,195988.775,201866.943,198854.871
49,rtREV,103236.461,599,207670.922,212399.870,210439.941
50,rtREV+I,101447.722,600,204095.445,208871.603,206869.086
51,rtREV+G4,95378.706,600,191957.412,196733.571,194731.054
52,rtREV+I+G4,95251.097,601,191704.194,196528.221,194482.459
53,rtREV+F,102717.848,618,206671.695,212424.206,209528.546
54,rtREV+F+I,100906.548,619,203051.096,208865.944,205912.570
55,rtREV+F+G4,94595.099,619,190428.199,196243.047,193289.673
56,rtREV+F+I+G4,94441.320,620,190122.641,196000.809,192988.737
57,mtART,116232.255,599,233662.509,238391.457,236431.529
58,mtART+I,114807.271,600,230814.541,235590.700,233588.183
59,mtART+G4,102395.763,600,205991.526,210767.684,208765.167
60,mtART+I+G4,102285.335,601,205772.670,210596.697,208550.934
61,mtART+F,109897.528,618,221031.056,226783.568,223887.907
62,mtART+F+I,108179.262,619,217596.523,223411.372,220457.997
63,mtART+F+G4,98464.825,619,198167.650,203982.499,201029.124
64,mtART+F+I+G4,98309.655,620,197859.311,203737.479,200725.407
65,mtZOA,111979.279,599,225156.559,229885.506,227925.578
66,mtZOA+I,110485.756,600,222171.512,226947.671,224945.154
67,mtZOA+G4,99633.196,600,200466.391,205242.550,203240.033
68,mtZOA+I+G4,99526.903,601,200255.806,205079.833,203034.071
69,mtZOA+F,107167.849,618,215571.697,221324.208,218428.548
70,mtZOA+F+I,105358.761,619,211955.522,217770.370,214816.995
71,mtZOA+F+G4,97046.298,619,195330.597,201145.445,198192.070
