No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103890.316,599,208978.632,213970.299,211741.245
2,Dayhoff+I,101686.142,600,204572.284,209615.641,207339.509
3,Dayhoff+G4,96170.207,600,193540.414,198583.770,196307.638
4,Dayhoff+I+G4,95934.144,601,193070.288,198166.091,195842.124
5,Dayhoff+F,104440.240,618,210116.480,216237.152,212966.722
6,Dayhoff+F+I,102298.139,619,205834.279,212024.279,208689.132
7,Dayhoff+F+G4,96479.450,619,194196.900,200386.900,197051.754
8,Dayhoff+F+I+G4,96245.867,620,193731.734,199992.221,196591.199
9,mtMAM,120036.310,599,241270.619,246262.286,244033.232
10,mtMAM+I,118594.437,600,238388.875,243432.231,241156.099
11,mtMAM+G4,104964.309,600,211128.618,216171.974,213895.842
12,mtMAM+I+G4,104812.642,601,210827.283,215923.086,213599.120
13,mtMAM+F,113319.260,618,227874.521,233995.193,230724.762
14,mtMAM+F+I,111587.056,619,224412.111,230602.111,227266.964
15,mtMAM+F+G4,100861.154,619,202960.308,209150.308,205815.162
16,mtMAM+F+I+G4,100754.517,620,202749.034,209009.522,205608.499
17,JTT,104053.268,599,209304.536,214296.202,212067.148
18,JTT+I,101943.067,600,205086.135,210129.491,207853.359
19,JTT+G4,95991.687,600,193183.375,198226.731,195950.599
20,JTT+I+G4,95789.141,601,192780.282,197876.085,195552.119
21,JTT+F,104361.604,618,209959.208,216079.880,212809.449
22,JTT+F+I,102271.253,619,205780.506,211970.506,208635.359
23,JTT+F+G4,96068.697,619,193375.394,199565.394,196230.247
24,JTT+F+I+G4,95869.902,620,192979.805,199240.293,195839.270
25,WAG,101587.756,599,204373.512,209365.179,207136.125
26,WAG+I,99632.480,600,200464.961,205508.318,203232.186
27,WAG+G4,94677.098,600,190554.197,195597.553,193321.421
28,WAG+I+G4,94474.131,601,190150.263,195246.066,192922.099
29,WAG+F,101804.604,618,204845.208,210965.880,207695.449
30,WAG+F+I,99885.385,619,201008.770,207198.770,203863.624
31,WAG+F+G4,94742.052,619,190722.104,196912.104,193576.957
32,WAG+F+I+G4,94538.065,620,190316.130,196576.618,193175.596
33,cpREV,102659.065,599,206516.131,211507.797,209278.743
34,cpREV+I,100874.040,600,202948.080,207991.436,205715.304
35,cpREV+G4,95890.948,600,192981.897,198025.253,195749.121
36,cpREV+I+G4,95650.445,601,192502.889,197598.692,195274.726
37,cpREV+F,102399.997,618,206035.993,212156.665,208886.235
38,cpREV+F+I,100459.725,619,202157.451,208347.451,205012.304
39,cpREV+F+G4,95509.519,619,192257.039,198447.039,195111.892
40,cpREV+F+I+G4,95263.256,620,191766.512,198027.000,194625.978
41,mtREV,112136.450,599,225470.899,230462.566,228233.512
42,mtREV+I,110590.207,600,222380.413,227423.770,225147.638
43,mtREV+G4,101844.652,600,204889.303,209932.660,207656.528
44,mtREV+I+G4,101716.606,601,204635.212,209731.015,207407.049
45,mtREV+F,106422.144,618,214080.287,220200.959,216930.529
46,mtREV+F+I,104601.460,619,210440.919,216630.919,213295.773
47,mtREV+F+G4,97551.530,619,196341.060,202531.060,199195.913
48,mtREV+F+I+G4,97390.304,620,196020.609,202281.097,198880.074
49,rtREV,103248.491,599,207694.982,212686.649,210457.594
50,rtREV+I,101445.230,600,204090.461,209133.817,206857.685
51,rtREV+G4,95383.290,600,191966.580,197009.937,194733.805
52,rtREV+I+G4,95233.187,601,191668.374,196764.177,194440.211
53,rtREV+F,102734.959,618,206705.919,212826.591,209556.160
54,rtREV+F+I,100907.407,619,203052.813,209242.813,205907.667
55,rtREV+F+G4,94593.862,619,190425.724,196615.724,193280.577
56,rtREV+F+I+G4,94425.344,620,190090.688,196351.176,192950.153
57,mtART,116171.497,599,233540.994,238532.661,236303.607
58,mtART+I,114720.712,600,230641.424,235684.780,233408.648
59,mtART+G4,102325.306,600,205850.612,210893.969,208617.837
60,mtART+I+G4,102243.222,601,205688.443,210784.246,208460.280
