No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103876.649,599,208951.299,212600.030,211755.131
2,Dayhoff+I,101679.989,600,204559.978,208239.570,207368.491
3,Dayhoff+G4,96172.251,600,193544.502,197224.094,196353.015
4,Dayhoff+I+G4,95915.293,601,193032.586,196743.376,195845.779
5,Dayhoff+F,104453.767,618,210143.534,214441.759,213036.302
6,Dayhoff+F+I,102318.359,619,205874.719,210211.216,208772.168
7,Dayhoff+F+G4,96501.940,619,194241.880,198578.377,197139.329
8,Dayhoff+F+I+G4,96238.748,620,193717.497,198092.724,196619.627
9,mtMAM,120028.847,599,241255.694,244904.425,244059.526
10,mtMAM+I,118601.112,600,238402.223,242081.815,241210.736
11,mtMAM+G4,105009.117,600,211218.234,214897.826,214026.747
12,mtMAM+I+G4,104799.978,601,210801.957,214512.746,213615.150
13,mtMAM+F,113379.356,618,227994.712,232292.937,230887.480
14,mtMAM+F+I,111658.710,619,224555.421,228891.918,227452.870
15,mtMAM+F+G4,100949.204,619,203136.407,207472.904,206033.856
16,mtMAM+F+I+G4,100839.081,620,202918.162,207293.389,205820.292
17,JTT,104082.434,599,209362.867,213011.598,212166.699
18,JTT+I,101976.631,600,205153.263,208832.854,207961.775
19,JTT+G4,96022.580,600,193245.159,196924.751,196053.672
20,JTT+I+G4,95805.111,601,192812.221,196523.011,195625.415
21,JTT+F,104412.918,618,210061.836,214360.061,212954.604
22,JTT+F+I,102328.338,619,205894.676,210231.174,208792.125
23,JTT+F+G4,96104.448,619,193446.896,197783.393,196344.345
24,JTT+F+I+G4,95905.119,620,193050.238,197425.465,195952.368
25,WAG,101595.547,599,204389.094,208037.825,207192.926
26,WAG+I,99646.656,600,200493.311,204172.903,203301.824
27,WAG+G4,94700.998,600,190601.996,194281.588,193410.509
28,WAG+I+G4,94492.056,601,190186.111,193896.901,192999.305
29,WAG+F,101838.233,618,204912.465,209210.690,207805.233
30,WAG+F+I,99926.635,619,201091.270,205427.767,203988.719
31,WAG+F+G4,94785.618,619,190809.236,195145.733,193706.685
32,WAG+F+I+G4,94570.339,620,190380.678,194755.905,193282.808
33,cpREV,102668.349,599,206534.699,210183.430,209338.531
34,cpREV+I,100885.967,600,202971.933,206651.525,205780.446
35,cpREV+G4,95910.088,600,193020.175,196699.767,195828.688
36,cpREV+I+G4,95688.871,601,192579.742,196290.531,195392.935
37,cpREV+F,102415.820,618,206067.640,210365.864,208960.408
38,cpREV+F+I,100479.135,619,202196.271,206532.768,205093.720
39,cpREV+F+G4,95543.499,619,192324.998,196661.495,195222.447
40,cpREV+F+I+G4,95298.624,620,191837.247,196212.475,194739.377
41,mtREV,112091.491,599,225380.982,229029.713,228184.814
42,mtREV+I,110556.468,600,222312.937,225992.529,225121.450
43,mtREV+G4,101802.482,600,204804.964,208484.556,207613.477
44,mtREV+I+G4,101680.340,601,204562.680,208273.470,207375.874
45,mtREV+F,106437.977,618,214111.955,218410.179,217004.723
46,mtREV+F+I,104626.182,619,210490.364,214826.861,213387.813
