No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103888.321,599,208974.643,213278.834,211755.492
2,Dayhoff+I,101681.751,600,204563.502,208908.081,207348.994
3,Dayhoff+G4,96184.520,600,193569.040,197913.619,196354.532
4,Dayhoff+I+G4,95940.641,601,193083.282,197468.761,195873.416
5,Dayhoff+F,104418.647,618,210073.294,215242.781,212942.351
6,Dayhoff+F+I,102273.877,619,205785.753,211007.250,208659.453
7,Dayhoff+F+G4,96452.435,619,194142.870,199364.366,197016.569
8,Dayhoff+F+I+G4,96233.127,620,193706.254,198980.501,196584.596
9,mtMAM,120015.506,599,241229.012,245533.203,244009.861
10,mtMAM+I,118573.671,600,238347.342,242691.921,241132.834
11,mtMAM+G4,105003.869,600,211207.738,215552.317,213993.230
12,mtMAM+I+G4,104798.990,601,210799.980,215185.459,213590.115
13,mtMAM+F,113281.665,618,227799.330,232968.817,230668.387
14,mtMAM+F+I,111544.313,619,224326.625,229548.122,227200.325
15,mtMAM+F+G4,100896.033,619,203030.065,208251.562,205903.765
16,mtMAM+F+I+G4,100761.238,620,202762.476,208036.723,205640.818
17,JTT,104074.250,599,209346.500,213650.692,212127.350
18,JTT+I,101961.440,600,205122.879,209467.457,207908.371
19,JTT+G4,96016.240,600,193232.480,197577.058,196017.972
20,JTT+I+G4,95813.744,601,192829.489,197214.967,195619.623
21,JTT+F,104363.051,618,209962.101,215131.588,212831.158
22,JTT+F+I,102270.291,619,205778.581,211000.078,208652.281
23,JTT+F+G4,96051.777,619,193341.554,198563.051,196215.253
24,JTT+F+I+G4,95858.211,620,192956.423,198230.669,195834.765
25,WAG,101598.428,599,204394.857,208699.049,207175.707
26,WAG+I,99639.734,600,200479.468,204824.046,203264.960
27,WAG+G4,94701.147,600,190602.293,194946.871,193387.785
28,WAG+I+G4,94493.103,601,190188.206,194573.684,192978.340
29,WAG+F,101800.054,618,204836.107,210005.594,207705.164
30,WAG+F+I,99877.991,619,200993.982,206215.478,203867.681
31,WAG+F+G4,94735.050,619,190708.099,195929.596,193581.799
32,WAG+F+I+G4,94537.855,620,190315.710,195589.957,193194.052
33,cpREV,102658.914,599,206515.828,210820.020,209296.678
34,cpREV+I,100871.493,600,202942.985,207287.564,205728.477
35,cpREV+G4,95923.685,600,193047.371,197391.949,195832.863
36,cpREV+I+G4,95690.543,601,192583.086,196968.565,195373.220
37,cpREV+F,102359.964,618,205955.928,211125.415,208824.985
38,cpREV+F+I,100420.075,619,202078.149,207299.646,204951.849
39,cpREV+F+G4,95526.776,619,192291.551,197513.048,195165.251
40,cpREV+F+I+G4,95272.316,620,191784.633,197058.880,194662.975
41,mtREV,112112.761,599,225423.522,229727.714,228204.372
42,mtREV+I,110562.480,600,222324.960,226669.539,225110.452
43,mtREV+G4,101819.663,600,204839.326,209183.904,207624.818
44,mtREV+I+G4,101689.735,601,204581.470,208966.948,207371.604
45,mtREV+F,106356.702,618,213949.405,219118.891,216818.462
46,mtREV+F+I,104530.804,619,210299.608,215521.105,213173.308
47,mtREV+F+G4,97531.338,619,196300.675,201522.172,199174.375
48,mtREV+F+I+G4,97383.311,620,196006.621,201280.868,198884.963
49,rtREV,103274.574,599,207747.149,212051.340,210527.998
50,rtREV+I,101467.912,600,204135.823,208480.401,206921.315
51,rtREV+G4,95412.601,600,192025.202,196369.781,194810.694
52,rtREV+I+G4,95278.210,601,191758.421,196143.900,194548.555
53,rtREV+F,102716.435,618,206668.871,211838.357,209537.927
54,rtREV+F+I,100887.566,619,203013.131,208234.628,205886.830
55,rtREV+F+G4,94576.822,619,190391.644,195613.141,193265.343
56,rtREV+F+I+G4,94414.672,620,190069.344,195343.590,192947.686
57,mtART,116144.055,599,233486.111,237790.302,236266.960
58,mtART+I,114694.263,600,230588.526,234933.104,233374.018
59,mtART+G4,102346.825,600,205893.650,210238.228,208679.142
60,mtART+I+G4,102242.028,601,205686.055,210071.534,208476.190
61,mtART+F,109799.180,618,220834.360,226003.847,223703.417
62,mtART+F+I,108060.846,619,217359.692,222581.189,220233.391
63,mtART+F+G4,98407.266,619,198052.531,203274.028,200926.230
64,mtART+F+I+G4,98249.616,620,197739.232,203013.478,200617.573
65,mtZOA,111953.382,599,225104.764,229408.956,227885.614
66,mtZOA+I,110437.007,600,222074.014,226418.592,224859.506
67,mtZOA+G4,99625.713,600,200451.426,204796.004,203236.918
68,mtZOA+I+G4,99514.482,601,200230.965,204616.443,203021.099
69,mtZOA+F,107143.523,618,215523.046,220692.533,218392.103
70,mtZOA+F+I,105317.996,619,211873.992,217095.489,214747.691
71,mtZOA+F+G4,97021.569,619,195281.139,200502.635,198154.838
72,mtZOA+F+I+G4,96854.140,620,194948.280,200222.527,197826.622
73,VT,102566.102,599,206330.204,210634.396,209111.054
74,VT+I,100593.801,600,202387.602,206732.181,205173.095
75,VT+G4,95374.798,600,191949.595,196294.174,194735.087
76,VT+I+G4,95170.948,601,191543.897,195929.376,194334.031
77,VT+F,102753.285,618,206742.571,211912.057,209611.628
78,VT+F+I,100781.948,619,202801.895,208023.392,205675.594
79,VT+F+G4,95401.147,619,192040.294,197261.790,194913.993
80,VT+F+I+G4,95189.735,620,191619.469,196893.716,194497.811
81,LG,102372.871,599,205943.742,210247.934,208724.592
82,LG+I,100492.574,600,202185.147,206529.726,204970.639
83,LG+G4,94367.310,600,189934.620,194279.199,192720.112
84,LG+I+G4,94206.358,601,189614.717,194000.195,192404.851
85,LG+F,102548.656,618,206333.312,211502.799,209202.369
86,LG+F+I,100655.461,619,202548.921,207770.418,205422.621
87,LG+F+G4,94283.703,619,189805.405,195026.902,192679.105
88,LG+F+I+G4,94108.856,620,189457.712,194731.959,192336.054
89,DCMut,103884.683,599,208967.367,213271.558,211748.216
90,DCMut+I,101678.299,600,204556.598,208901.176,207342.090
91,DCMut+G4,96188.808,600,193577.615,197922.193,196363.107
92,DCMut+I+G4,95944.593,601,193091.187,197476.665,195881.321
93,DCMut+F,104411.925,618,210059.850,215229.336,212928.907
94,DCMut+F+I,102267.078,619,205772.156,210993.653,208645.855
95,DCMut+F+G4,96455.016,619,194148.032,199369.529,197021.732
96,DCMut+F+I+G4,96234.641,620,193709.282,198983.528,196587.624
97,PMB,103473.849,599,208145.699,212449.890,210926.548
98,PMB+I,101632.927,600,204465.854,208810.433,207251.346
99,PMB+G4,96337.808,600,193875.615,198220.194,196661.108
100,PMB+I+G4,96152.265,601,193506.530,197892.009,196296.664
101,PMB+F,103167.744,618,207571.488,212740.974,210440.545
102,PMB+F+I,101286.015,619,203810.030,209031.527,206683.729
103,PMB+F+G4,95921.850,619,193081.700,198303.196,195955.399
104,PMB+F+I+G4,95727.062,620,192694.123,197968.370,195572.465
105,HIVb,109200.192,599,219598.384,223902.576,222379.234
