No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103836.223,599,208870.446,213419.813,211644.225
2,Dayhoff+I,101641.555,600,204483.110,209076.740,207261.520
3,Dayhoff+G4,96115.168,600,193430.335,198023.966,196208.745
4,Dayhoff+I+G4,95858.685,601,192919.370,197557.857,195702.411
5,Dayhoff+F,104379.156,618,209994.312,215498.513,212856.074
6,Dayhoff+F+I,102246.874,619,205731.748,211293.777,208598.141
7,Dayhoff+F+G4,96414.003,619,194066.005,199628.034,196932.398
8,Dayhoff+F+I+G4,96169.525,620,193579.051,199199.781,196450.074
9,mtMAM,119887.688,599,240973.375,245522.742,243747.154
10,mtMAM+I,118468.063,600,238136.126,242729.756,240914.536
11,mtMAM+G4,104878.363,600,210956.726,215550.357,213735.136
12,mtMAM+I+G4,104672.933,601,210547.867,215186.354,213330.907
13,mtMAM+F,113251.451,618,227738.903,233243.104,230600.665
14,mtMAM+F+I,111535.421,619,224308.841,229870.870,227175.234
15,mtMAM+F+G4,100813.789,619,202865.578,208427.607,205731.971
16,mtMAM+F+I+G4,100684.427,620,202608.855,208229.584,205479.878
17,JTT,104007.729,599,209213.458,213762.825,211987.238
18,JTT+I,101908.376,600,205016.753,209610.383,207795.163
19,JTT+G4,95955.764,600,193111.529,197705.160,195889.939
20,JTT+I+G4,95734.222,601,192670.443,197308.930,195453.484
21,JTT+F,104328.662,618,209893.323,215397.525,212755.086
22,JTT+F+I,102249.794,619,205737.587,211299.616,208603.980
23,JTT+F+G4,96015.626,619,193269.253,198831.282,196135.646
24,JTT+F+I+G4,95816.073,620,192872.146,198492.876,195743.170
25,WAG,101554.727,599,204307.453,208856.820,207081.233
26,WAG+I,99610.278,600,200420.555,205014.186,203198.965
27,WAG+G4,94652.780,600,190505.560,195099.191,193283.970
28,WAG+I+G4,94420.585,601,190043.170,194681.657,192826.211
29,WAG+F,101782.865,618,204801.729,210305.930,207663.491
30,WAG+F+I,99874.642,619,200987.284,206549.313,203853.677
31,WAG+F+G4,94723.595,619,190685.189,196247.218,193551.582
32,WAG+F+I+G4,94516.155,620,190272.310,195893.040,193143.334
