No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,103748.468,599,208694.936,212601.457,211488.917
2,Dayhoff+I,101565.830,600,204331.659,208272.643,207130.305
3,Dayhoff+G4,96089.531,600,193379.062,197320.046,196177.708
4,Dayhoff+I+G4,95846.645,601,192895.289,196871.136,195698.599
5,Dayhoff+F,104300.304,618,209836.607,214473.480,212719.212
6,Dayhoff+F+I,102181.115,619,205600.230,210280.474,208487.500
7,Dayhoff+F+G4,96403.380,619,194044.759,198725.003,196932.029
8,Dayhoff+F+I+G4,96171.288,620,193582.577,198306.749,196474.511
9,mtMAM,119858.815,599,240915.630,244822.151,243709.611
10,mtMAM+I,118452.168,600,238104.336,242045.320,240902.982
11,mtMAM+G4,104867.473,600,210934.945,214875.929,213733.591
12,mtMAM+I+G4,104715.895,601,210633.789,214609.635,213437.099
13,mtMAM+F,113183.920,618,227603.840,232240.713,230486.445
14,mtMAM+F+I,111482.036,619,224202.071,228882.315,227089.340
15,mtMAM+F+G4,100849.561,619,202937.123,207617.366,205824.392
16,mtMAM+F+I+G4,100703.582,620,202647.163,207371.335,205539.097
17,JTT,103934.130,599,209066.259,212972.781,211860.240
18,JTT+I,101841.472,600,204882.944,208823.928,207681.589
19,JTT+G4,95914.901,600,193029.802,196970.785,195828.447
20,JTT+I+G4,95720.038,601,192642.076,196617.922,195445.386
21,JTT+F,104262.448,618,209760.897,214397.769,212643.501
22,JTT+F+I,102191.404,619,205620.809,210301.053,208508.078
23,JTT+F+G4,96004.179,619,193246.358,197926.602,196133.627
24,JTT+F+I+G4,95822.749,620,192885.498,197609.669,195777.431
25,WAG,101451.988,599,204101.975,208008.497,206895.956
26,WAG+I,99515.882,600,200231.764,204172.748,203030.410
27,WAG+G4,94602.180,600,190404.359,194345.343,193203.005
28,WAG+I+G4,94403.414,601,190008.829,193984.675,192812.138
29,WAG+F,101683.645,618,204603.290,209240.162,207485.894
30,WAG+F+I,99785.572,619,200809.145,205489.389,203696.414
31,WAG+F+G4,94676.994,619,190591.989,195272.233,193479.258
32,WAG+F+I+G4,94478.564,620,190197.128,194921.300,193089.062
33,cpREV,102502.538,599,206203.076,210109.598,208997.057
34,cpREV+I,100732.320,600,202664.640,206605.623,205463.285
35,cpREV+G4,95796.916,600,192793.832,196734.815,195592.477
36,cpREV+I+G4,95583.980,601,192369.960,196345.806,195173.270
37,cpREV+F,102232.299,618,205700.597,210337.470,208583.202
