No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,19046.695,65,38223.391,38230.712,38556.272
2,JC+I,18378.846,66,36889.693,36897.245,37227.696
3,JC+G4,18232.414,66,36596.828,36604.380,36934.830
4,JC+I+G4,18194.529,67,36523.058,36530.846,36866.182
5,F81+F,19112.889,68,38361.779,38369.806,38710.024
6,F81+F+I,18445.039,69,37028.078,37036.349,37381.444
7,F81+F+G4,18302.520,69,36743.040,36751.310,37096.406
8,F81+F+I+G4,18263.402,70,36666.805,36675.322,37025.292
9,K2P,18473.758,66,37079.516,37087.068,37417.518
10,K2P+I,17777.924,67,35689.848,35697.636,36032.972
11,K2P+G4,17601.777,67,35337.554,35345.342,35680.678
12,K2P+I+G4,17566.267,68,35268.535,35276.562,35616.780
13,HKY+F,18525.102,69,37188.204,37196.474,37541.570
14,HKY+F+I,17832.432,70,35804.865,35813.382,36163.353
15,HKY+F+G4,17653.988,70,35447.977,35456.494,35806.464
16,HKY+F+I+G4,17617.988,71,35377.977,35386.745,35741.586
17,TNe,18473.404,67,37080.809,37088.597,37423.933
18,TNe+I,17774.306,68,35684.611,35692.638,36032.856
19,TNe+G4,17601.459,68,35338.918,35346.946,35687.164
20,TNe+I+G4,17565.514,69,35269.028,35277.298,35622.394
21,TN+F,18522.704,70,37185.407,37193.925,37543.895
22,TN+F+I,17827.011,71,35796.022,35804.791,36159.631
23,TN+F+G4,17652.486,71,35446.973,35455.741,35810.582
24,TN+F+I+G4,17615.814,72,35375.629,35384.652,35744.359
25,K3P,18472.684,67,37079.368,37087.156,37422.492
26,K3P+I,17776.675,68,35689.349,35697.376,36037.594
27,K3P+G4,17600.405,68,35336.810,35344.837,35685.055
28,K3P+I+G4,17564.837,69,35267.674,35275.945,35621.041
29,K3Pu+F,18522.686,70,37185.371,37193.889,37543.859
30,K3Pu+F+I,17830.270,71,35802.540,35811.308,36166.149
31,K3Pu+F+G4,17651.310,71,35444.621,35453.389,35808.230
32,K3Pu+F+I+G4,17615.269,72,35374.538,35383.561,35743.268
33,TPM2+F,18524.778,70,37189.557,37198.074,37548.044
34,TPM2+F+I,17830.221,71,35802.443,35811.211,36166.051
35,TPM2+F+G4,17650.514,71,35443.028,35451.797,35806.637
36,TPM2+F+I+G4,17614.103,72,35372.205,35381.228,35740.935
37,TPM2u+F,18524.778,70,37189.557,37198.074,37548.044
38,TPM2u+F+I,17830.221,71,35802.442,35811.211,36166.051
39,TPM2u+F+G4,17650.514,71,35443.028,35451.797,35806.637
40,TPM2u+F+I+G4,17614.103,72,35372.206,35381.229,35740.936
41,TPM3+F,18481.589,70,37103.177,37111.695,37461.665
42,TPM3+F+I,17809.262,71,35760.525,35769.293,36124.134
43,TPM3+F+G4,17617.277,71,35376.555,35385.323,35740.164
44,TPM3+F+I+G4,17583.758,72,35311.516,35320.539,35680.246
45,TPM3u+F,18481.590,70,37103.180,37111.698,37461.668
