No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,20550.890,53,41207.781,41212.860,41476.709
2,Dayhoff+I,20376.425,54,40860.850,40866.125,41134.852
3,Dayhoff+G4,19830.449,54,39768.897,39774.173,40042.900
4,Dayhoff+I+G4,19831.116,55,39772.232,39777.708,40051.308
5,Dayhoff+F,20430.311,72,41004.622,41014.109,41369.958
6,Dayhoff+F+I,20254.312,73,40654.625,40664.384,41025.035
7,Dayhoff+F+G4,19702.742,73,39551.485,39561.245,39921.895
8,Dayhoff+F+I+G4,19703.230,74,39554.461,39564.497,39929.945
9,mtMAM,22442.103,53,44990.205,44995.284,45259.133
10,mtMAM+I,22154.405,54,44416.809,44422.085,44690.812
11,mtMAM+G4,20878.229,54,41864.459,41869.734,42138.461
12,mtMAM+I+G4,20875.202,55,41860.404,41865.880,42139.481
13,mtMAM+F,21099.262,72,42342.523,42352.011,42707.860
14,mtMAM+F+I,20838.766,73,41823.531,41833.291,42193.942
15,mtMAM+F+G4,19868.154,73,39882.308,39892.068,40252.718
16,mtMAM+F+I+G4,19868.886,74,39885.773,39895.809,40261.257
17,JTT,19993.739,53,40093.478,40098.557,40362.407
18,JTT+I,19833.669,54,39775.338,39780.614,40049.341
19,JTT+G4,19375.046,54,38858.092,38863.367,39132.094
20,JTT+I+G4,19375.598,55,38861.196,38866.672,39140.272
21,JTT+F,19891.560,72,39927.121,39936.608,40292.457
22,JTT+F+I,19731.192,73,39608.383,39618.143,39978.794
23,JTT+F+G4,19277.148,73,38700.296,38710.056,39070.707
24,JTT+F+I+G4,19277.677,74,38703.354,38713.390,39078.838
25,WAG,20266.048,53,40638.096,40643.175,40907.024
26,WAG+I,20111.816,54,40331.632,40336.907,40605.634
27,WAG+G4,19652.765,54,39413.530,39418.806,39687.533
28,WAG+I+G4,19653.343,55,39416.686,39422.161,39695.762
29,WAG+F,20136.549,72,40417.098,40426.585,40782.434
30,WAG+F+I,19982.939,73,40111.878,40121.638,40482.288
31,WAG+F+G4,19512.346,73,39170.691,39180.451,39541.102
32,WAG+F+I+G4,19512.877,74,39173.755,39183.791,39549.239
33,cpREV,20498.536,53,41103.073,41108.152,41372.001
34,cpREV+I,20326.179,54,40760.357,40765.632,41034.359
35,cpREV+G4,19753.187,54,39614.373,39619.648,39888.375
36,cpREV+I+G4,19753.624,55,39617.248,39622.724,39896.324
37,cpREV+F,20310.698,72,40765.396,40774.884,41130.733
38,cpREV+F+I,20140.688,73,40427.375,40437.135,40797.786
39,cpREV+F+G4,19549.788,73,39245.576,39255.336,39615.987
40,cpREV+F+I+G4,19550.094,74,39248.187,39258.223,39623.672
41,mtREV,21676.488,53,43458.976,43464.055,43727.904
42,mtREV+I,21450.649,54,43009.298,43014.573,43283.300
43,mtREV+G4,20625.985,54,41359.970,41365.245,41633.972
44,mtREV+I+G4,20626.270,55,41362.539,41368.015,41641.615
45,mtREV+F,20573.582,72,41291.164,41300.651,41656.500
46,mtREV+F+I,20368.167,73,40882.334,40892.094,41252.744
47,mtREV+F+G4,19674.193,73,39494.386,39504.145,39864.796
48,mtREV+F+I+G4,19673.907,74,39495.815,39505.851,39871.300
49,rtREV,20702.555,53,41511.110,41516.189,41780.038
50,rtREV+I,20535.020,54,41178.041,41183.316,41452.043
51,rtREV+G4,19982.308,54,40072.616,40077.892,40346.619
52,rtREV+I+G4,19982.631,55,40075.263,40080.738,40354.339
53,rtREV+F,20510.456,72,41164.911,41174.399,41530.248
54,rtREV+F+I,20337.414,73,40820.827,40830.587,41191.238
55,rtREV+F+G4,19790.052,73,39726.105,39735.865,40096.516
56,rtREV+F+I+G4,19790.303,74,39728.605,39738.641,40104.090
57,mtART,23107.273,53,46320.545,46325.624,46589.474
58,mtART+I,22784.412,54,45676.824,45682.099,45950.826
59,mtART+G4,21396.410,54,42900.819,42906.095,43174.822
60,mtART+I+G4,21395.939,55,42901.879,42907.354,43180.955
61,mtART+F,21719.461,72,43582.922,43592.409,43948.259
62,mtART+F+I,21455.929,73,43057.858,43067.618,43428.269
63,mtART+F+G4,20322.964,73,40791.928,40801.688,41162.339
64,mtART+F+I+G4,20323.649,74,40795.298,40805.334,41170.783
65,mtZOA,22021.342,53,44148.685,44153.764,44417.613
66,mtZOA+I,21764.427,54,43636.854,43642.129,43910.856
67,mtZOA+G4,20721.600,54,41551.199,41556.475,41825.202
68,mtZOA+I+G4,20721.585,55,41553.171,41558.646,41832.247
69,mtZOA+F,20990.748,72,42125.497,42134.984,42490.833
70,mtZOA+F+I,20774.597,73,41695.193,41704.953,42065.604
71,mtZOA+F+G4,19949.449,73,40044.897,40054.657,40415.308
72,mtZOA+F+I+G4,19949.897,74,40047.795,40057.831,40423.279
73,VT,20176.470,53,40458.940,40464.019,40727.868
74,VT+I,20024.937,54,40157.873,40163.149,40431.876
75,VT+G4,19619.677,54,39347.354,39352.630,39621.357
76,VT+I+G4,19619.813,55,39349.626,39355.102,39628.703
77,VT+F,20033.496,72,40210.992,40220.479,40576.328
78,VT+F+I,19883.486,73,39912.971,39922.731,40283.382
79,VT+F+G4,19478.929,73,39103.858,39113.618,39474.269
80,VT+F+I+G4,19479.048,74,39106.096,39116.132,39481.580
81,LG,20535.020,53,41176.040,41181.119,41444.969
82,LG+I,20362.722,54,40833.444,40838.719,41107.446
83,LG+G4,19820.858,54,39749.716,39754.991,40023.718
84,LG+I+G4,19821.009,55,39752.018,39757.494,40031.095
85,LG+F,20315.084,72,40774.168,40783.655,41139.504
86,LG+F+I,20144.921,73,40435.842,40445.602,40806.253
87,LG+F+G4,19611.750,73,39369.501,39379.260,39739.911
88,LG+F+I+G4,19611.885,74,39371.770,39381.807,39747.255
89,DCMut,20550.617,53,41207.235,41212.314,41476.163
90,DCMut+I,20376.205,54,40860.410,40865.685,41134.412
91,DCMut+G4,19831.394,54,39770.789,39776.064,40044.791
92,DCMut+I+G4,19831.446,55,39772.892,39778.368,40051.969
93,DCMut+F,20429.801,72,41003.603,41013.090,41368.939
94,DCMut+F+I,20253.900,73,40653.801,40663.561,41024.211
95,DCMut+F+G4,19703.586,73,39553.173,39562.932,39923.583
96,DCMut+F+I+G4,19703.634,74,39555.268,39565.304,39930.753
97,PMB,20421.368,53,40948.735,40953.814,41217.663
98,PMB+I,20261.442,54,40630.884,40636.159,40904.886
99,PMB+G4,19835.999,54,39779.997,39785.273,40054.000
100,PMB+I+G4,19836.064,55,39782.128,39787.604,40061.205
101,PMB+F,20317.520,72,40779.041,40788.528,41144.377
102,PMB+F+I,20162.719,73,40471.437,40481.197,40841.848
103,PMB+F+G4,19735.174,73,39616.349,39626.108,39986.759
104,PMB+F+I+G4,19735.271,74,39618.542,39628.578,39994.027
