No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,11147.253,11,22316.506,22316.697,22374.185
2,Dayhoff+I,10944.738,12,21913.475,21913.701,21976.398
3,Dayhoff+G4,10894.375,12,21812.750,21812.975,21875.672
4,Dayhoff+I+G4,10894.480,13,21814.960,21815.223,21883.125
5,Dayhoff+F,11060.669,30,22181.338,22182.698,22338.644
6,Dayhoff+F+I,10861.148,31,21784.296,21785.747,21946.844
7,Dayhoff+F+G4,10806.894,31,21675.788,21677.239,21838.337
8,Dayhoff+F+I+G4,10807.360,32,21678.720,21680.267,21846.513
9,mtMAM,11949.262,11,23920.523,23920.714,23978.202
10,mtMAM+I,11629.548,12,23283.096,23283.321,23346.018
11,mtMAM+G4,11356.230,12,22736.460,22736.685,22799.382
12,mtMAM+I+G4,11357.988,13,22741.976,22742.239,22810.142
13,mtMAM+F,11455.952,30,22971.904,22973.264,23129.210
14,mtMAM+F+I,11137.139,31,22336.278,22337.730,22498.827
15,mtMAM+F+G4,10939.207,31,21940.415,21941.866,22102.964
16,mtMAM+F+I+G4,10939.882,32,21943.765,21945.311,22111.557
17,JTT,11010.442,11,22042.884,22043.074,22100.562
18,JTT+I,10827.838,12,21679.676,21679.901,21742.598
19,JTT+G4,10780.301,12,21584.602,21584.827,21647.524
20,JTT+I+G4,10779.998,13,21585.996,21586.259,21654.162
21,JTT+F,10981.749,30,22023.497,22024.857,22180.802
22,JTT+F+I,10798.301,31,21658.602,21660.054,21821.151
23,JTT+F+G4,10745.480,31,21552.959,21554.411,21715.508
24,JTT+F+I+G4,10745.272,32,21554.544,21556.090,21722.336
25,WAG,10983.617,11,21989.234,21989.425,22046.913
26,WAG+I,10813.877,12,21651.754,21651.979,21714.676
27,WAG+G4,10779.868,12,21583.737,21583.962,21646.659
28,WAG+I+G4,10779.365,13,21584.729,21584.992,21652.895
29,WAG+F,10947.324,30,21954.649,21956.008,22111.954
30,WAG+F+I,10778.153,31,21618.306,21619.758,21780.855
31,WAG+F+G4,10739.882,31,21541.763,21543.215,21704.312
32,WAG+F+I+G4,10739.491,32,21542.981,21544.528,21710.774
33,cpREV,11017.746,11,22057.491,22057.682,22115.170
34,cpREV+I,10841.960,12,21707.921,21708.146,21770.843
35,cpREV+G4,10793.122,12,21610.244,21610.469,21673.166
36,cpREV+I+G4,10792.856,13,21611.713,21611.975,21679.878
37,cpREV+F,10989.261,30,22038.522,22039.882,22195.827
38,cpREV+F+I,10807.719,31,21677.438,21678.890,21839.987
39,cpREV+F+G4,10757.633,31,21577.265,21578.717,21739.814
40,cpREV+F+I+G4,10757.276,32,21578.552,21580.099,21746.345
41,mtREV,11580.341,11,23182.681,23182.872,23240.360
42,mtREV+I,11359.546,12,22743.092,22743.317,22806.014
43,mtREV+G4,11237.850,12,22499.700,22499.925,22562.622
44,mtREV+I+G4,11238.227,13,22502.454,22502.716,22570.619
45,mtREV+F,11129.131,30,22318.262,22319.621,22475.567
46,mtREV+F+I,10911.974,31,21885.947,21887.399,22048.496
47,mtREV+F+G4,10817.925,31,21697.850,21699.301,21860.399
48,mtREV+F+I+G4,10817.777,32,21699.554,21701.100,21867.346
49,rtREV,11117.736,11,22257.471,22257.662,22315.150
50,rtREV+I,10940.812,12,21905.625,21905.850,21968.547
51,rtREV+G4,10887.609,12,21799.218,21799.444,21862.141
52,rtREV+I+G4,10887.451,13,21800.902,21801.165,21869.067
53,rtREV+F,11015.484,30,22090.969,22092.329,22248.274
54,rtREV+F+I,10830.328,31,21722.656,21724.107,21885.205
55,rtREV+F+G4,10769.032,31,21600.065,21601.516,21762.614
56,rtREV+F+I+G4,10768.969,32,21601.938,21603.484,21769.731
57,mtART,11812.329,11,23646.657,23646.847,23704.336
58,mtART+I,11524.965,12,23073.930,23074.155,23136.852
59,mtART+G4,11294.119,12,22612.238,22612.463,22675.160
60,mtART+I+G4,11294.884,13,22615.768,22616.031,22683.933
61,mtART+F,11343.403,30,22746.806,22748.165,22904.111
62,mtART+F+I,11083.958,31,22229.916,22231.368,22392.465
63,mtART+F+G4,10907.386,31,21876.771,21878.222,22039.320
64,mtART+F+I+G4,10907.585,32,21879.171,21880.717,22046.963
65,mtZOA,11566.202,11,23154.404,23154.594,23212.082
66,mtZOA+I,11322.602,12,22669.203,22669.429,22732.126
67,mtZOA+G4,11140.272,12,22304.544,22304.769,22367.466
68,mtZOA+I+G4,11141.439,13,22308.877,22309.140,22377.043
69,mtZOA+F,11187.026,30,22434.051,22435.411,22591.357
70,mtZOA+F+I,10958.029,31,21978.057,21979.509,22140.606
71,mtZOA+F+G4,10827.501,31,21717.002,21718.453,21879.551
72,mtZOA+F+I+G4,10827.589,32,21719.178,21720.724,21886.970
73,VT,10963.781,11,21949.562,21949.752,22007.241
74,VT+I,10807.341,12,21638.682,21638.907,21701.604
75,VT+G4,10778.380,12,21580.761,21580.986,21643.683
76,VT+I+G4,10778.072,13,21582.143,21582.406,21650.309
77,VT+F,10938.573,30,21937.146,21938.506,22094.452
78,VT+F+I,10781.834,31,21625.668,21627.119,21788.217
79,VT+F+G4,10749.845,31,21561.690,21563.142,21724.239
80,VT+F+I+G4,10749.597,32,21563.193,21564.739,21730.986
81,LG,11004.858,11,22031.717,22031.907,22089.396
82,LG+I,10819.139,12,21662.279,21662.504,21725.201
83,LG+G4,10761.695,12,21547.390,21547.615,21610.312
84,LG+I+G4,10761.400,13,21548.800,21549.063,21616.966
85,LG+F,10989.244,30,22038.488,22039.848,22195.794
86,LG+F+I,10800.785,31,21663.571,21665.022,21826.119
87,LG+F+G4,10736.479,31,21534.958,21536.409,21697.507
88,LG+F+I+G4,10736.300,32,21536.600,21538.147,21704.393
89,DCMut,11146.425,11,22314.850,22315.040,22372.528
90,DCMut+I,10944.490,12,21912.979,21913.204,21975.901
91,DCMut+G4,10894.745,12,21813.490,21813.715,21876.412
92,DCMut+I+G4,10893.992,13,21813.983,21814.246,21882.149
93,DCMut+F,11059.729,30,22179.457,22180.817,22336.762
94,DCMut+F+I,10860.783,31,21783.565,21785.017,21946.114
95,DCMut+F+G4,10807.120,31,21676.240,21677.691,21838.789
96,DCMut+F+I+G4,10806.503,32,21677.006,21678.552,21844.798
97,PMB,11031.220,11,22084.441,22084.631,22142.119
98,PMB+I,10878.410,12,21780.820,21781.045,21843.742
99,PMB+G4,10848.667,12,21721.334,21721.559,21784.256
100,PMB+I+G4,10848.355,13,21722.710,21722.973,21790.876
101,PMB+F,11000.454,30,22060.907,22062.267,22218.213
102,PMB+F+I,10844.293,31,21750.587,21752.038,21913.136
103,PMB+F+G4,10811.764,31,21685.528,21686.979,21848.077
104,PMB+F+I+G4,10811.460,32,21686.920,21688.466,21854.712
105,HIVb,11290.902,11,22603.804,22603.994,22661.482
106,HIVb+I,11030.153,12,22084.306,22084.531,22147.228
107,HIVb+G4,10950.184,12,21924.369,21924.594,21987.291
108,HIVb+I+G4,10949.103,13,21924.205,21924.468,21992.371
109,HIVb+F,11212.515,30,22485.031,22486.390,22642.336
110,HIVb+F+I,10941.764,31,21945.528,21946.979,22108.077
111,HIVb+F+G4,10855.184,31,21772.368,21773.819,21934.917
112,HIVb+F+I+G4,10853.997,32,21771.994,21773.540,21939.786
113,HIVw,11567.031,11,23156.063,23156.253,23213.741
114,HIVw+I,11295.202,12,22614.405,22614.630,22677.327
115,HIVw+G4,11209.897,12,22443.793,22444.018,22506.715
116,HIVw+I+G4,11208.627,13,22443.254,22443.517,22511.420
117,HIVw+F,11369.180,30,22798.359,22799.719,22955.665
118,HIVw+F+I,11090.378,31,22242.756,22244.207,22405.305
119,HIVw+F+G4,11008.524,31,22079.048,22080.500,22241.597
120,HIVw+F+I+G4,11007.118,32,22078.235,22079.782,22246.028
121,JTTDCMut,11011.778,11,22045.556,22045.746,22103.235
122,JTTDCMut+I,10829.137,12,21682.274,21682.499,21745.196
123,JTTDCMut+G4,10781.244,12,21586.488,21586.713,21649.410
124,JTTDCMut+I+G4,10780.943,13,21587.885,21588.148,21656.051
125,JTTDCMut+F,10983.060,30,22026.120,22027.479,22183.425
126,JTTDCMut+F+I,10799.428,31,21660.856,21662.308,21823.405
127,JTTDCMut+F+G4,10746.328,31,21554.656,21556.107,21717.205
128,JTTDCMut+F+I+G4,10746.094,32,21556.189,21557.735,21723.981
129,FLU,11232.319,11,22486.639,22486.829,22544.317
130,FLU+I,11012.259,12,22048.519,22048.744,22111.441
131,FLU+G4,10928.026,12,21880.053,21880.278,21942.975
132,FLU+I+G4,10927.881,13,21881.763,21882.026,21949.929
133,FLU+F,11157.989,30,22375.977,22377.337,22533.283
134,FLU+F+I,10933.661,31,21929.323,21930.774,22091.872
135,FLU+F+G4,10838.670,31,21739.339,21740.791,21901.888
136,FLU+F+I+G4,10838.703,32,21741.406,21742.952,21909.198
137,Blosum62,11015.538,11,22053.076,22053.266,22110.754
138,Blosum62+I,10862.630,12,21749.259,21749.485,21812.182
139,Blosum62+G4,10830.135,12,21684.271,21684.496,21747.193
140,Blosum62+I+G4,10829.870,13,21685.739,21686.002,21753.905
141,Blosum62+F,10998.011,30,22056.023,22057.383,22213.328
142,Blosum62+F+I,10841.612,31,21745.224,21746.675,21907.772
143,Blosum62+F+G4,10806.415,31,21674.829,21676.280,21837.378
144,Blosum62+F+I+G4,10806.166,32,21676.331,21677.877,21844.124
145,mtMet,11569.451,11,23160.901,23161.092,23218.580
146,mtMet+I,11344.214,12,22712.427,22712.652,22775.349
147,mtMet+G4,11209.643,12,22443.287,22443.512,22506.209
148,mtMet+I+G4,11210.038,13,22446.076,22446.339,22514.241
149,mtMet+F,11142.570,30,22345.139,22346.499,22502.445
150,mtMet+F+I,10918.346,31,21898.692,21900.144,22061.241
151,mtMet+F+G4,10815.799,31,21693.598,21695.050,21856.147
152,mtMet+F+I+G4,10815.737,32,21695.474,21697.020,21863.267
153,mtVer,11723.177,11,23468.354,23468.544,23526.032
154,mtVer+I,11474.579,12,22973.158,22973.383,23036.081
155,mtVer+G4,11294.347,12,22612.694,22612.919,22675.616
156,mtVer+I+G4,11295.249,13,22616.497,22616.760,22684.663
157,mtVer+F,11250.810,30,22561.620,22562.979,22718.925
158,mtVer+F+I,10998.178,31,22058.357,22059.808,22220.906
159,mtVer+F+G4,10877.384,31,21816.767,21818.218,21979.316
160,mtVer+F+I+G4,10877.245,32,21818.491,21820.037,21986.283
161,mtInv,11598.907,11,23219.814,23220.004,23277.493
162,mtInv+I,11391.272,12,22806.543,22806.768,22869.465
163,mtInv+G4,11289.771,12,22603.542,22603.767,22666.464
164,mtInv+I+G4,11289.610,13,22605.220,22605.483,22673.386
165,mtInv+F,11053.914,30,22167.828,22169.187,22325.133
166,mtInv+F+I,10858.401,31,21778.801,21780.252,21941.350
167,mtInv+F+G4,10781.975,31,21625.950,21627.402,21788.499
168,mtInv+F+I+G4,10781.699,32,21627.397,21628.944,21795.190
