No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,25875.715,45,51841.430,51843.769,52089.127
2,Dayhoff+I,25438.173,46,50968.346,50970.790,51221.548
3,Dayhoff+G4,25062.321,46,50216.642,50219.086,50469.844
4,Dayhoff+I+G4,25059.410,47,50212.820,50215.372,50471.527
5,Dayhoff+F,25670.849,64,51469.698,51474.450,51821.979
6,Dayhoff+F+I,25248.196,65,50626.393,50631.296,50984.178
7,Dayhoff+F+G4,24857.652,65,49845.304,49850.207,50203.090
8,Dayhoff+F+I+G4,24854.385,66,49840.770,49845.826,50204.059
9,mtMAM,27249.816,45,54589.631,54591.970,54837.329
10,mtMAM+I,26790.956,46,53673.912,53676.357,53927.114
11,mtMAM+G4,25931.584,46,51955.169,51957.613,52208.371
12,mtMAM+I+G4,25927.083,47,51948.166,51950.718,52206.872
13,mtMAM+F,25730.844,64,51589.688,51594.440,51941.969
14,mtMAM+F+I,25303.595,65,50737.189,50742.092,51094.975
15,mtMAM+F+G4,24672.584,65,49475.169,49480.072,49832.954
16,mtMAM+F+I+G4,24668.304,66,49468.608,49473.664,49831.898
17,JTT,25111.396,45,50312.792,50315.131,50560.490
18,JTT+I,24677.141,46,49446.283,49448.727,49699.485
19,JTT+G4,24382.348,46,48856.696,48859.140,49109.898
20,JTT+I+G4,24378.264,47,48850.527,48853.080,49109.234
21,JTT+F,24991.101,64,50110.202,50114.953,50462.483
22,JTT+F+I,24574.602,65,49279.204,49284.106,49636.989
23,JTT+F+G4,24264.523,65,48659.045,48663.948,49016.831
24,JTT+F+I+G4,24260.216,66,48652.431,48657.488,49015.721
25,WAG,25527.597,45,51145.194,51147.533,51392.892
26,WAG+I,25119.263,46,50330.525,50332.970,50583.727
27,WAG+G4,24800.092,46,49692.185,49694.629,49945.387
28,WAG+I+G4,24796.674,47,49687.348,49689.900,49946.055
29,WAG+F,25241.749,64,50611.498,50616.250,50963.780
30,WAG+F+I,24848.717,65,49827.434,49832.337,50185.219
31,WAG+F+G4,24532.150,65,49194.299,49199.202,49552.085
32,WAG+F+I+G4,24528.261,66,49188.521,49193.578,49551.811
33,cpREV,25732.393,45,51554.786,51557.125,51802.484
34,cpREV+I,25290.422,46,50672.845,50675.289,50926.047
35,cpREV+G4,24884.638,46,49861.277,49863.721,50114.479
36,cpREV+I+G4,24881.073,47,49856.146,49858.698,50114.852
37,cpREV+F,25403.068,64,50934.137,50938.888,51286.418
38,cpREV+F+I,24970.582,65,50071.164,50076.067,50428.950
39,cpREV+F+G4,24546.752,65,49223.504,49228.407,49581.290
40,cpREV+F+I+G4,24543.447,66,49218.895,49223.952,49582.185
41,mtREV,26607.097,45,53304.193,53306.532,53551.891
42,mtREV+I,26208.490,46,52508.980,52511.424,52762.182
43,mtREV+G4,25675.893,46,51443.785,51446.230,51696.987
44,mtREV+I+G4,25672.941,47,51439.883,51442.435,51698.589
45,mtREV+F,25359.585,64,50847.170,50851.921,51199.451
46,mtREV+F+I,24978.061,65,50086.122,50091.025,50443.908
47,mtREV+F+G4,24521.073,65,49172.147,49177.049,49529.932
48,mtREV+F+I+G4,24517.957,66,49167.914,49172.971,49531.204
49,rtREV,25935.995,45,51961.991,51964.330,52209.688
50,rtREV+I,25511.452,46,51114.905,51117.349,51368.107
51,rtREV+G4,25151.468,46,50394.937,50397.381,50648.139
52,rtREV+I+G4,25146.360,47,50386.721,50389.273,50645.427
53,rtREV+F,25579.645,64,51287.291,51292.042,51639.572
54,rtREV+F+I,25169.425,65,50468.850,50473.753,50826.635
55,rtREV+F+G4,24811.667,65,49753.334,49758.237,50111.119
56,rtREV+F+I+G4,24806.386,66,49744.772,49749.828,50108.062
57,mtART,28203.546,45,56497.091,56499.430,56744.789
58,mtART+I,27621.181,46,55334.363,55336.807,55587.565
59,mtART+G4,26752.228,46,53596.456,53598.901,53849.658
60,mtART+I+G4,26746.424,47,53586.848,53589.400,53845.555
61,mtART+F,26733.692,64,53595.384,53600.135,53947.665
62,mtART+F+I,26231.376,65,52592.752,52597.655,52950.538
