No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,11642.217,63,23410.435,23435.247,23660.140
2,Dayhoff+I,11504.585,64,23137.170,23162.849,23390.839
3,Dayhoff+G4,11234.547,64,22597.094,22622.773,22850.763
4,Dayhoff+I+G4,11227.436,65,22584.873,22611.436,22842.506
5,Dayhoff+F,11614.850,82,23393.699,23438.183,23718.713
6,Dayhoff+F+I,11493.003,83,23152.006,23197.724,23480.983
7,Dayhoff+F+G4,11228.356,83,22622.712,22668.430,22951.689
8,Dayhoff+F+I+G4,11223.055,84,22614.109,22661.083,22947.050
9,mtMAM,12681.929,63,25489.859,25514.671,25739.564
10,mtMAM+I,12493.390,64,25114.779,25140.458,25368.448
11,mtMAM+G4,11831.940,64,23791.881,23817.560,24045.550
12,mtMAM+I+G4,11825.270,65,23780.541,23807.104,24038.173
13,mtMAM+F,12191.687,82,24547.373,24591.857,24872.387
14,mtMAM+F+I,12009.068,83,24184.136,24229.854,24513.113
15,mtMAM+F+G4,11545.418,83,23256.836,23302.554,23585.813
16,mtMAM+F+I+G4,11537.697,84,23243.394,23290.368,23576.335
17,JTT,11465.883,63,23057.765,23082.577,23307.471
18,JTT+I,11322.594,64,22773.188,22798.867,23026.857
19,JTT+G4,11072.569,64,22273.139,22298.818,22526.808
20,JTT+I+G4,11066.302,65,22262.603,22289.167,22520.236
21,JTT+F,11504.442,82,23172.884,23217.368,23497.898
22,JTT+F+I,11364.292,83,22894.583,22940.301,23223.561
23,JTT+F+G4,11121.906,83,22409.812,22455.530,22738.789
24,JTT+F+I+G4,11115.623,84,22399.247,22446.220,22732.187
25,WAG,11521.859,63,23169.717,23194.530,23419.423
26,WAG+I,11389.838,64,22907.676,22933.355,23161.345
27,WAG+G4,11144.882,64,22417.763,22443.442,22671.432
28,WAG+I+G4,11139.570,65,22409.141,22435.704,22666.773
29,WAG+F,11538.557,82,23241.115,23285.598,23566.128
30,WAG+F+I,11416.862,83,22999.725,23045.443,23328.702
31,WAG+F+G4,11176.963,83,22519.926,22565.644,22848.903
32,WAG+F+I+G4,11172.315,84,22512.631,22559.604,22845.571
33,cpREV,11723.187,63,23572.374,23597.187,23822.080
34,cpREV+I,11552.520,64,23233.039,23258.718,23486.709
35,cpREV+G4,11252.164,64,22632.328,22658.007,22885.997
