No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19349.952,41,38781.904,38784.808,38991.542
2,Dayhoff+I,19127.159,42,38338.318,38341.366,38553.070
3,Dayhoff+G4,18908.872,42,37901.743,37904.791,38116.495
4,Dayhoff+I+G4,18908.184,43,37902.367,37905.563,38122.232
5,Dayhoff+F,19440.433,60,39000.867,39007.139,39307.655
6,Dayhoff+F+I,19209.403,61,38540.805,38547.292,38852.707
7,Dayhoff+F+G4,18970.794,61,38063.589,38070.076,38375.491
8,Dayhoff+F+I+G4,18970.347,62,38064.694,38071.400,38381.709
9,mtMAM,20186.943,41,40455.887,40458.791,40665.526
10,mtMAM+I,19887.882,42,39859.764,39862.812,40074.516
11,mtMAM+G4,19570.124,42,39224.249,39227.297,39439.001
12,mtMAM+I+G4,19563.805,43,39213.611,39216.807,39433.476
13,mtMAM+F,19387.434,60,38894.869,38901.141,39201.657
14,mtMAM+F+I,19134.072,61,38390.144,38396.631,38702.046
15,mtMAM+F+G4,18925.698,61,37973.397,37979.884,38285.298
16,mtMAM+F+I+G4,18921.948,62,37967.896,37974.602,38284.911
17,JTT,18684.234,41,37450.469,37453.372,37660.107
18,JTT+I,18456.970,42,36997.941,37000.989,37212.693
19,JTT+G4,18332.517,42,36749.035,36752.083,36963.787
20,JTT+I+G4,18328.712,43,36743.424,36746.620,36963.290
21,JTT+F,18720.418,60,37560.837,37567.109,37867.625
22,JTT+F+I,18485.792,61,37093.584,37100.071,37405.486
23,JTT+F+G4,18343.988,61,36809.975,36816.462,37121.877
24,JTT+F+I+G4,18340.388,62,36804.776,36811.481,37121.790
25,WAG,19282.414,41,38646.828,38649.732,38856.467
26,WAG+I,19050.914,42,38185.829,38188.877,38400.580
27,WAG+G4,18892.312,42,37868.623,37871.671,38083.375
28,WAG+I+G4,18890.440,43,37866.880,37870.076,38086.745
29,WAG+F,19339.225,60,38798.450,38804.722,39105.238
30,WAG+F+I,19097.964,61,38317.927,38324.414,38629.829
31,WAG+F+G4,18915.223,61,37952.447,37958.934,38264.349
32,WAG+F+I+G4,18913.560,62,37951.120,37957.826,38268.135
33,cpREV,19364.869,41,38811.738,38814.642,39021.377
34,cpREV+I,19110.000,42,38304.000,38307.048,38518.752
35,cpREV+G4,18899.452,42,37882.904,37885.952,38097.655
36,cpREV+I+G4,18898.513,43,37883.026,37886.222,38102.891
37,cpREV+F,19443.603,60,39007.207,39013.479,39313.995
38,cpREV+F+I,19182.809,61,38487.617,38494.104,38799.519
39,cpREV+F+G4,18925.784,61,37973.568,37980.055,38285.470
40,cpREV+F+I+G4,18925.573,62,37975.146,37981.851,38292.161
41,mtREV,19945.913,41,39973.826,39976.730,40183.465
42,mtREV+I,19703.665,42,39491.330,39494.378,39706.082
43,mtREV+G4,19507.492,42,39098.985,39102.033,39313.737
44,mtREV+I+G4,19503.567,43,39093.133,39096.329,39312.999
45,mtREV+F,19418.995,60,38957.990,38964.262,39264.778
46,mtREV+F+I,19190.443,61,38502.887,38509.374,38814.788
47,mtREV+F+G4,18973.099,61,38068.197,38074.685,38380.099
48,mtREV+F+I+G4,18971.811,62,38067.623,38074.328,38384.637
49,rtREV,19699.442,41,39480.884,39483.788,39690.523
50,rtREV+I,19444.263,42,38972.526,38975.574,39187.278
51,rtREV+G4,19277.236,42,38638.472,38641.520,38853.224
52,rtREV+I+G4,19274.501,43,38635.002,38638.198,38854.867
53,rtREV+F,19636.780,60,39393.561,39399.833,39700.349
54,rtREV+F+I,19385.389,61,38892.778,38899.265,39204.680
55,rtREV+F+G4,19204.902,61,38531.804,38538.291,38843.706
56,rtREV+F+I+G4,19202.436,62,38528.873,38535.578,38845.887
57,mtART,21057.558,41,42197.117,42200.020,42406.755
58,mtART+I,20725.806,42,41535.612,41538.660,41750.364
59,mtART+G4,20388.421,42,40860.842,40863.890,41075.594
