No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,11599.478,63,23324.956,23349.693,23574.824
2,Dayhoff+I,11463.758,64,23055.517,23081.117,23309.350
3,Dayhoff+G4,11199.724,64,22527.448,22553.048,22781.281
4,Dayhoff+I+G4,11192.950,65,22515.901,22542.382,22773.700
5,Dayhoff+F,11574.944,82,23313.888,23358.227,23639.112
6,Dayhoff+F+I,11454.814,83,23075.629,23121.197,23404.819
7,Dayhoff+F+G4,11193.666,83,22553.331,22598.900,22882.521
8,Dayhoff+F+I+G4,11188.777,84,22545.554,22592.374,22878.711
9,mtMAM,12628.414,63,25382.828,25407.564,25632.695
10,mtMAM+I,12441.281,64,25010.562,25036.162,25264.395
11,mtMAM+G4,11786.440,64,23700.880,23726.480,23954.714
12,mtMAM+I+G4,11779.547,65,23689.093,23715.575,23946.893
13,mtMAM+F,12152.350,82,24468.701,24513.040,24793.925
14,mtMAM+F+I,11971.169,83,24108.337,24153.906,24437.527
15,mtMAM+F+G4,11508.057,83,23182.114,23227.682,23511.304
16,mtMAM+F+I+G4,11501.404,84,23170.807,23217.627,23503.964
17,JTT,11428.643,63,22983.285,23008.021,23233.152
18,JTT+I,11286.840,64,22701.680,22727.280,22955.513
19,JTT+G4,11038.078,64,22204.156,22229.756,22457.989
20,JTT+I+G4,11032.050,65,22194.100,22220.581,22451.899
21,JTT+F,11466.310,82,23096.619,23140.958,23421.843
22,JTT+F+I,11327.664,83,22821.329,22866.897,23150.519
23,JTT+F+G4,11086.255,83,22338.510,22384.079,22667.700
24,JTT+F+I+G4,11080.157,84,22328.314,22375.134,22661.471
25,WAG,11490.481,63,23106.963,23131.699,23356.830
26,WAG+I,11359.848,64,22847.697,22873.297,23101.530
27,WAG+G4,11115.621,64,22359.243,22384.843,22613.076
28,WAG+I+G4,11110.480,65,22350.960,22377.442,22608.760
29,WAG+F,11507.217,82,23178.434,23222.772,23503.658
30,WAG+F+I,11386.796,83,22939.592,22985.161,23268.782
31,WAG+F+G4,11146.855,83,22459.710,22505.279,22788.900
32,WAG+F+I+G4,11142.361,84,22452.722,22499.542,22785.879
33,cpREV,11687.609,63,23501.218,23525.954,23751.085
34,cpREV+I,11518.087,64,23164.174,23189.774,23418.007
35,cpREV+G4,11214.981,64,22557.961,22583.561,22811.795
36,cpREV+I+G4,11208.247,65,22546.494,22572.976,22804.294
37,cpREV+F,11765.556,82,23695.112,23739.450,24020.336
38,cpREV+F+I,11597.237,83,23360.475,23406.043,23689.665
39,cpREV+F+G4,11294.527,83,22755.055,22800.623,23084.245
40,cpREV+F+I+G4,11287.781,84,22743.563,22790.382,23076.719
41,mtREV,12157.086,63,24440.171,24464.907,24690.038
42,mtREV+I,11998.586,64,24125.172,24150.772,24379.006
43,mtREV+G4,11575.992,64,23279.984,23305.584,23533.817
44,mtREV+I+G4,11570.048,65,23270.096,23296.578,23527.896
45,mtREV+F,11814.654,82,23793.308,23837.647,24118.532
46,mtREV+F+I,11657.999,83,23481.998,23527.567,23811.188
47,mtREV+F+G4,11327.367,83,22820.735,22866.303,23149.925
48,mtREV+F+I+G4,11320.503,84,22809.005,22855.825,23142.162
49,rtREV,11756.820,63,23639.640,23664.376,23889.507
50,rtREV+I,11573.863,64,23275.726,23301.326,23529.559
51,rtREV+G4,11291.966,64,22711.932,22737.532,22965.766
52,rtREV+I+G4,11283.325,65,22696.651,22723.132,22954.450
53,rtREV+F,11772.625,82,23709.249,23753.588,24034.473
54,rtREV+F+I,11600.441,83,23366.882,23412.451,23696.073
55,rtREV+F+G4,11321.020,83,22808.039,22853.608,23137.229
56,rtREV+F+I+G4,11313.064,84,22794.128,22840.948,23127.285
57,mtART,12820.261,63,25766.522,25791.258,26016.389
58,mtART+I,12542.809,64,25213.617,25239.217,25467.450
59,mtART+G4,11897.322,64,23922.643,23948.243,24176.476
60,mtART+I+G4,11884.719,65,23899.438,23925.920,24157.238
61,mtART+F,12371.981,82,24907.962,24952.301,25233.186
62,mtART+F+I,12131.576,83,24429.153,24474.721,24758.343
63,mtART+F+G4,11655.661,83,23477.322,23522.891,23806.513
64,mtART+F+I+G4,11646.270,84,23460.540,23507.359,23793.696
65,mtZOA,12352.833,63,24831.666,24856.402,25081.533
66,mtZOA+I,12111.619,64,24351.238,24376.838,24605.071
67,mtZOA+G4,11590.814,64,23309.627,23335.227,23563.461
68,mtZOA+I+G4,11581.215,65,23292.431,23318.912,23550.230
69,mtZOA+F,12056.655,82,24277.310,24321.648,24602.534
70,mtZOA+F+I,11845.518,83,23857.036,23902.605,24186.226
71,mtZOA+F+G4,11460.497,83,23086.994,23132.563,23416.184
72,mtZOA+F+I+G4,11452.783,84,23073.565,23120.385,23406.722
73,VT,11499.471,63,23124.942,23149.678,23374.809
74,VT+I,11361.062,64,22850.124,22875.724,23103.958
75,VT+G4,11132.469,64,22392.938,22418.538,22646.771
76,VT+I+G4,11127.173,65,22384.346,22410.827,22642.145
77,VT+F,11549.049,82,23262.098,23306.437,23587.322
78,VT+F+I,11415.549,83,22997.098,23042.667,23326.288
79,VT+F+G4,11194.088,83,22554.177,22599.745,22883.367
80,VT+F+I+G4,11188.767,84,22545.534,22592.354,22878.691
81,LG,11594.549,63,23315.098,23339.834,23564.965
82,LG+I,11428.945,64,22985.891,23011.491,23239.724
83,LG+G4,11150.696,64,22429.393,22454.993,22683.226
84,LG+I+G4,11144.044,65,22418.089,22444.570,22675.888
85,LG+F,11628.836,82,23421.671,23466.010,23746.895
86,LG+F+I,11469.698,83,23105.395,23150.964,23434.585
87,LG+F+G4,11200.939,83,22567.878,22613.447,22897.069
88,LG+F+I+G4,11193.978,84,22555.955,22602.775,22889.112
89,DCMut,11599.206,63,23324.413,23349.149,23574.280
90,DCMut+I,11463.639,64,23055.278,23080.878,23309.111
91,DCMut+G4,11200.852,64,22529.703,22555.303,22783.537
92,DCMut+I+G4,11193.923,65,22517.845,22544.327,22775.645
93,DCMut+F,11574.677,82,23313.354,23357.693,23638.578
94,DCMut+F+I,11454.591,83,23075.181,23120.750,23404.371
95,DCMut+F+G4,11194.654,83,22555.309,22600.877,22884.499
96,DCMut+F+I+G4,11189.627,84,22547.255,22594.074,22880.411
97,PMB,11614.850,63,23355.700,23380.436,23605.567
98,PMB+I,11492.409,64,23112.817,23138.417,23366.650
99,PMB+G4,11258.844,64,22645.688,22671.288,22899.521
100,PMB+I+G4,11255.344,65,22640.687,22667.169,22898.487
101,PMB+F,11648.803,82,23461.607,23505.945,23786.831
102,PMB+F+I,11529.829,83,23225.657,23271.226,23554.848
103,PMB+F+G4,11304.948,83,22775.897,22821.465,23105.087
104,PMB+F+I+G4,11301.230,84,22770.460,22817.280,23103.616
105,HIVb,11724.081,63,23574.162,23598.898,23824.029
106,HIVb+I,11550.159,64,23228.318,23253.918,23482.151
107,HIVb+G4,11202.366,64,22532.733,22558.333,22786.566
108,HIVb+I+G4,11194.929,65,22519.857,22546.339,22777.657
109,HIVb+F,11742.792,82,23649.584,23693.923,23974.808
110,HIVb+F+I,11550.697,83,23267.394,23312.963,23596.584
111,HIVb+F+G4,11208.482,83,22582.964,22628.533,22912.154
112,HIVb+F+I+G4,11199.664,84,22567.328,22614.147,22900.484
113,HIVw,12056.323,63,24238.647,24263.383,24488.514
114,HIVw+I,11922.015,64,23972.030,23997.630,24225.864
115,HIVw+G4,11561.277,64,23250.554,23276.154,23504.387
116,HIVw+I+G4,11556.623,65,23243.247,23269.728,23501.046
117,HIVw+F,11918.818,82,24001.636,24045.975,24326.860
118,HIVw+F+I,11770.361,83,23706.721,23752.290,24035.911
119,HIVw+F+G4,11412.512,83,22991.024,23036.592,23320.214
120,HIVw+F+I+G4,11407.219,84,22982.438,23029.257,23315.594
121,JTTDCMut,11422.981,63,22971.963,22996.699,23221.830
122,JTTDCMut+I,11283.654,64,22695.309,22720.909,22949.142
123,JTTDCMut+G4,11035.491,64,22198.983,22224.583,22452.816
124,JTTDCMut+I+G4,11029.616,65,22189.233,22215.714,22447.032
