No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,64935.611,47,129965.223,129966.144,130271.001
2,Dayhoff+I,63197.314,48,126490.628,126491.589,126802.913
3,Dayhoff+G4,62067.503,48,124231.006,124231.967,124543.291
4,Dayhoff+I+G4,62048.381,49,124194.763,124195.764,124513.553
5,Dayhoff+F,64800.832,66,129733.664,129735.477,130163.055
6,Dayhoff+F+I,63023.323,67,126180.645,126182.514,126616.543
7,Dayhoff+F+G4,61861.543,67,123857.086,123858.955,124292.983
8,Dayhoff+F+I+G4,61841.565,68,123819.130,123821.055,124261.533
9,mtMAM,69906.983,47,139907.966,139908.888,140213.745
10,mtMAM+I,67440.028,48,134976.057,134977.018,135288.341
11,mtMAM+G4,64567.783,48,129231.567,129232.528,129543.851
12,mtMAM+I+G4,64554.996,49,129207.992,129208.993,129526.783
13,mtMAM+F,66906.658,66,133945.316,133947.129,134374.707
14,mtMAM+F+I,64633.271,67,129400.542,129402.411,129836.440
15,mtMAM+F+G4,62618.923,67,125371.846,125373.715,125807.743
16,mtMAM+F+I+G4,62592.898,68,125321.797,125323.722,125764.200
17,JTT,63678.470,47,127450.939,127451.861,127756.718
18,JTT+I,61943.669,48,123983.338,123984.299,124295.622
19,JTT+G4,60933.262,48,121962.524,121963.485,122274.809
20,JTT+I+G4,60915.104,49,121928.208,121929.209,122246.998
21,JTT+F,63665.992,66,127463.983,127465.797,127893.375
22,JTT+F+I,61918.826,67,123971.652,123973.521,124407.549
23,JTT+F+G4,60900.197,67,121934.393,121936.262,122370.291
24,JTT+F+I+G4,60882.107,68,121900.215,121902.139,122342.618
25,WAG,64175.927,47,128445.853,128446.775,128751.632
26,WAG+I,62526.907,48,125149.813,125150.774,125462.098
27,WAG+G4,61554.570,48,123205.139,123206.100,123517.424
28,WAG+I+G4,61535.893,49,123169.785,123170.787,123488.576
29,WAG+F,64207.065,66,128546.130,128547.944,128975.522
30,WAG+F+I,62532.234,67,125198.468,125200.337,125634.365
31,WAG+F+G4,61528.336,67,123190.672,123192.541,123626.569
