No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,25820.079,45,51730.157,51732.499,51977.805
2,Dayhoff+I,25387.466,46,50866.932,50869.379,51120.083
3,Dayhoff+G4,25020.885,46,50133.770,50136.217,50386.922
4,Dayhoff+I+G4,25017.136,47,50128.271,50130.826,50386.926
5,Dayhoff+F,25611.126,64,51350.251,51355.008,51702.462
6,Dayhoff+F+I,25193.696,65,50517.392,50522.301,50875.106
7,Dayhoff+F+G4,24812.501,65,49755.001,49759.910,50112.715
8,Dayhoff+F+I+G4,24808.192,66,49748.384,49753.446,50111.601
9,mtMAM,27199.585,45,54489.171,54491.513,54736.819
10,mtMAM+I,26741.430,46,53574.860,53577.307,53828.011
11,mtMAM+G4,25892.214,46,51876.429,51878.876,52129.580
12,mtMAM+I+G4,25887.798,47,51869.596,51872.151,52128.251
13,mtMAM+F,25678.603,64,51485.205,51489.962,51837.416
14,mtMAM+F+I,25253.083,65,50636.165,50641.074,50993.879
15,mtMAM+F+G4,24628.887,65,49387.775,49392.683,49745.489
16,mtMAM+F+I+G4,24624.751,66,49381.502,49386.564,49744.719
17,JTT,25055.143,45,50200.286,50202.627,50447.934
18,JTT+I,24625.181,46,49342.363,49344.810,49595.514
19,JTT+G4,24338.922,46,48769.843,48772.290,49022.995
20,JTT+I+G4,24334.231,47,48762.462,48765.017,49021.117
21,JTT+F,24930.484,64,49988.967,49993.724,50341.178
22,JTT+F+I,24518.365,65,49166.730,49171.639,49524.444
23,JTT+F+G4,24218.395,65,48566.791,48571.699,48924.504
24,JTT+F+I+G4,24213.221,66,48558.443,48563.505,48921.660
25,WAG,25471.064,45,51032.128,51034.470,51279.776
26,WAG+I,25066.467,46,50224.935,50227.382,50478.086
27,WAG+G4,24756.892,46,49605.783,49608.230,49858.935
28,WAG+I+G4,24752.635,47,49599.270,49601.825,49857.925
29,WAG+F,25181.535,64,50491.071,50495.828,50843.281
30,WAG+F+I,24792.309,65,49714.617,49719.526,50072.331
31,WAG+F+G4,24485.482,65,49100.965,49105.873,49458.679
32,WAG+F+I+G4,24480.583,66,49093.166,49098.228,49456.383
33,cpREV,25674.696,45,51439.392,51441.734,51687.040
34,cpREV+I,25237.340,46,50566.680,50569.127,50819.831
35,cpREV+G4,24841.570,46,49775.139,49777.586,50028.291
36,cpREV+I+G4,24837.270,47,49768.539,49771.094,50027.194
37,cpREV+F,25341.049,64,50810.098,50814.855,51162.309
38,cpREV+F+I,24913.265,65,49956.530,49961.439,50314.244
39,cpREV+F+G4,24500.444,65,49130.889,49135.797,49488.603
40,cpREV+F+I+G4,24496.212,66,49124.423,49129.486,49487.640
41,mtREV,26549.212,45,53188.424,53190.766,53436.073
42,mtREV+I,26152.767,46,52397.535,52399.982,52650.686
43,mtREV+G4,25631.604,46,51355.208,51357.655,51608.359
44,mtREV+I+G4,25628.292,47,51350.585,51353.140,51609.239
45,mtREV+F,25300.951,64,50729.903,50734.660,51082.113
46,mtREV+F+I,24922.431,65,49974.863,49979.771,50332.576
47,mtREV+F+G4,24475.288,65,49080.575,49085.484,49438.289
48,mtREV+F+I+G4,24471.499,66,49074.999,49080.061,49438.216
49,rtREV,25882.368,45,51854.736,51857.078,52102.384
50,rtREV+I,25460.303,46,51012.607,51015.054,51265.758
51,rtREV+G4,25109.164,46,50310.328,50312.775,50563.479
52,rtREV+I+G4,25103.373,47,50300.745,50303.300,50559.400
53,rtREV+F,25525.203,64,51178.405,51183.162,51530.616
54,rtREV+F+I,25118.239,65,50366.477,50371.386,50724.191
55,rtREV+F+G4,24768.325,65,49666.650,49671.558,50024.364
56,rtREV+F+I+G4,24762.243,66,49656.486,49661.548,50019.703
57,mtART,28161.726,45,56413.451,56415.793,56661.099
58,mtART+I,27578.453,46,55248.906,55251.354,55502.058
59,mtART+G4,26720.413,46,53532.826,53535.273,53785.977
60,mtART+I+G4,26714.269,47,53522.537,53525.092,53781.192
61,mtART+F,26689.217,64,53506.433,53511.190,53858.644
62,mtART+F+I,26187.019,65,52504.038,52508.946,52861.751
63,mtART+F+G4,25463.858,65,51057.715,51062.624,51415.429
64,mtART+F+I+G4,25461.141,66,51054.281,51059.343,51417.498
65,mtZOA,27046.307,45,54182.614,54184.956,54430.262
66,mtZOA+I,26551.957,46,53195.914,53198.361,53449.066
67,mtZOA+G4,25929.040,46,51950.080,51952.527,52203.231
68,mtZOA+I+G4,25921.724,47,51937.447,51940.002,52196.102
69,mtZOA+F,25997.407,64,52122.814,52127.571,52475.024
70,mtZOA+F+I,25544.918,65,51219.837,51224.745,51577.551
71,mtZOA+F+G4,25017.551,65,50165.101,50170.010,50522.815
72,mtZOA+F+I+G4,25012.019,66,50156.038,50161.101,50519.255
73,VT,25435.108,45,50960.216,50962.557,51207.864
74,VT+I,25020.191,46,50132.381,50134.828,50385.532
75,VT+G4,24757.501,46,49607.001,49609.449,49860.153
76,VT+I+G4,24752.340,47,49598.680,49601.235,49857.335
77,VT+F,25198.932,64,50525.864,50530.621,50878.074
78,VT+F+I,24801.703,65,49733.406,49738.315,50091.120
79,VT+F+G4,24534.851,65,49199.702,49204.610,49557.416
80,VT+F+I+G4,24529.214,66,49190.428,49195.490,49553.645
81,LG,25825.469,45,51740.938,51743.280,51988.586
82,LG+I,25386.418,46,50864.836,50867.283,51117.988
83,LG+G4,25050.330,46,50192.661,50195.108,50445.812
84,LG+I+G4,25044.196,47,50182.392,50184.947,50441.047
85,LG+F,25409.348,64,50946.696,50951.453,51298.906
86,LG+F+I,24995.670,65,50121.340,50126.249,50479.054
87,LG+F+G4,24657.348,65,49444.697,49449.605,49802.411
88,LG+F+I+G4,24650.739,66,49433.478,49438.540,49796.695
89,DCMut,25820.714,45,51731.428,51733.769,51979.076
90,DCMut+I,25387.808,46,50867.617,50870.064,51120.768
91,DCMut+G4,25023.003,46,50138.005,50140.452,50391.157
92,DCMut+I+G4,25018.840,47,50131.680,50134.235,50390.335
93,DCMut+F,25612.699,64,51353.399,51358.156,51705.609
94,DCMut+F+I,25194.895,65,50519.790,50524.698,50877.504
95,DCMut+F+G4,24815.640,65,49761.280,49766.189,50118.994
96,DCMut+F+I+G4,24811.005,66,49754.011,49759.073,50117.228
97,PMB,25818.895,45,51727.790,51730.132,51975.438
98,PMB+I,25393.468,46,50878.935,50881.382,51132.087
99,PMB+G4,25124.116,46,50340.232,50342.679,50593.384
100,PMB+I+G4,25118.524,47,50331.049,50333.604,50589.703
101,PMB+F,25517.295,64,51162.590,51167.347,51514.800
102,PMB+F+I,25105.978,65,50341.957,50346.865,50699.670
103,PMB+F+G4,24838.718,65,49807.436,49812.344,50165.150
104,PMB+F+I+G4,24832.954,66,49797.908,49802.970,50161.125
105,HIVb,25481.369,45,51052.738,51055.080,51300.386
106,HIVb+I,24946.949,46,49985.898,49988.345,50239.049
107,HIVb+G4,24553.882,46,49199.764,49202.211,49452.915
108,HIVb+I+G4,24546.018,47,49186.037,49188.592,49444.691
109,HIVb+F,25149.566,64,50427.132,50431.889,50779.342
110,HIVb+F+I,24652.306,65,49434.613,49439.521,49792.327
