No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,8301.468,49,16700.936,16712.917,16903.260
2,Dayhoff+I,8147.741,50,16395.482,16407.982,16601.935
3,Dayhoff+G4,7957.000,50,16013.999,16026.499,16220.452
4,Dayhoff+I+G4,7952.134,51,16006.269,16019.300,16216.850
5,Dayhoff+F,8255.199,68,16646.398,16670.460,16927.174
6,Dayhoff+F+I,8100.531,69,16339.063,16363.895,16623.967
7,Dayhoff+F+G4,7904.909,69,15947.819,15972.652,16232.723
8,Dayhoff+F+I+G4,7900.103,70,15940.206,15965.825,16229.240
9,mtMAM,9168.773,49,18435.545,18447.526,18637.869
10,mtMAM+I,8852.801,50,17805.602,17818.102,18012.054
11,mtMAM+G4,8445.702,50,16991.404,17003.904,17197.856
12,mtMAM+I+G4,8431.909,51,16965.819,16978.851,17176.400
13,mtMAM+F,8682.017,68,17500.033,17524.095,17780.809
14,mtMAM+F+I,8403.568,69,16945.136,16969.969,17230.040
15,mtMAM+F+G4,8078.986,69,16295.973,16320.806,16580.877
16,mtMAM+F+I+G4,8067.801,70,16275.601,16301.220,16564.635
17,JTT,8197.580,49,16493.161,16505.141,16695.484
18,JTT+I,8014.588,50,16129.177,16141.677,16335.629
19,JTT+G4,7864.718,50,15829.437,15841.937,16035.889
20,JTT+I+G4,7853.499,51,15808.998,15822.030,16019.580
21,JTT+F,8179.025,68,16494.051,16518.112,16774.826
22,JTT+F+I,7996.162,69,16130.325,16155.158,16415.229
23,JTT+F+G4,7853.430,69,15844.860,15869.693,16129.764
24,JTT+F+I+G4,7841.330,70,15822.660,15848.279,16111.694
25,WAG,8253.616,49,16605.232,16617.212,16807.555
26,WAG+I,8090.672,50,16281.344,16293.844,16487.796
27,WAG+G4,7928.967,50,15957.933,15970.433,16164.386
28,WAG+I+G4,7921.296,51,15944.592,15957.624,16155.174
29,WAG+F,8204.634,68,16545.268,16569.329,16826.043
30,WAG+F+I,8045.197,69,16228.394,16253.227,16513.299
31,WAG+F+G4,7893.105,69,15924.210,15949.043,16209.115
32,WAG+F+I+G4,7884.751,70,15909.502,15935.120,16198.535
33,cpREV,8436.907,49,16971.814,16983.794,17174.137
34,cpREV+I,8200.246,50,16500.491,16512.991,16706.944
35,cpREV+G4,8021.022,50,16142.045,16154.545,16348.497
36,cpREV+I+G4,8010.280,51,16122.559,16135.591,16333.141
37,cpREV+F,8394.910,68,16925.821,16949.882,17206.596
38,cpREV+F+I,8164.470,69,16466.941,16491.774,16751.845
39,cpREV+F+G4,7983.627,69,16105.255,16130.088,16390.159
40,cpREV+F+I+G4,7972.350,70,16084.700,16110.319,16373.734
41,mtREV,8878.625,49,17855.250,17867.230,18057.573
42,mtREV+I,8626.028,50,17352.056,17364.556,17558.509
43,mtREV+G4,8330.116,50,16760.232,16772.732,16966.685
44,mtREV+I+G4,8320.983,51,16743.966,16756.998,16954.548
45,mtREV+F,8463.314,68,17062.628,17086.690,17343.404
46,mtREV+F+I,8237.612,69,16613.224,16638.057,16898.128
47,mtREV+F+G4,7995.366,69,16128.733,16153.566,16413.637
48,mtREV+F+I+G4,7986.497,70,16112.994,16138.613,16402.027
49,rtREV,8527.385,49,17152.770,17164.750,17355.093
50,rtREV+I,8269.399,50,16638.798,16651.298,16845.250
51,rtREV+G4,8099.961,50,16299.922,16312.422,16506.374
52,rtREV+I+G4,8084.847,51,16271.693,16284.725,16482.275
53,rtREV+F,8434.292,68,17004.583,17028.645,17285.359
54,rtREV+F+I,8170.762,69,16479.525,16504.358,16764.429
55,rtREV+F+G4,8005.633,69,16149.266,16174.099,16434.171
56,rtREV+F+I+G4,7989.099,70,16118.199,16143.817,16407.232
57,mtART,9322.210,49,18742.421,18754.401,18944.744
58,mtART+I,8846.538,50,17793.076,17805.576,17999.529
59,mtART+G4,8427.524,50,16955.047,16967.547,17161.500
60,mtART+I+G4,8413.292,51,16928.584,16941.616,17139.166
61,mtART+F,8866.181,68,17868.362,17892.423,18149.137
62,mtART+F+I,8491.340,69,17120.679,17145.512,17405.584
63,mtART+F+G4,8136.309,69,16410.618,16435.451,16695.523
64,mtART+F+I+G4,8120.791,70,16381.583,16407.201,16670.616
65,mtZOA,8943.362,49,17984.724,17996.704,18187.047
66,mtZOA+I,8539.718,50,17179.435,17191.935,17385.888
67,mtZOA+G4,8220.503,50,16541.006,16553.506,16747.458
68,mtZOA+I+G4,8202.705,51,16507.409,16520.441,16717.991
69,mtZOA+F,8652.813,68,17441.627,17465.688,17722.402
70,mtZOA+F+I,8322.128,69,16782.256,16807.089,17067.160
71,mtZOA+F+G4,8045.821,69,16229.643,16254.475,16514.547
72,mtZOA+F+I+G4,8028.719,70,16197.438,16223.056,16486.471
73,VT,8266.002,49,16630.005,16641.985,16832.328
74,VT+I,8076.961,50,16253.923,16266.423,16460.376
75,VT+G4,7952.568,50,16005.137,16017.637,16211.589
76,VT+I+G4,7939.428,51,15980.856,15993.888,16191.438
77,VT+F,8224.174,68,16584.347,16608.409,16865.123
78,VT+F+I,8039.448,69,16216.896,16241.729,16501.800
79,VT+F+G4,7924.584,69,15987.168,16012.001,16272.072
80,VT+F+I+G4,7910.349,70,15960.697,15986.316,16249.731
81,LG,8383.548,49,16865.097,16877.077,17067.420
82,LG+I,8154.720,50,16409.440,16421.940,16615.893
83,LG+G4,7974.827,50,16049.653,16062.153,16256.106
84,LG+I+G4,7963.058,51,16028.116,16041.148,16238.698
85,LG+F,8323.537,68,16783.073,16807.135,17063.849
86,LG+F+I,8096.343,69,16330.685,16355.518,16615.590
87,LG+F+G4,7930.192,69,15998.384,16023.216,16283.288
88,LG+F+I+G4,7916.678,70,15973.357,15998.975,16262.390
89,DCMut,8300.681,49,16699.361,16711.342,16901.685
90,DCMut+I,8147.110,50,16394.220,16406.720,16600.673
91,DCMut+G4,7957.191,50,16014.382,16026.882,16220.834
92,DCMut+I+G4,7952.269,51,16006.538,16019.570,16217.120
93,DCMut+F,8254.285,68,16644.571,16668.632,16925.346
94,DCMut+F+I,8099.814,69,16337.628,16362.461,16622.532
95,DCMut+F+G4,7905.012,69,15948.025,15972.857,16232.929
96,DCMut+F+I+G4,7900.161,70,15940.321,15965.940,16229.355
97,PMB,8290.896,49,16679.791,16691.772,16882.115
98,PMB+I,8128.068,50,16356.136,16368.636,16562.589
99,PMB+G4,7990.808,50,16081.616,16094.116,16288.069
100,PMB+I+G4,7980.497,51,16062.995,16076.027,16273.576
101,PMB+F,8237.910,68,16611.821,16635.882,16892.596
102,PMB+F+I,8081.885,69,16301.771,16326.604,16586.675
103,PMB+F+G4,7954.022,69,16046.044,16070.877,16330.949
104,PMB+F+I+G4,7943.185,70,16026.369,16051.988,16315.403
105,HIVb,8460.647,49,17019.295,17031.275,17221.618
106,HIVb+I,8248.619,50,16597.237,16609.737,16803.690
107,HIVb+G4,8021.988,50,16143.976,16156.476,16350.429
108,HIVb+I+G4,8011.718,51,16125.436,16138.468,16336.018
109,HIVb+F,8350.512,68,16837.024,16861.086,17117.799
110,HIVb+F+I,8140.165,69,16418.330,16443.162,16703.234
111,HIVb+F+G4,7921.198,69,15980.397,16005.229,16265.301
112,HIVb+F+I+G4,7910.181,70,15960.363,15985.981,16249.396
113,HIVw,8751.577,49,17601.153,17613.134,17803.477
114,HIVw+I,8581.694,50,17263.389,17275.889,17469.841
115,HIVw+G4,8361.968,50,16823.937,16836.437,17030.389
116,HIVw+I+G4,8356.485,51,16814.970,16828.002,17025.552
117,HIVw+F,8450.350,68,17036.700,17060.761,17317.475
118,HIVw+F+I,8274.920,69,16687.841,16712.674,16972.745
119,HIVw+F+G4,8055.580,69,16249.160,16273.993,16534.064
120,HIVw+F+I+G4,8049.422,70,16238.844,16264.463,16527.878
121,JTTDCMut,8200.068,49,16498.135,16510.116,16700.459
122,JTTDCMut+I,8020.204,50,16140.408,16152.908,16346.861
123,JTTDCMut+G4,7868.593,50,15837.186,15849.686,16043.638
124,JTTDCMut+I+G4,7857.740,51,15817.481,15830.513,16028.062
125,JTTDCMut+F,8178.057,68,16492.113,16516.175,16772.889
126,JTTDCMut+F+I,7997.832,69,16133.663,16158.496,16418.568
127,JTTDCMut+F+G4,7853.433,69,15844.867,15869.700,16129.771
128,JTTDCMut+F+I+G4,7841.628,70,15823.256,15848.875,16112.289
129,FLU,8438.724,49,16975.448,16987.429,17177.772
130,FLU+I,8272.724,50,16645.448,16657.948,16851.900
131,FLU+G4,8038.336,50,16176.673,16189.173,16383.125
132,FLU+I+G4,8032.328,51,16166.656,16179.688,16377.238
133,FLU+F,8232.452,68,16600.904,16624.966,16881.680
134,FLU+F+I,8073.857,69,16285.713,16310.546,16570.618
135,FLU+F+G4,7847.341,69,15832.682,15857.515,16117.586
136,FLU+F+I+G4,7841.323,70,15822.646,15848.264,16111.679
137,Blosum62,8355.179,49,16808.357,16820.338,17010.681
138,Blosum62+I,8184.325,50,16468.649,16481.149,16675.102
139,Blosum62+G4,8043.399,50,16186.799,16199.299,16393.251
140,Blosum62+I+G4,8033.489,51,16168.978,16182.010,16379.560
141,Blosum62+F,8282.745,68,16701.491,16725.552,16982.266
142,Blosum62+F+I,8115.929,69,16369.857,16394.690,16654.762
143,Blosum62+F+G4,7984.099,69,16106.197,16131.030,16391.102
144,Blosum62+F+I+G4,7973.207,70,16086.414,16112.032,16375.447
145,mtMet,8916.737,49,17931.475,17943.455,18133.798
146,mtMet+I,8603.762,50,17307.524,17320.024,17513.976
147,mtMet+G4,8357.516,50,16815.031,16827.531,17021.484
148,mtMet+I+G4,8340.264,51,16782.529,16795.561,16993.110
149,mtMet+F,8449.922,68,17035.844,17059.906,17316.620
150,mtMet+F+I,8181.926,69,16501.852,16526.685,16786.757
