No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,30932.966,85,62035.932,62043.788,62509.726
2,JC+I,30286.228,86,60744.455,60752.501,61223.823
3,JC+G4,29765.410,86,59702.821,59710.866,60182.189
4,JC+I+G4,29731.668,87,59637.335,59645.572,60122.277
5,F81+F,30798.015,88,61772.031,61780.461,62262.547
6,F81+F+I,30135.580,89,60449.160,60457.787,60945.250
7,F81+F+G4,29630.894,89,59439.789,59448.415,59935.879
8,F81+F+I+G4,29593.937,90,59367.874,59376.700,59869.538
9,K2P,30166.521,86,60505.042,60513.088,60984.410
10,K2P+I,29500.162,87,59174.324,59182.560,59659.266
11,K2P+G4,28923.332,87,58020.665,58028.901,58505.607
12,K2P+I+G4,28893.339,88,57962.679,57971.109,58453.195
13,HKY+F,30069.227,89,60316.454,60325.081,60812.544
14,HKY+F+I,29377.691,90,58935.382,58944.208,59437.046
15,HKY+F+G4,28817.495,90,57814.989,57823.815,58316.653
16,HKY+F+I+G4,28783.584,91,57749.168,57758.194,58256.406
17,TNe,30165.849,87,60505.699,60513.935,60990.641
18,TNe+I,29499.616,88,59175.232,59183.663,59665.748
19,TNe+G4,28916.468,88,58008.937,58017.367,58499.453
20,TNe+I+G4,28887.653,89,57953.307,57961.934,58449.397
21,TN+F,30047.102,90,60274.204,60283.029,60775.868
22,TN+F+I,29352.073,91,58886.147,58895.173,59393.385
23,TN+F+G4,28806.474,91,57794.949,57803.975,58302.187
24,TN+F+I+G4,28770.699,92,57725.398,57734.628,58238.211
25,K3P,30165.864,87,60505.728,60513.965,60990.670
26,K3P+I,29499.492,88,59174.984,59183.414,59665.500
27,K3P+G4,28922.538,88,58021.075,58029.506,58511.591
28,K3P+I+G4,28892.527,89,57963.054,57971.681,58459.144
29,K3Pu+F,30068.560,90,60317.120,60325.946,60818.784
30,K3Pu+F+I,29377.046,91,58936.092,58945.119,59443.330
31,K3Pu+F+G4,28816.647,91,57815.295,57824.321,58322.533
32,K3Pu+F+I+G4,28782.719,92,57749.439,57758.669,58262.251
33,TPM2+F,30068.586,90,60317.173,60325.998,60818.837
34,TPM2+F+I,29377.412,91,58936.825,58945.851,59444.063
35,TPM2+F+G4,28816.683,91,57815.365,57824.392,58322.603
