No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,11406.265,49,22910.531,22914.574,23162.413
2,JC+I,11227.443,50,22554.885,22559.097,22811.908
3,JC+G4,11083.848,50,22267.695,22271.906,22524.718
4,JC+I+G4,11085.181,51,22272.361,22276.745,22534.524
5,F81+F,11437.385,52,22978.771,22983.330,23246.074
6,F81+F+I,11233.949,53,22573.898,22578.637,22846.342
7,F81+F+G4,11084.019,53,22274.038,22278.776,22546.482
8,F81+F+I+G4,11084.828,54,22277.656,22282.577,22555.240
9,K2P,11219.009,50,22538.018,22542.230,22795.041
10,K2P+I,11026.318,51,22154.636,22159.019,22416.799
11,K2P+G4,10863.061,51,21828.122,21832.506,22090.285
12,K2P+I+G4,10863.730,52,21831.461,21836.020,22098.764
13,HKY+F,11204.122,53,22514.243,22518.982,22786.687
14,HKY+F+I,10966.858,54,22041.715,22046.636,22319.300
15,HKY+F+G4,10798.621,54,21705.242,21710.164,21982.827
16,HKY+F+I+G4,10797.960,55,21705.921,21711.029,21988.646
17,TNe,11218.818,51,22539.636,22544.020,22801.799
18,TNe+I,11023.623,52,22151.245,22155.804,22418.549
19,TNe+G4,10862.753,52,21829.506,21834.065,22096.810
20,TNe+I+G4,10863.251,53,21832.502,21837.241,22104.946
21,TN+F,11204.005,54,22516.011,22520.932,22793.595
22,TN+F+I,10960.953,55,22031.906,22037.014,22314.631
23,TN+F+G4,10798.203,55,21706.405,21711.513,21989.130
24,TN+F+I+G4,10797.413,56,21706.825,21712.123,21994.691
25,K3P,11217.837,51,22537.674,22542.058,22799.837
26,K3P+I,11025.731,52,22155.463,22160.022,22422.766
27,K3P+G4,10862.670,52,21829.340,21833.899,22096.644
28,K3P+I+G4,10863.201,53,21832.402,21837.140,22104.846
29,K3Pu+F,11202.862,54,22513.724,22518.645,22791.308
30,K3Pu+F+I,10961.744,55,22033.487,22038.595,22316.212
31,K3Pu+F+G4,10794.135,55,21698.270,21703.377,21980.995
32,K3Pu+F+I+G4,10793.291,56,21698.583,21703.881,21986.448
33,TPM2+F,11201.042,54,22510.085,22515.006,22787.669
34,TPM2+F+I,10962.694,55,22035.387,22040.495,22318.112
35,TPM2+F+G4,10789.192,55,21688.384,21693.492,21971.109
36,TPM2+F+I+G4,10788.462,56,21688.923,21694.221,21976.789
37,TPM2u+F,11201.043,54,22510.085,22515.006,22787.670
38,TPM2u+F+I,10962.694,55,22035.387,22040.495,22318.112
39,TPM2u+F+G4,10789.193,55,21688.385,21693.493,21971.110
40,TPM2u+F+I+G4,10788.461,56,21688.923,21694.220,21976.788
41,TPM3+F,11203.921,54,22515.843,22520.764,22793.427
42,TPM3+F+I,10963.142,55,22036.285,22041.392,22319.010
43,TPM3+F+G4,10797.503,55,21705.006,21710.114,21987.731
44,TPM3+F+I+G4,10796.622,56,21705.245,21710.543,21993.110
45,TPM3u+F,11203.921,54,22515.842,22520.763,22793.426
46,TPM3u+F+I,10963.142,55,22036.285,22041.392,22319.010
47,TPM3u+F+G4,10797.503,55,21705.007,21710.115,21987.732
48,TPM3u+F+I+G4,10796.621,56,21705.241,21710.539,21993.107
49,TIMe,11217.649,52,22539.298,22543.857,22806.602
50,TIMe+I,11023.058,53,22152.117,22156.855,22424.561
51,TIMe+G4,10862.367,53,21830.734,21835.472,22103.178
52,TIMe+I+G4,10862.798,54,21833.597,21838.518,22111.181
53,TIM+F,11202.739,55,22515.479,22520.586,22798.203
54,TIM+F+I,10955.603,56,22023.207,22028.505,22311.072
55,TIM+F+G4,10793.697,56,21699.394,21704.692,21987.260
56,TIM+F+I+G4,10792.740,57,21699.480,21704.972,21992.486
57,TIM2e,11216.413,52,22536.825,22541.385,22804.129
58,TIM2e+I,11022.668,53,22151.337,22156.075,22423.781
59,TIM2e+G4,10861.195,53,21828.391,21833.129,22100.835
60,TIM2e+I+G4,10861.652,54,21831.305,21836.226,22108.889
61,TIM2+F,11200.919,55,22511.838,22516.946,22794.563
62,TIM2+F+I,10956.616,56,22025.232,22030.529,22313.097
63,TIM2+F+G4,10788.836,56,21689.672,21694.970,21977.537
64,TIM2+F+I+G4,10788.011,57,21690.022,21695.514,21983.028
65,TIM3e,11205.078,52,22514.156,22518.715,22781.460
66,TIM3e+I,11021.011,53,22148.022,22152.760,22420.466
67,TIM3e+G4,10852.667,53,21811.335,21816.073,22083.779
68,TIM3e+I+G4,10853.502,54,21815.004,21819.925,22092.588
69,TIM3+F,11203.805,55,22517.609,22522.717,22800.334
70,TIM3+F+I,10956.967,56,22025.933,22031.231,22313.798
71,TIM3+F+G4,10797.068,56,21706.136,21711.434,21994.002
72,TIM3+F+I+G4,10796.117,57,21706.235,21711.727,21999.241
73,TVMe,11202.352,53,22510.704,22515.442,22783.148
74,TVMe+I,11022.158,54,22152.315,22157.236,22429.900
75,TVMe+G4,10851.057,54,21810.115,21815.036,22087.699
76,TVMe+I+G4,10851.952,55,21813.904,21819.011,22096.629
77,TVM+F,11200.192,56,22512.384,22517.682,22800.249
78,TVM+F+I,10957.655,57,22029.310,22034.802,22322.316
79,TVM+F+G4,10786.955,57,21687.910,21693.402,21980.916
80,TVM+F+I+G4,10786.074,58,21688.148,21693.837,21986.294
81,SYM,11202.194,54,22512.388,22517.309,22789.972
82,SYM+I,11019.796,55,22149.592,22154.700,22432.317
83,SYM+G4,10850.649,55,21811.299,21816.406,22094.024
84,SYM+I+G4,10851.425,56,21814.850,21820.148,22102.716
85,GTR+F,11200.067,57,22514.135,22519.626,22807.140
86,GTR+F+I,10951.264,58,22018.528,22024.217,22316.675
87,GTR+F+G4,10786.585,58,21689.170,21694.859,21987.317
88,GTR+F+I+G4,10785.632,59,21689.265,21695.155,21992.552
