No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,6912.774,71,13967.548,13987.595,14277.567
2,Dayhoff+I,6842.429,72,13828.857,13849.510,14143.243
3,Dayhoff+G4,6690.360,72,13524.720,13545.372,13839.106
4,Dayhoff+I+G4,6691.327,73,13528.655,13549.922,13847.407
5,Dayhoff+F,6977.945,90,14135.889,14169.250,14528.872
6,Dayhoff+F+I,6892.096,91,13966.193,14000.364,14363.542
7,Dayhoff+F+G4,6727.778,91,13637.557,13671.728,14034.905
8,Dayhoff+F+I+G4,6728.327,92,13640.654,13675.648,14042.370
9,mtMAM,7583.807,71,15309.614,15329.662,15619.634
10,mtMAM+I,7501.094,72,15146.188,15166.840,15460.574
11,mtMAM+G4,7152.292,72,14448.584,14469.236,14762.970
12,mtMAM+I+G4,7153.191,73,14452.382,14473.649,14771.134
13,mtMAM+F,7242.967,90,14665.935,14699.295,15058.917
14,mtMAM+F+I,7163.374,91,14508.747,14542.919,14906.096
15,mtMAM+F+G4,6916.743,91,14015.486,14049.657,14412.835
16,mtMAM+F+I+G4,6917.127,92,14018.253,14053.247,14419.968
17,JTT,6847.042,71,13836.083,13856.131,14146.103
18,JTT+I,6777.683,72,13699.366,13720.018,14013.752
19,JTT+G4,6621.991,72,13387.982,13408.634,13702.368
20,JTT+I+G4,6622.667,73,13391.334,13412.601,13710.086
21,JTT+F,6912.984,90,14005.967,14039.328,14398.949
22,JTT+F+I,6829.578,91,13841.157,13875.328,14238.505
23,JTT+F+G4,6664.292,91,13510.584,13544.756,13907.933
24,JTT+F+I+G4,6664.763,92,13513.525,13548.519,13915.240
25,WAG,6900.111,71,13942.221,13962.268,14252.241
26,WAG+I,6833.764,72,13811.528,13832.181,14125.914
27,WAG+G4,6680.694,72,13505.387,13526.039,13819.773
28,WAG+I+G4,6681.267,73,13508.534,13529.801,13827.286
29,WAG+F,6990.442,90,14160.883,14194.244,14553.866
30,WAG+F+I,6912.218,91,14006.436,14040.608,14403.785
31,WAG+F+G4,6747.977,91,13677.953,13712.125,14075.302
32,WAG+F+I+G4,6748.399,92,13680.797,13715.791,14082.512
33,cpREV,7012.547,71,14167.094,14187.141,14477.114
34,cpREV+I,6946.701,72,14037.401,14058.054,14351.787
35,cpREV+G4,6747.161,72,13638.322,13658.974,13952.707
36,cpREV+I+G4,6747.764,73,13641.529,13662.797,13960.281
37,cpREV+F,7079.641,90,14339.281,14372.642,14732.263
38,cpREV+F+I,6998.785,91,14179.570,14213.742,14576.919
39,cpREV+F+G4,6777.898,91,13737.795,13771.967,14135.144
40,cpREV+F+I+G4,6778.339,92,13740.678,13775.672,14142.393
41,mtREV,7312.369,71,14766.739,14786.786,15076.758
42,mtREV+I,7247.530,72,14639.061,14659.713,14953.446
43,mtREV+G4,7025.339,72,14194.677,14215.330,14509.063
44,mtREV+I+G4,7025.680,73,14197.361,14218.629,14516.113
45,mtREV+F,7050.898,90,14281.796,14315.156,14674.778
46,mtREV+F+I,6987.389,91,14156.778,14190.949,14554.127
47,mtREV+F+G4,6801.135,91,13784.269,13818.441,14181.618
48,mtREV+F+I+G4,6801.408,92,13786.817,13821.810,14188.532
49,rtREV,6987.358,71,14116.717,14136.764,14426.736
50,rtREV+I,6904.867,72,13953.734,13974.387,14268.120
51,rtREV+G4,6741.789,72,13627.579,13648.231,13941.965
52,rtREV+I+G4,6741.922,73,13629.843,13651.111,13948.596
53,rtREV+F,7022.194,90,14224.388,14257.749,14617.371
54,rtREV+F+I,6932.528,91,14047.056,14081.228,14444.405
55,rtREV+F+G4,6766.531,91,13715.062,13749.234,14112.411
56,rtREV+F+I+G4,6766.675,92,13717.350,13752.344,14119.065
57,mtART,7558.139,71,15258.277,15278.324,15568.297
58,mtART+I,7456.905,72,15057.810,15078.462,15372.195
59,mtART+G4,7144.830,72,14433.660,14454.312,14748.046
60,mtART+I+G4,7144.989,73,14435.978,14457.246,14754.731
61,mtART+F,7200.699,90,14581.398,14614.759,14974.381
62,mtART+F+I,7109.958,91,14401.917,14436.088,14799.266
63,mtART+F+G4,6885.359,91,13952.719,13986.890,14350.068
64,mtART+F+I+G4,6885.364,92,13954.728,13989.721,14356.443
65,mtZOA,7300.213,71,14742.426,14762.473,15052.446
66,mtZOA+I,7216.155,72,14576.310,14596.962,14890.695
67,mtZOA+G4,6968.567,72,14081.134,14101.786,14395.520
68,mtZOA+I+G4,6968.651,73,14083.303,14104.571,14402.055
69,mtZOA+F,7059.780,90,14299.560,14332.920,14692.542
70,mtZOA+F+I,6977.628,91,14137.256,14171.428,14534.605
71,mtZOA+F+G4,6791.600,91,13765.201,13799.372,14162.550
72,mtZOA+F+I+G4,6791.628,92,13767.256,13802.250,14168.971
73,VT,6900.277,71,13942.553,13962.600,14252.573
74,VT+I,6835.242,72,13814.484,13835.137,14128.870
