No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,7840.549,121,15923.099,16005.110,16428.630
2,Dayhoff+I,7508.618,122,15261.235,15344.834,15770.944
3,Dayhoff+G4,7273.758,122,14791.515,14875.114,15301.224
4,Dayhoff+I+G4,7267.164,123,14780.328,14865.534,15294.215
5,Dayhoff+F,7874.989,140,16029.977,16145.754,16614.889
6,Dayhoff+F+I,7536.331,141,15354.663,15472.439,15943.753
7,Dayhoff+F+G4,7295.049,141,14872.099,14989.875,15461.189
8,Dayhoff+F+I+G4,7286.766,142,14857.532,14977.332,15450.801
9,mtMAM,8498.173,121,17238.345,17320.357,17743.877
10,mtMAM+I,8106.099,122,16456.197,16539.796,16965.906
11,mtMAM+G4,7631.942,122,15507.885,15591.484,16017.594
12,mtMAM+I+G4,7622.641,123,15491.281,15576.488,16005.168
13,mtMAM+F,8209.668,140,16699.336,16815.113,17284.248
14,mtMAM+F+I,7814.459,141,15910.918,16028.695,16500.009
15,mtMAM+F+G4,7381.902,141,15045.805,15163.581,15634.895
16,mtMAM+F+I+G4,7375.586,142,15035.172,15154.972,15628.440
17,JTT,7691.813,121,15625.625,15707.637,16131.157
18,JTT+I,7368.766,122,14981.532,15065.131,15491.241
19,JTT+G4,7137.305,122,14518.611,14602.210,15028.320
20,JTT+I+G4,7132.829,123,14511.658,14596.865,15025.546
21,JTT+F,7734.086,140,15748.172,15863.949,16333.084
22,JTT+F+I,7404.281,141,15090.561,15208.338,15679.651
23,JTT+F+G4,7163.493,141,14608.987,14726.763,15198.077
24,JTT+F+I+G4,7159.323,142,14602.645,14722.445,15195.913
25,WAG,7784.865,121,15811.731,15893.742,16317.262
26,WAG+I,7468.377,122,15180.754,15264.353,15690.463
27,WAG+G4,7239.435,122,14722.870,14806.469,15232.579
28,WAG+I+G4,7232.754,123,14711.509,14796.715,15225.396
29,WAG+F,7799.626,140,15879.252,15995.029,16464.164
30,WAG+F+I,7478.258,141,15238.517,15356.293,15827.607
31,WAG+F+G4,7243.014,141,14768.029,14885.805,15357.119
32,WAG+F+I+G4,7235.760,142,14755.519,14875.319,15348.787
33,cpREV,7840.074,121,15922.148,16004.159,16427.679
34,cpREV+I,7523.300,122,15290.599,15374.198,15800.309
35,cpREV+G4,7267.453,122,14778.907,14862.506,15288.616
36,cpREV+I+G4,7263.606,123,14773.212,14858.419,15287.099
37,cpREV+F,7830.438,140,15940.876,16056.653,16525.788
38,cpREV+F+I,7505.829,141,15293.659,15411.435,15882.749
39,cpREV+F+G4,7256.941,141,14795.882,14913.658,15384.972
40,cpREV+F+I+G4,7251.662,142,14787.324,14907.124,15380.592
41,mtREV,8224.410,121,16690.821,16772.832,17196.352
42,mtREV+I,7865.726,122,15975.452,16059.050,16485.161
43,mtREV+G4,7543.995,122,15331.991,15415.590,15841.700
44,mtREV+I+G4,7535.890,123,15317.780,15402.987,15831.667
45,mtREV+F,7963.218,140,16206.435,16322.212,16791.347
46,mtREV+F+I,7606.763,141,15495.527,15613.303,16084.617
47,mtREV+F+G4,7309.196,141,14900.391,15018.168,15489.481
48,mtREV+F+I+G4,7300.129,142,14884.259,15004.058,15477.527
49,rtREV,7927.558,121,16097.115,16179.126,16602.646
50,rtREV+I,7591.274,122,15426.547,15510.146,15936.257
51,rtREV+G4,7344.791,122,14933.583,15017.181,15443.292
52,rtREV+I+G4,7339.262,123,14924.525,15009.731,15438.412
53,rtREV+F,7926.874,140,16133.749,16249.526,16718.661
54,rtREV+F+I,7574.981,141,15431.963,15549.739,16021.053
55,rtREV+F+G4,7316.906,141,14915.813,15033.589,15504.903
56,rtREV+F+I+G4,7310.594,142,14905.188,15024.987,15498.456
57,mtART,8620.835,121,17483.671,17565.682,17989.202
58,mtART+I,8212.575,122,16669.150,16752.749,17178.859
59,mtART+G4,7720.517,122,15685.033,15768.632,16194.742
60,mtART+I+G4,7705.075,123,15656.151,15741.358,16170.038
61,mtART+F,8347.798,140,16975.597,17091.374,17560.509
62,mtART+F+I,7938.289,141,16158.578,16276.354,16747.668
63,mtART+F+G4,7526.343,141,15334.685,15452.462,15923.775
64,mtART+F+I+G4,7510.572,142,15305.143,15424.943,15898.411
65,mtZOA,8264.253,121,16770.506,16852.517,17276.037
66,mtZOA+I,7885.262,122,16014.525,16098.123,16524.234
67,mtZOA+G4,7488.304,122,15220.608,15304.207,15730.317
68,mtZOA+I+G4,7480.173,123,15206.346,15291.553,15720.233
69,mtZOA+F,8085.401,140,16450.802,16566.579,17035.714
70,mtZOA+F+I,7705.465,141,15692.930,15810.707,16282.020
71,mtZOA+F+G4,7374.848,141,15031.696,15149.473,15620.786
72,mtZOA+F+I+G4,7366.167,142,15016.334,15136.134,15609.603
73,VT,7807.029,121,15856.058,15938.069,16361.590
74,VT+I,7488.559,122,15221.118,15304.717,15730.828
75,VT+G4,7266.063,122,14776.127,14859.726,15285.836
76,VT+I+G4,7260.275,123,14766.550,14851.757,15280.437
77,VT+F,7827.871,140,15935.742,16051.519,16520.654
78,VT+F+I,7503.302,141,15288.604,15406.380,15877.694
79,VT+F+G4,7275.990,141,14833.981,14951.757,15423.071
80,VT+F+I+G4,7271.359,142,14826.718,14946.518,15419.986
81,LG,7835.032,121,15912.063,15994.074,16417.594
82,LG+I,7503.860,122,15251.721,15335.320,15761.430
83,LG+G4,7253.732,122,14751.465,14835.064,15261.174
84,LG+I+G4,7246.425,123,14738.851,14824.057,15252.738
85,LG+F,7855.170,140,15990.340,16106.117,16575.252
86,LG+F+I,7513.028,141,15308.055,15425.832,15897.145
87,LG+F+G4,7254.660,141,14791.320,14909.097,15380.411
88,LG+F+I+G4,7248.790,142,14781.581,14901.380,15374.849
89,DCMut,7840.617,121,15923.235,16005.246,16428.766
90,DCMut+I,7508.822,122,15261.645,15345.244,15771.354
91,DCMut+G4,7274.486,122,14792.972,14876.571,15302.681
92,DCMut+I+G4,7267.667,123,14781.333,14866.540,15295.220
93,DCMut+F,7874.928,140,16029.856,16145.633,16614.768
94,DCMut+F+I,7536.448,141,15354.897,15472.673,15943.987
95,DCMut+F+G4,7295.679,141,14873.357,14991.134,15462.447
96,DCMut+F+I+G4,7287.387,142,14858.773,14978.573,15452.041
97,PMB,7900.253,121,16042.507,16124.518,16548.038
98,PMB+I,7582.424,122,15408.848,15492.447,15918.557
