No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,12766.094,113,25758.188,25832.867,26224.771
2,Dayhoff+I,12577.408,114,25382.815,25459.036,25853.527
3,Dayhoff+G4,12133.278,114,24494.556,24570.777,24965.267
4,Dayhoff+I+G4,12129.289,115,24488.579,24566.363,24963.419
5,Dayhoff+F,12695.487,132,25654.974,25762.680,26200.009
6,Dayhoff+F+I,12502.554,133,25271.108,25380.782,25820.271
7,Dayhoff+F+G4,12028.130,133,24322.260,24431.934,24871.424
8,Dayhoff+F+I+G4,12024.361,134,24316.722,24428.389,24870.015
9,mtMAM,13778.004,113,27782.008,27856.686,28248.591
10,mtMAM+I,13563.333,114,27354.667,27430.888,27825.378
11,mtMAM+G4,12669.310,114,25566.620,25642.841,26037.332
12,mtMAM+I+G4,12658.260,115,25546.519,25624.304,26021.360
13,mtMAM+F,13366.286,132,26996.572,27104.277,27541.606
14,mtMAM+F+I,13135.337,133,26536.673,26646.347,27085.837
15,mtMAM+F+G4,12372.556,133,25011.111,25120.785,25560.275
16,mtMAM+F+I+G4,12366.358,134,25000.717,25112.384,25554.010
17,JTT,12527.887,113,25281.774,25356.452,25748.356
18,JTT+I,12331.875,114,24891.751,24967.972,25362.463
19,JTT+G4,11903.631,114,24035.262,24111.483,24505.974
20,JTT+I+G4,11900.297,115,24030.593,24108.378,24505.434
21,JTT+F,12523.649,132,25311.298,25419.004,25856.333
22,JTT+F+I,12323.629,133,24913.258,25022.932,25462.422
23,JTT+F+G4,11877.426,133,24020.851,24130.525,24570.015
24,JTT+F+I+G4,11873.461,134,24014.921,24126.588,24568.214
25,WAG,12660.365,113,25546.729,25621.408,26013.312
26,WAG+I,12468.919,114,25165.838,25242.059,25636.550
27,WAG+G4,12072.832,114,24373.665,24449.886,24844.376
28,WAG+I+G4,12069.448,115,24368.896,24446.681,24843.737
29,WAG+F,12570.077,132,25404.155,25511.861,25949.190
30,WAG+F+I,12374.037,133,25014.074,25123.747,25563.237
31,WAG+F+G4,11958.277,133,24182.555,24292.228,24731.718
32,WAG+F+I+G4,11954.357,134,24176.714,24288.381,24730.007
33,cpREV,12805.501,113,25837.001,25911.680,26303.584
34,cpREV+I,12591.592,114,25411.185,25487.406,25881.896
35,cpREV+G4,12141.463,114,24510.926,24587.147,24981.638
36,cpREV+I+G4,12138.346,115,24506.692,24584.476,24981.533
37,cpREV+F,12722.092,132,25708.184,25815.889,26253.218
38,cpREV+F+I,12500.118,133,25266.235,25375.909,25815.399
39,cpREV+F+G4,12043.168,133,24352.337,24462.011,24901.501
40,cpREV+F+I+G4,12038.445,134,24344.890,24456.556,24898.182
41,mtREV,13221.375,113,26668.751,26743.429,27135.333
42,mtREV+I,13019.549,114,26267.097,26343.318,26737.809
43,mtREV+G4,12438.001,114,25104.002,25180.223,25574.714
44,mtREV+I+G4,12434.534,115,25099.069,25176.853,25573.909
45,mtREV+F,12850.474,132,25964.948,26072.653,26509.983
46,mtREV+F+I,12643.626,133,25553.252,25662.926,26102.416
47,mtREV+F+G4,12131.792,133,24529.583,24639.257,25078.747
48,mtREV+F+I+G4,12126.063,134,24520.126,24631.793,25073.419
49,rtREV,12879.836,113,25985.672,26060.350,26452.255
50,rtREV+I,12676.496,114,25580.993,25657.214,26051.705
51,rtREV+G4,12216.020,114,24660.040,24736.261,25130.752
52,rtREV+I+G4,12211.449,115,24652.898,24730.682,25127.739
53,rtREV+F,12822.859,132,25909.717,26017.423,26454.752
54,rtREV+F+I,12608.236,133,25482.473,25592.147,26031.636
55,rtREV+F+G4,12111.286,133,24488.571,24598.245,25037.735
