No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,6302.298,59,12722.597,12758.354,12932.222
2,Dayhoff+I,6215.193,60,12550.387,12587.544,12763.564
3,Dayhoff+G4,6096.280,60,12312.559,12349.717,12525.737
4,Dayhoff+I+G4,6092.343,61,12306.687,12345.279,12523.417
5,Dayhoff+F,6207.853,78,12571.706,12640.555,12848.837
6,Dayhoff+F+I,6114.828,79,12387.656,12458.667,12668.340
7,Dayhoff+F+G4,6008.809,79,12175.618,12246.629,12456.302
8,Dayhoff+F+I+G4,6003.855,80,12167.710,12240.930,12451.946
9,mtMAM,6676.928,59,13471.855,13507.613,13681.480
10,mtMAM+I,6539.136,60,13198.273,13235.430,13411.450
11,mtMAM+G4,6256.135,60,12632.269,12669.427,12845.447
12,mtMAM+I+G4,6251.523,61,12625.046,12663.638,12841.777
13,mtMAM+F,6336.331,78,12828.663,12897.512,13105.794
14,mtMAM+F+I,6199.468,79,12556.936,12627.947,12837.620
15,mtMAM+F+G4,6001.400,79,12160.800,12231.811,12441.483
16,mtMAM+F+I+G4,5992.724,80,12145.447,12218.668,12429.684
17,JTT,6068.446,59,12254.891,12290.649,12464.516
18,JTT+I,5983.378,60,12086.756,12123.913,12299.934
19,JTT+G4,5899.324,60,11918.649,11955.806,12131.826
20,JTT+I+G4,5894.204,61,11910.409,11949.001,12127.139
21,JTT+F,6024.490,78,12204.979,12273.828,12482.110
22,JTT+F+I,5934.358,79,12026.716,12097.727,12307.400
23,JTT+F+G4,5858.713,79,11875.427,11946.438,12156.110
24,JTT+F+I+G4,5852.232,80,11864.464,11937.684,12148.701
25,WAG,6166.286,59,12450.572,12486.330,12660.197
26,WAG+I,6083.551,60,12287.103,12324.260,12500.280
27,WAG+G4,5996.839,60,12113.677,12150.835,12326.855
28,WAG+I+G4,5991.718,61,12105.436,12144.028,12322.167
29,WAG+F,6110.107,78,12376.213,12445.063,12653.344
30,WAG+F+I,6019.992,79,12197.983,12268.994,12478.667
31,WAG+F+G4,5937.521,79,12033.042,12104.053,12313.726
32,WAG+F+I+G4,5931.216,80,12022.432,12095.652,12306.669
33,cpREV,6202.933,59,12523.866,12559.624,12733.491
34,cpREV+I,6119.933,60,12359.865,12397.022,12573.043
35,cpREV+G4,6011.037,60,12142.074,12179.231,12355.251
36,cpREV+I+G4,6006.865,61,12135.731,12174.323,12352.461
37,cpREV+F,6121.056,78,12398.112,12466.962,12675.243
38,cpREV+F+I,6034.302,79,12226.604,12297.615,12507.288
39,cpREV+F+G4,5932.964,79,12023.928,12094.939,12304.611
40,cpREV+F+I+G4,5927.229,80,12014.457,12087.678,12298.694
41,mtREV,6484.037,59,13086.074,13121.831,13295.698
42,mtREV+I,6372.946,60,12865.892,12903.049,13079.070
43,mtREV+G4,6210.674,60,12541.348,12578.506,12754.526
44,mtREV+I+G4,6205.766,61,12533.532,12572.124,12750.263
45,mtREV+F,6182.715,78,12521.430,12590.279,12798.560
46,mtREV+F+I,6075.305,79,12308.610,12379.621,12589.294
47,mtREV+F+G4,5953.955,79,12065.910,12136.921,12346.594
48,mtREV+F+I+G4,5946.371,80,12052.742,12125.963,12336.979
49,rtREV,6292.764,59,12703.528,12739.285,12913.153
50,rtREV+I,6199.071,60,12518.141,12555.299,12731.319
51,rtREV+G4,6097.521,60,12315.043,12352.200,12528.220
52,rtREV+I+G4,6092.175,61,12306.350,12344.942,12523.080
53,rtREV+F,6221.518,78,12599.036,12667.885,12876.167
54,rtREV+F+I,6113.795,79,12385.590,12456.602,12666.274
55,rtREV+F+G4,6014.665,79,12187.330,12258.342,12468.014
56,rtREV+F+I+G4,6007.379,80,12174.758,12247.978,12458.995
57,mtART,6869.516,59,13857.032,13892.790,14066.657
58,mtART+I,6734.021,60,13588.041,13625.199,13801.219
59,mtART+G4,6424.376,60,12968.753,13005.910,13181.930
60,mtART+I+G4,6422.077,61,12966.154,13004.746,13182.885
61,mtART+F,6545.582,78,13247.164,13316.014,13524.295
62,mtART+F+I,6415.332,79,12988.664,13059.675,13269.347
63,mtART+F+G4,6176.025,79,12510.050,12581.061,12790.734
64,mtART+F+I+G4,6169.305,80,12498.610,12571.830,12782.847
65,mtZOA,6517.908,59,13153.817,13189.574,13363.441
66,mtZOA+I,6403.721,60,12927.441,12964.598,13140.619
67,mtZOA+G4,6190.945,60,12501.890,12539.047,12715.068
68,mtZOA+I+G4,6187.776,61,12497.552,12536.144,12714.283
69,mtZOA+F,6283.617,78,12723.233,12792.082,13000.364
70,mtZOA+F+I,6174.715,79,12507.430,12578.441,12788.114
71,mtZOA+F+G4,6016.873,79,12191.746,12262.757,12472.430
72,mtZOA+F+I+G4,6011.340,80,12182.680,12255.900,12466.916
73,VT,6166.075,59,12450.150,12485.907,12659.775
74,VT+I,6083.857,60,12287.715,12324.872,12500.892
75,VT+G4,6011.460,60,12142.920,12180.078,12356.098
76,VT+I+G4,6005.479,61,12132.959,12171.550,12349.689
77,VT+F,6116.668,78,12389.335,12458.184,12666.466
78,VT+F+I,6028.771,79,12215.541,12286.552,12496.225
79,VT+F+G4,5960.520,79,12079.040,12150.051,12359.724
80,VT+F+I+G4,5953.317,80,12066.634,12139.854,12350.870
81,LG,6183.687,59,12485.375,12521.132,12694.999
82,LG+I,6090.816,60,12301.631,12338.788,12514.809
83,LG+G4,5997.497,60,12114.994,12152.152,12328.172
84,LG+I+G4,5991.986,61,12105.972,12144.564,12322.703
85,LG+F,6128.683,78,12413.366,12482.215,12690.497
86,LG+F+I,6027.237,79,12212.474,12283.485,12493.158
87,LG+F+G4,5935.902,79,12029.804,12100.815,12310.488
88,LG+F+I+G4,5928.971,80,12017.942,12091.162,12302.178
89,DCMut,6302.388,59,12722.776,12758.534,12932.401
90,DCMut+I,6215.316,60,12550.633,12587.790,12763.810
91,DCMut+G4,6096.851,60,12313.702,12350.859,12526.879
92,DCMut+I+G4,6092.922,61,12307.844,12346.436,12524.574
93,DCMut+F,6208.190,78,12572.381,12641.230,12849.512
94,DCMut+F+I,6115.184,79,12388.367,12459.379,12669.051
95,DCMut+F+G4,6009.564,79,12177.128,12248.140,12457.812
96,DCMut+F+I+G4,6004.594,80,12169.188,12242.409,12453.425
97,PMB,6235.729,59,12589.459,12625.216,12799.083
98,PMB+I,6150.127,60,12420.254,12457.411,12633.431
99,PMB+G4,6072.322,60,12264.643,12301.800,12477.821
100,PMB+I+G4,6066.561,61,12255.123,12293.714,12471.853
101,PMB+F,6225.277,78,12606.554,12675.403,12883.685
102,PMB+F+I,6134.391,79,12426.783,12497.794,12707.466
103,PMB+F+G4,6058.240,79,12274.480,12345.491,12555.164
104,PMB+F+I+G4,6051.388,80,12262.776,12335.997,12547.013
105,HIVb,6202.501,59,12523.002,12558.759,12732.626
106,HIVb+I,6093.026,60,12306.051,12343.208,12519.229
107,HIVb+G4,5972.910,60,12065.819,12102.977,12278.997
108,HIVb+I+G4,5968.274,61,12058.547,12097.139,12275.278
109,HIVb+F,6143.534,78,12443.069,12511.918,12720.199
