No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,15084.518,105,30379.036,30481.617,30775.690
2,Dayhoff+I,15053.449,106,30318.899,30423.917,30719.330
3,Dayhoff+G4,14750.318,106,29712.636,29817.655,30113.067
4,Dayhoff+I+G4,14746.804,107,29707.608,29815.106,30111.817
5,Dayhoff+F,14907.396,124,30062.793,30219.358,30531.221
6,Dayhoff+F+I,14878.133,125,30006.266,30166.164,30478.473
7,Dayhoff+F+G4,14593.931,125,29437.863,29597.761,29910.069
8,Dayhoff+F+I+G4,14591.509,126,29435.018,29598.303,29911.002
9,mtMAM,15520.083,105,31250.166,31352.747,31646.819
10,mtMAM+I,15492.653,106,31197.305,31302.324,31597.736
11,mtMAM+G4,14974.029,106,30160.057,30265.076,30560.489
12,mtMAM+I+G4,14973.615,107,30161.230,30268.728,30565.439
13,mtMAM+F,15111.611,124,30471.221,30627.787,30939.650
14,mtMAM+F+I,15082.900,125,30415.799,30575.698,30888.006
15,mtMAM+F+G4,14640.288,125,29530.575,29690.474,30002.782
16,mtMAM+F+I+G4,14639.729,126,29531.458,29694.744,30007.443
17,JTT,14621.620,105,29453.239,29555.820,29849.893
18,JTT+I,14587.799,106,29387.598,29492.617,29788.029
19,JTT+G4,14336.004,106,28884.009,28989.027,29284.440
20,JTT+I+G4,14332.611,107,28879.222,28986.719,29283.430
21,JTT+F,14598.025,124,29444.049,29600.615,29912.478
22,JTT+F+I,14565.175,125,29380.350,29540.248,29852.556
23,JTT+F+G4,14302.008,125,28854.017,29013.915,29326.223
24,JTT+F+I+G4,14299.739,126,28851.478,29014.764,29327.462
25,WAG,14795.908,105,29801.817,29904.397,30198.470
26,WAG+I,14756.739,106,29725.478,29830.497,30125.909
27,WAG+G4,14526.212,106,29264.424,29369.443,29664.855
28,WAG+I+G4,14520.498,107,29254.995,29362.493,29659.204
29,WAG+F,14703.014,124,29654.028,29810.594,30122.457
30,WAG+F+I,14666.497,125,29582.993,29742.892,30055.200
31,WAG+F+G4,14432.170,125,29114.339,29274.238,29586.546
32,WAG+F+I+G4,14427.998,126,29107.997,29271.283,29583.981
33,cpREV,14720.194,105,29650.388,29752.969,30047.042
34,cpREV+I,14679.136,106,29570.271,29675.290,29970.702
35,cpREV+G4,14452.741,106,29117.481,29222.500,29517.912
36,cpREV+I+G4,14445.645,107,29105.290,29212.788,29509.499
37,cpREV+F,14650.455,124,29548.910,29705.476,30017.339
38,cpREV+F+I,14611.324,125,29472.649,29632.547,29944.855
39,cpREV+F+G4,14380.228,125,29010.455,29170.354,29482.662
40,cpREV+F+I+G4,14374.262,126,29000.524,29163.810,29476.508
41,mtREV,15203.528,105,30617.057,30719.638,31013.710
42,mtREV+I,15173.715,106,30559.431,30664.449,30959.862
43,mtREV+G4,14842.172,106,29896.344,30001.363,30296.775
44,mtREV+I+G4,14840.921,107,29895.842,30003.340,30300.051
45,mtREV+F,14825.189,124,29898.379,30054.944,30366.808
46,mtREV+F+I,14795.416,125,29840.832,30000.731,30313.039
47,mtREV+F+G4,14494.504,125,29239.007,29398.906,29711.214
48,mtREV+F+I+G4,14493.267,126,29238.535,29401.820,29714.519
49,rtREV,15095.693,105,30401.387,30503.967,30798.040
50,rtREV+I,15048.101,106,30308.202,30413.221,30708.634
51,rtREV+G4,14801.131,106,29814.262,29919.280,30214.693
52,rtREV+I+G4,14793.685,107,29801.370,29908.868,30205.579
53,rtREV+F,15019.844,124,30287.688,30444.254,30756.117
54,rtREV+F+I,14972.105,125,30194.210,30354.108,30666.417
55,rtREV+F+G4,14689.128,125,29628.256,29788.154,30100.463
56,rtREV+F+I+G4,14683.109,126,29618.218,29781.504,30094.202
57,mtART,15712.520,105,31635.041,31737.622,32031.694
58,mtART+I,15668.696,106,31549.391,31654.410,31949.823
59,mtART+G4,15115.943,106,30443.887,30548.905,30844.318
60,mtART+I+G4,15113.759,107,30441.519,30549.017,30845.728
61,mtART+F,15419.998,124,31087.996,31244.562,31556.425
62,mtART+F+I,15378.254,125,31006.508,31166.407,31478.715
63,mtART+F+G4,14857.674,125,29965.349,30125.247,30437.555
64,mtART+F+I+G4,14855.713,126,29963.426,30126.711,30439.410
65,mtZOA,15285.302,105,30780.604,30883.185,31177.257
66,mtZOA+I,15245.490,106,30702.979,30807.998,31103.410
67,mtZOA+G4,14769.418,106,29750.836,29855.854,30151.267
68,mtZOA+I+G4,14767.362,107,29748.725,29856.223,30152.934
69,mtZOA+F,15102.907,124,30453.813,30610.379,30922.242
70,mtZOA+F+I,15063.878,125,30377.756,30537.654,30849.962
71,mtZOA+F+G4,14619.529,125,29489.057,29648.956,29961.264
72,mtZOA+F+I+G4,14617.521,126,29487.043,29650.329,29963.027
73,VT,14777.013,105,29764.026,29866.607,30160.680
74,VT+I,14736.306,106,29684.612,29789.631,30085.044
75,VT+G4,14523.285,106,29258.569,29363.588,29659.000
76,VT+I+G4,14517.364,107,29248.729,29356.227,29652.938
77,VT+F,14720.708,124,29689.417,29845.982,30157.845
78,VT+F+I,14681.125,125,29612.251,29772.149,30084.458
79,VT+F+G4,14457.537,125,29165.073,29324.972,29637.280
80,VT+F+I+G4,14452.646,126,29157.292,29320.578,29633.276
81,LG,14812.425,105,29834.849,29937.430,30231.503
82,LG+I,14768.871,106,29749.742,29854.760,30150.173
83,LG+G4,14505.564,106,29223.127,29328.146,29623.558
84,LG+I+G4,14500.503,107,29215.007,29322.505,29619.216
85,LG+F,14822.621,124,29893.243,30049.809,30361.672
86,LG+F+I,14780.590,125,29811.181,29971.079,30283.388
87,LG+F+G4,14483.660,125,29217.319,29377.217,29689.526
88,LG+F+I+G4,14479.990,126,29211.979,29375.265,29687.964
89,DCMut,15084.114,105,30378.229,30480.810,30774.882
90,DCMut+I,15053.020,106,30318.040,30423.059,30718.471
91,DCMut+G4,14751.120,106,29714.240,29819.258,30114.671
92,DCMut+I+G4,14747.539,107,29709.078,29816.575,30113.286
93,DCMut+F,14907.324,124,30062.649,30219.215,30531.078
94,DCMut+F+I,14878.030,125,30006.060,30165.959,30478.267
95,DCMut+F+G4,14594.647,125,29439.294,29599.193,29911.501
96,DCMut+F+I+G4,14592.202,126,29436.404,29599.690,29912.388
97,PMB,14912.403,105,30034.806,30137.386,30431.459
98,PMB+I,14870.360,106,29952.721,30057.739,30353.152
99,PMB+G4,14647.980,106,29507.961,29612.979,29908.392
100,PMB+I+G4,14641.831,107,29497.662,29605.160,29901.871
101,PMB+F,14929.140,124,30106.279,30262.845,30574.708
102,PMB+F+I,14888.911,125,30027.821,30187.720,30500.028
103,PMB+F+G4,14645.426,125,29540.853,29700.751,30013.059
104,PMB+F+I+G4,14640.571,126,29533.142,29696.427,30009.126
105,HIVb,14794.214,105,29798.429,29901.009,30195.082
106,HIVb+I,14760.737,106,29733.475,29838.493,30133.906
107,HIVb+G4,14483.462,106,29178.925,29283.943,29579.356
108,HIVb+I+G4,14479.859,107,29173.717,29281.215,29577.926
109,HIVb+F,14748.781,124,29745.562,29902.127,30213.991
110,HIVb+F+I,14711.883,125,29673.766,29833.664,30145.972
111,HIVb+F+G4,14412.222,125,29074.444,29234.343,29546.651
112,HIVb+F+I+G4,14409.156,126,29070.312,29233.597,29546.296
113,HIVw,15286.300,105,30782.600,30885.181,31179.253
114,HIVw+I,15267.814,106,30747.629,30852.647,31148.060
115,HIVw+G4,14923.028,106,30058.056,30163.075,30458.487
116,HIVw+I+G4,14922.550,107,30059.101,30166.599,30463.310
