No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,1882.615,61,3887.230,4029.947,4054.671
2,Dayhoff+I,1861.267,62,3846.534,3996.765,4016.720
3,Dayhoff+G4,1841.345,62,3806.691,3956.922,3976.877
4,Dayhoff+I+G4,1841.042,63,3808.084,3966.202,3981.015
5,Dayhoff+F,1878.829,80,3917.657,4298.834,4137.252
6,Dayhoff+F+I,1855.912,81,3873.823,4276.369,4096.163
7,Dayhoff+F+G4,1835.755,81,3833.510,4236.056,4055.850
8,Dayhoff+F+I+G4,1835.471,82,3834.942,4260.317,4060.027
9,mtMAM,1939.136,61,4000.273,4142.990,4167.714
10,mtMAM+I,1912.012,62,3948.023,4098.254,4118.209
11,mtMAM+G4,1867.900,62,3859.799,4010.030,4029.985
12,mtMAM+I+G4,1868.330,63,3862.659,4020.777,4035.590
13,mtMAM+F,1890.061,80,3940.123,4321.299,4159.717
14,mtMAM+F+I,1857.314,81,3876.627,4279.173,4098.967
15,mtMAM+F+G4,1821.309,81,3804.617,4207.162,4026.957
16,mtMAM+F+I+G4,1821.304,82,3806.607,4231.982,4031.691
17,JTT,1841.898,61,3805.796,3948.513,3973.237
18,JTT+I,1821.636,62,3767.272,3917.502,3937.458
19,JTT+G4,1806.344,62,3736.689,3886.919,3906.874
20,JTT+I+G4,1806.030,63,3738.059,3896.177,3910.990
21,JTT+F,1847.638,80,3855.275,4236.452,4074.870
22,JTT+F+I,1826.031,81,3814.063,4216.608,4036.402
23,JTT+F+G4,1809.493,81,3780.987,4183.532,4003.326
24,JTT+F+I+G4,1809.148,82,3782.296,4207.671,4007.381
25,WAG,1866.951,61,3855.902,3998.619,4023.343
26,WAG+I,1849.301,62,3822.602,3972.832,3992.787
27,WAG+G4,1833.846,62,3791.691,3941.922,3961.877
28,WAG+I+G4,1833.657,63,3793.315,3951.433,3966.246
29,WAG+F,1866.724,80,3893.447,4274.624,4113.042
30,WAG+F+I,1847.475,81,3856.950,4259.496,4079.290
31,WAG+F+G4,1831.238,81,3824.475,4227.021,4046.815
32,WAG+F+I+G4,1830.995,82,3825.989,4251.364,4051.074
33,cpREV,1866.732,61,3855.463,3998.180,4022.904
34,cpREV+I,1851.893,62,3827.786,3978.017,3997.972
35,cpREV+G4,1829.006,62,3782.012,3932.242,3952.198
36,cpREV+I+G4,1829.205,63,3784.410,3942.528,3957.341
37,cpREV+F,1870.323,80,3900.646,4281.823,4120.241
38,cpREV+F+I,1851.484,81,3864.968,4267.513,4087.308
