No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,77867.420,111,155956.840,155965.038,156628.786
2,Dayhoff+I,77038.247,112,154300.495,154308.843,154978.494
3,Dayhoff+G4,74397.077,112,149018.153,149026.501,149696.153
4,Dayhoff+I+G4,74396.735,113,149019.471,149027.971,149703.524
5,Dayhoff+F,77842.961,130,155945.921,155957.222,156732.885
6,Dayhoff+F+I,76968.964,131,154199.928,154211.406,154992.945
7,Dayhoff+F+G4,74272.749,131,148807.498,148818.976,149600.516
8,Dayhoff+F+I+G4,74272.189,132,148808.377,148820.034,149607.448
9,mtMAM,83953.115,111,168128.231,168136.428,168800.177
10,mtMAM+I,82834.702,112,165893.405,165901.753,166571.405
11,mtMAM+G4,77843.853,112,155911.706,155920.054,156589.706
12,mtMAM+I+G4,77835.213,113,155896.427,155904.927,156580.480
13,mtMAM+F,80493.336,130,161246.671,161257.972,162033.635
14,mtMAM+F+I,79475.594,131,159213.189,159224.667,160006.206
15,mtMAM+F+G4,75430.742,131,151123.484,151134.963,151916.502
16,mtMAM+F+I+G4,75430.854,132,151125.709,151137.366,151924.780
17,JTT,76198.511,111,152619.023,152627.221,153290.969
18,JTT+I,75320.426,112,150864.853,150873.201,151542.853
19,JTT+G4,72778.889,112,145781.778,145790.126,146459.778
20,JTT+I+G4,72778.221,113,145782.442,145790.942,146466.495
21,JTT+F,76229.581,130,152719.162,152730.463,153506.126
22,JTT+F+I,75324.867,131,150911.734,150923.212,151704.752
23,JTT+F+G4,72768.346,131,145798.691,145810.170,146591.709
24,JTT+F+I+G4,72767.418,132,145798.837,145810.494,146597.908
25,WAG,77581.358,111,155384.716,155392.914,156056.662
26,WAG+I,76683.671,112,153591.342,153599.690,154269.342
27,WAG+G4,74158.690,112,148541.380,148549.729,149219.380
28,WAG+I+G4,74157.831,113,148541.662,148550.163,149225.716
29,WAG+F,77722.818,130,155705.636,155716.936,156492.600
30,WAG+F+I,76808.760,131,153879.520,153890.998,154672.537
31,WAG+F+G4,74228.174,131,148718.349,148729.827,149511.366
32,WAG+F+I+G4,74227.277,132,148718.555,148730.212,149517.626
