No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,61896.465,101,123994.931,124002.741,124592.418
2,Dayhoff+I,60815.082,102,121834.163,121842.131,122437.566
3,Dayhoff+G4,59425.689,102,119055.378,119063.346,119658.781
4,Dayhoff+I+G4,59379.310,103,118964.620,118972.747,119573.938
5,Dayhoff+F,61465.521,120,123171.041,123182.130,123880.927
6,Dayhoff+F+I,60379.506,121,121001.013,121012.290,121716.814
7,Dayhoff+F+G4,59001.383,121,118244.767,118256.044,118960.568
8,Dayhoff+F+I+G4,58957.242,122,118158.483,118169.951,118880.200
9,mtMAM,66749.714,101,133701.427,133709.238,134298.914
10,mtMAM+I,65627.600,102,131459.201,131467.169,132062.604
11,mtMAM+G4,62455.314,102,125114.627,125122.595,125718.030
12,mtMAM+I+G4,62441.022,103,125088.044,125096.171,125697.362
13,mtMAM+F,63631.090,120,127502.180,127513.268,128212.066
14,mtMAM+F+I,62492.222,121,125226.445,125237.722,125942.246
15,mtMAM+F+G4,59995.676,121,120233.352,120244.630,120949.154
16,mtMAM+F+I+G4,59971.520,122,120187.039,120198.507,120908.756
17,JTT,60649.027,101,121500.053,121507.864,122097.540
18,JTT+I,59591.030,102,119386.060,119394.028,119989.463
19,JTT+G4,58315.381,102,116834.763,116842.731,117438.166
20,JTT+I+G4,58278.102,103,116762.205,116770.332,117371.523
21,JTT+F,60407.667,120,121055.335,121066.423,121765.220
22,JTT+F+I,59327.517,121,118897.033,118908.311,119612.835
23,JTT+F+G4,58062.247,121,116366.494,116377.771,117082.295
24,JTT+F+I+G4,58024.475,122,116292.949,116304.417,117014.666
25,WAG,61521.805,101,123245.609,123253.420,123843.096
26,WAG+I,60463.729,102,121131.458,121139.427,121734.861
27,WAG+G4,59207.768,102,118619.537,118627.505,119222.939
28,WAG+I+G4,59170.307,103,118546.613,118554.741,119155.932
29,WAG+F,61122.926,120,122485.853,122496.941,123195.738
30,WAG+F+I,60066.759,121,120375.518,120386.795,121091.319
31,WAG+F+G4,58812.776,121,117867.551,117878.829,118583.353
32,WAG+F+I+G4,58776.506,122,117797.011,117808.479,118518.728
33,cpREV,62209.148,101,124620.297,124628.107,125217.784
34,cpREV+I,61121.380,102,122446.761,122454.729,123050.164
35,cpREV+G4,59705.723,102,119615.447,119623.415,120218.849
36,cpREV+I+G4,59668.482,103,119542.963,119551.091,120152.282
37,cpREV+F,61730.466,120,123700.932,123712.020,124410.817
38,cpREV+F+I,60625.068,121,121492.135,121503.413,122207.937
39,cpREV+F+G4,59221.535,121,118685.070,118696.348,119400.872
40,cpREV+F+I+G4,59181.454,122,118606.909,118618.377,119328.626
41,mtREV,64612.844,101,129427.689,129435.499,130025.176
42,mtREV+I,63578.652,102,127361.304,127369.272,127964.707
43,mtREV+G4,61477.339,102,123158.677,123166.645,123762.080
44,mtREV+I+G4,61458.247,103,123122.494,123130.622,123731.813
45,mtREV+F,62067.765,120,124375.531,124386.619,125085.417
46,mtREV+F+I,61029.484,121,122300.967,122312.244,123016.768
47,mtREV+F+G4,59254.196,121,118750.391,118761.668,119466.192
48,mtREV+F+I+G4,59226.865,122,118697.730,118709.198,119419.447
49,rtREV,62711.476,101,125624.952,125632.762,126222.439
50,rtREV+I,61621.821,102,123447.642,123455.610,124051.045
51,rtREV+G4,60140.067,102,120484.135,120492.103,121087.538
52,rtREV+I+G4,60106.687,103,120419.374,120427.501,121028.692
53,rtREV+F,62018.196,120,124276.391,124287.479,124986.277
54,rtREV+F+I,60929.488,121,122100.975,122112.253,122816.777
55,rtREV+F+G4,59437.552,121,119117.103,119128.381,119832.905
56,rtREV+F+I+G4,59404.323,122,119052.645,119064.113,119774.362
57,mtART,67629.457,101,135460.914,135468.724,136058.401
58,mtART+I,66328.823,102,132861.646,132869.614,133465.049
59,mtART+G4,63163.922,102,126531.843,126539.811,127135.246
60,mtART+I+G4,63140.980,103,126487.960,126496.088,127097.279
61,mtART+F,64664.610,120,129569.219,129580.307,130279.105
62,mtART+F+I,63484.882,121,127211.763,127223.041,127927.565
63,mtART+F+G4,60879.815,121,122001.630,122012.908,122717.432
64,mtART+F+I+G4,60859.013,122,121962.026,121973.494,122683.743
65,mtZOA,64839.700,101,129881.401,129889.211,130478.888
66,mtZOA+I,63711.689,102,127627.378,127635.346,128230.780
67,mtZOA+G4,61185.769,102,122575.538,122583.506,123178.940
68,mtZOA+I+G4,61168.665,103,122543.330,122551.457,123152.648
69,mtZOA+F,62834.584,120,125909.167,125920.255,126619.053
70,mtZOA+F+I,61733.726,121,123709.451,123720.729,124425.253
71,mtZOA+F+G4,59684.813,121,119611.625,119622.903,120327.427
72,mtZOA+F+I+G4,59659.909,122,119563.819,119575.287,120285.536
73,VT,61294.044,101,122790.088,122797.898,123387.575
74,VT+I,60245.940,102,120695.880,120703.848,121299.283
75,VT+G4,59097.962,102,118399.924,118407.892,119003.327
76,VT+I+G4,59060.255,103,118326.509,118334.637,118935.828
77,VT+F,60924.409,120,122088.817,122099.905,122798.703
78,VT+F+I,59875.529,121,119993.057,120004.334,120708.858
