No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19035.429,119,38308.858,38357.020,38852.626
2,Dayhoff+I,18745.953,120,37731.906,37780.960,38280.244
3,Dayhoff+G4,18267.781,120,36775.561,36824.615,37323.899
4,Dayhoff+I+G4,18263.793,121,36769.586,36819.542,37322.494
5,Dayhoff+F,19021.785,138,38319.571,38386.407,38950.159
6,Dayhoff+F+I,18728.011,139,37734.021,37801.944,38369.179
7,Dayhoff+F+G4,18250.701,139,36779.403,36847.326,37414.561
8,Dayhoff+F+I+G4,18246.130,140,36772.260,36841.281,37411.987
9,mtMAM,20316.464,119,40870.929,40919.091,41414.697
10,mtMAM+I,19955.704,120,40151.407,40200.462,40699.745
11,mtMAM+G4,19097.768,120,38435.535,38484.589,38983.873
12,mtMAM+I+G4,19087.123,121,38416.247,38466.203,38969.154
13,mtMAM+F,19372.540,138,39021.081,39087.917,39651.669
14,mtMAM+F+I,19054.002,139,38386.005,38453.928,39021.163
15,mtMAM+F+G4,18380.159,139,37038.319,37106.242,37673.477
16,mtMAM+F+I+G4,18372.481,140,37024.963,37093.984,37664.690
17,JTT,18592.823,119,37423.646,37471.808,37967.415
18,JTT+I,18311.639,120,36863.278,36912.332,37411.616
19,JTT+G4,17894.375,120,36028.750,36077.804,36577.088
20,JTT+I+G4,17889.444,121,36020.888,36070.844,36573.795
21,JTT+F,18574.969,138,37425.937,37492.773,38056.526
22,JTT+F+I,18288.890,139,36855.781,36923.704,37490.939
23,JTT+F+G4,17877.615,139,36033.229,36101.152,36668.387
24,JTT+F+I+G4,17872.132,140,36024.265,36093.285,36663.992
25,WAG,18976.617,119,38191.234,38239.396,38735.002
26,WAG+I,18695.229,120,37630.457,37679.512,38178.795
27,WAG+G4,18258.134,120,36756.268,36805.322,37304.605
28,WAG+I+G4,18254.388,121,36750.775,36800.732,37303.683
29,WAG+F,18981.275,138,38238.550,38305.386,38869.138
30,WAG+F+I,18700.068,139,37678.137,37746.060,38313.295
31,WAG+F+G4,18259.838,139,36797.675,36865.599,37432.833
32,WAG+F+I+G4,18255.696,140,36791.392,36860.413,37431.120
33,cpREV,19198.986,119,38635.971,38684.133,39179.739
34,cpREV+I,18901.510,120,38043.019,38092.073,38591.357
35,cpREV+G4,18406.311,120,37052.622,37101.676,37600.960
36,cpREV+I+G4,18402.709,121,37047.418,37097.374,37600.326
37,cpREV+F,19185.727,138,38647.454,38714.290,39278.042
38,cpREV+F+I,18887.529,139,38053.057,38120.980,38688.215
39,cpREV+F+G4,18382.053,139,37042.106,37110.029,37677.264
40,cpREV+F+I+G4,18378.531,140,37037.062,37106.083,37676.789
41,mtREV,19821.364,119,39880.728,39928.890,40424.496
42,mtREV+I,19517.538,120,39275.077,39324.131,39823.415
43,mtREV+G4,18895.548,120,38031.096,38080.150,38579.433
44,mtREV+I+G4,18888.319,121,38018.638,38068.594,38571.545
45,mtREV+F,19072.348,138,38420.697,38487.533,39051.285
46,mtREV+F+I,18797.978,139,37873.957,37941.880,38509.115
47,mtREV+F+G4,18250.684,139,36779.368,36847.291,37414.526
48,mtREV+F+I+G4,18245.643,140,36771.286,36840.307,37411.013
49,rtREV,19296.395,119,38830.790,38878.951,39374.558
50,rtREV+I,18995.883,120,38231.766,38280.820,38780.103
51,rtREV+G4,18536.387,120,37312.773,37361.827,37861.111
52,rtREV+I+G4,18530.917,121,37303.833,37353.789,37856.741
53,rtREV+F,19155.377,138,38586.755,38653.591,39217.343
54,rtREV+F+I,18862.622,139,38003.243,38071.166,38638.401
55,rtREV+F+G4,18402.772,139,37083.544,37151.467,37718.702
56,rtREV+F+I+G4,18397.540,140,37075.081,37144.102,37714.808
57,mtART,20606.431,119,41450.863,41499.025,41994.631
58,mtART+I,20209.303,120,40658.605,40707.659,41206.943
59,mtART+G4,19327.257,120,38894.513,38943.567,39442.851
60,mtART+I+G4,19315.532,121,38873.064,38923.021,39425.972
61,mtART+F,19784.328,138,39844.656,39911.492,40475.244
62,mtART+F+I,19430.633,139,39139.267,39207.190,39774.425
63,mtART+F+G4,18714.699,139,37707.397,37775.321,38342.555
64,mtART+F+I+G4,18707.769,140,37695.537,37764.558,38335.265
65,mtZOA,19796.351,119,39830.702,39878.864,40374.470
66,mtZOA+I,19448.799,120,39137.598,39186.652,39685.935
67,mtZOA+G4,18756.303,120,37752.605,37801.659,38300.943
68,mtZOA+I+G4,18747.148,121,37736.295,37786.251,38289.202
69,mtZOA+F,19270.238,138,38816.477,38883.313,39447.065
70,mtZOA+F+I,18950.897,139,38179.794,38247.717,38814.952
71,mtZOA+F+G4,18379.684,139,37037.368,37105.291,37672.526
72,mtZOA+F+I+G4,18373.778,140,37027.556,37096.577,37667.283
73,VT,18939.175,119,38116.351,38164.512,38660.119
74,VT+I,18660.513,120,37561.026,37610.080,38109.364
75,VT+G4,18266.807,120,36773.613,36822.667,37321.951
76,VT+I+G4,18261.903,121,36765.806,36815.762,37318.713
77,VT+F,18919.147,138,38114.295,38181.131,38744.883
78,VT+F+I,18641.034,139,37560.068,37627.991,38195.226
79,VT+F+G4,18248.589,139,36775.178,36843.101,37410.336
80,VT+F+I+G4,18243.457,140,36766.915,36835.936,37406.642
81,LG,19019.313,119,38276.626,38324.788,38820.394
82,LG+I,18722.637,120,37685.274,37734.328,38233.612
83,LG+G4,18261.275,120,36762.551,36811.605,37310.888
84,LG+I+G4,18256.363,121,36754.726,36804.682,37307.633
85,LG+F,18965.566,138,38207.131,38273.967,38837.720
86,LG+F+I,18672.903,139,37623.807,37691.730,38258.965
87,LG+F+G4,18213.291,139,36704.581,36772.504,37339.739
88,LG+F+I+G4,18208.435,140,36696.871,36765.892,37336.598
