No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19539.818,61,39201.635,39211.383,39490.227
2,Dayhoff+I,19229.861,62,38583.722,38593.802,38877.045
3,Dayhoff+G4,18767.209,62,37658.419,37668.499,37951.742
4,Dayhoff+I+G4,18760.450,63,37646.900,37657.319,37944.954
5,Dayhoff+F,19367.465,80,38894.929,38912.050,39273.411
6,Dayhoff+F+I,19070.633,81,38303.265,38320.837,38686.478
7,Dayhoff+F+G4,18598.710,81,37359.420,37376.991,37742.632
8,Dayhoff+F+I+G4,18593.221,82,37350.442,37368.471,37738.385
9,mtMAM,21876.357,61,43874.714,43884.461,44163.306
10,mtMAM+I,21531.698,62,43187.396,43197.476,43480.719
11,mtMAM+G4,20014.504,62,40153.009,40163.089,40446.332
12,mtMAM+I+G4,20014.605,63,40155.210,40165.628,40453.264
13,mtMAM+F,20207.940,80,40575.880,40593.001,40954.362
14,mtMAM+F+I,19869.943,81,39901.886,39919.457,40285.098
15,mtMAM+F+G4,18859.360,81,37880.719,37898.291,38263.932
16,mtMAM+F+I+G4,18859.654,82,37883.308,37901.337,38271.252
17,JTT,19147.776,61,38417.552,38427.299,38706.144
18,JTT+I,18851.986,62,37827.973,37838.053,38121.296
19,JTT+G4,18391.511,62,36907.021,36917.101,37200.344
20,JTT+I+G4,18387.890,63,36901.780,36912.198,37199.834
21,JTT+F,19025.199,80,38210.398,38227.518,38588.880
22,JTT+F+I,18731.612,81,37625.223,37642.795,38008.436
23,JTT+F+G4,18290.751,81,36743.501,36761.073,37126.714
24,JTT+F+I+G4,18286.943,82,36737.886,36755.915,37125.830
25,WAG,19261.051,61,38644.102,38653.849,38932.694
26,WAG+I,18992.705,62,38109.409,38119.489,38402.733
27,WAG+G4,18578.966,62,37281.932,37292.012,37575.255
28,WAG+I+G4,18575.551,63,37277.103,37287.521,37575.157
29,WAG+F,19106.602,80,38373.203,38390.324,38751.685
30,WAG+F+I,18844.864,81,37851.728,37869.300,38234.941
31,WAG+F+G4,18435.684,81,37033.367,37050.939,37416.580
32,WAG+F+I+G4,18432.326,82,37028.652,37046.681,37416.595
33,cpREV,19515.540,61,39153.079,39162.827,39441.672
34,cpREV+I,19227.223,62,38578.446,38588.526,38871.769
35,cpREV+G4,18692.864,62,37509.729,37519.809,37803.052
36,cpREV+I+G4,18690.286,63,37506.572,37516.990,37804.626
37,cpREV+F,19322.953,80,38805.905,38823.025,39184.386
38,cpREV+F+I,19033.907,81,38229.814,38247.386,38613.027
39,cpREV+F+G4,18520.486,81,37202.972,37220.543,37586.184
40,cpREV+F+I+G4,18517.298,82,37198.595,37216.625,37586.539
41,mtREV,21010.826,61,42143.651,42153.399,42432.243
42,mtREV+I,20704.739,62,41533.479,41543.559,41826.802
43,mtREV+G4,19747.048,62,39618.095,39628.175,39911.419
44,mtREV+I+G4,19745.657,63,39617.314,39627.733,39915.368
45,mtREV+F,19643.931,80,39447.862,39464.982,39826.343
46,mtREV+F+I,19346.922,81,38855.844,38873.415,39239.057
47,mtREV+F+G4,18649.410,81,37460.820,37478.392,37844.033
48,mtREV+F+I+G4,18649.502,82,37463.005,37481.034,37850.948
49,rtREV,19630.620,61,39383.239,39392.987,39671.831
50,rtREV+I,19343.994,62,38811.987,38822.067,39105.310
51,rtREV+G4,18816.271,62,37756.541,37766.621,38049.865
52,rtREV+I+G4,18813.726,63,37753.452,37763.870,38051.506
53,rtREV+F,19415.922,80,38991.844,39008.964,39370.325
54,rtREV+F+I,19123.292,81,38408.584,38426.155,38791.796
55,rtREV+F+G4,18610.584,81,37383.167,37400.739,37766.380
56,rtREV+F+I+G4,18608.138,82,37380.276,37398.305,37768.220
57,mtART,22383.899,61,44889.797,44899.545,45178.389
58,mtART+I,21976.002,62,44076.004,44086.084,44369.327
59,mtART+G4,20411.822,62,40947.643,40957.723,41240.966
60,mtART+I+G4,20411.206,63,40948.413,40958.831,41246.467
61,mtART+F,20672.704,80,41505.409,41522.529,41883.890
62,mtART+F+I,20306.272,81,40774.545,40792.116,41157.757
63,mtART+F+G4,19161.352,81,38484.703,38502.275,38867.916
64,mtART+F+I+G4,19162.101,82,38488.202,38506.231,38876.145
