No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,24813.721,51,49729.442,49732.132,50015.697
2,JC+I,24223.723,52,48551.445,48554.242,48843.313
3,JC+G4,23881.940,52,47867.880,47870.676,48159.747
4,JC+I+G4,23869.215,53,47844.431,47847.337,48141.911
5,F81+F,24930.329,54,49968.658,49971.674,50271.751
6,F81+F+I,24286.394,55,48682.789,48685.919,48991.494
7,F81+F+G4,23923.516,55,47957.033,47960.163,48265.739
8,F81+F+I+G4,23909.985,56,47931.969,47935.215,48246.288
9,K2P,24408.510,52,48921.020,48923.817,49212.887
10,K2P+I,23801.541,53,47709.081,47711.987,48006.561
11,K2P+G4,23417.045,53,46940.091,46942.996,47237.571
12,K2P+I+G4,23407.131,54,46922.263,46925.280,47225.356
13,HKY+F,24431.896,55,48973.793,48976.923,49282.498
14,HKY+F+I,23726.956,56,47565.912,47569.157,47880.230
15,HKY+F+G4,23300.782,56,46713.564,46716.810,47027.883
16,HKY+F+I+G4,23287.201,57,46688.403,46691.766,47008.334
17,TNe,24408.010,53,48922.021,48924.926,49219.501
18,TNe+I,23801.519,54,47711.038,47714.054,48014.130
19,TNe+G4,23417.035,54,46942.069,46945.086,47245.162
20,TNe+I+G4,23407.114,55,46924.229,46927.359,47232.935
21,TN+F,24423.363,56,48958.726,48961.971,49273.044
22,TN+F+I,23725.955,57,47565.910,47569.273,47885.841
23,TN+F+G4,23297.329,57,46708.658,46712.022,47028.590
24,TN+F+I+G4,23284.409,58,46684.817,46688.300,47010.361
25,K3P,24402.539,53,48911.079,48913.984,49208.559
26,K3P+I,23795.474,54,47698.949,47701.966,48002.042
27,K3P+G4,23411.105,54,46930.211,46933.227,47233.303
28,K3P+I+G4,23401.134,55,46912.268,46915.399,47220.974
29,K3Pu+F,24431.752,56,48975.503,48978.749,49289.822
30,K3Pu+F+I,23723.397,57,47560.793,47564.157,47880.725
31,K3Pu+F+G4,23296.528,57,46707.055,46710.418,47026.987
32,K3Pu+F+I+G4,23282.378,58,46680.755,46684.238,47006.299
33,TPM2+F,24416.402,56,48944.803,48948.049,49259.122
34,TPM2+F+I,23708.873,57,47531.746,47535.110,47851.678
35,TPM2+F+G4,23262.202,57,46638.404,46641.767,46958.335
36,TPM2+F+I+G4,23248.550,58,46613.100,46616.583,46938.644
37,TPM2u+F,24416.404,56,48944.808,48948.053,49259.126
38,TPM2u+F+I,23708.873,57,47531.746,47535.109,47851.678
39,TPM2u+F+G4,23262.202,57,46638.403,46641.767,46958.335
40,TPM2u+F+I+G4,23248.547,58,46613.094,46616.577,46938.638
41,TPM3+F,24419.278,56,48950.557,48953.802,49264.875
42,TPM3+F+I,23726.681,57,47567.363,47570.726,47887.294
43,TPM3+F+G4,23300.719,57,46715.439,46718.802,47035.370
44,TPM3+F+I+G4,23286.817,58,46689.634,46693.117,47015.178
45,TPM3u+F,24419.278,56,48950.556,48953.801,49264.874
46,TPM3u+F+I,23726.682,57,47567.364,47570.727,47887.295
47,TPM3u+F+G4,23300.702,57,46715.403,46718.766,47035.335
48,TPM3u+F+I+G4,23286.811,58,46689.623,46693.105,47015.167
49,TIMe,24402.043,54,48912.087,48915.104,49215.180
50,TIMe+I,23795.452,55,47700.903,47704.033,48009.609
51,TIMe+G4,23411.098,55,46932.196,46935.326,47240.902
52,TIMe+I+G4,23401.161,56,46914.322,46917.568,47228.641
53,TIM+F,24423.237,57,48960.474,48963.837,49280.405
54,TIM+F+I,23722.439,58,47560.878,47564.361,47886.422
55,TIM+F+G4,23293.182,58,46702.363,46705.846,47027.908
56,TIM+F+I+G4,23279.658,59,46677.317,46680.921,47008.474
57,TIM2e,24401.842,54,48911.684,48914.701,49214.777
58,TIM2e+I,23798.209,55,47706.417,47709.547,48015.123
59,TIM2e+G4,23414.564,55,46939.127,46942.257,47247.833
60,TIM2e+I+G4,23404.706,56,46921.412,46924.657,47235.730
61,TIM2+F,24407.827,57,48929.653,48933.017,49249.585
62,TIM2+F+I,23707.923,58,47531.846,47535.328,47857.390
63,TIM2+F+G4,23258.323,58,46632.646,46636.129,46958.190
64,TIM2+F+I+G4,23245.229,59,46608.458,46612.063,46939.615
65,TIM3e,24351.306,54,48810.613,48813.629,49113.706
66,TIM3e+I,23788.420,55,47686.841,47689.971,47995.546
67,TIM3e+G4,23395.310,55,46900.620,46903.750,47209.326
68,TIM3e+I+G4,23387.985,56,46887.970,46891.215,47202.288
69,TIM3+F,24410.861,57,48935.722,48939.086,49255.654
70,TIM3+F+I,23725.703,58,47567.406,47570.889,47892.951
71,TIM3+F+G4,23297.244,58,46710.489,46713.972,47036.033
72,TIM3+F+I+G4,23284.102,59,46686.204,46689.809,47017.361
73,TVMe,24344.347,55,48798.693,48801.823,49107.399
74,TVMe+I,23783.072,56,47678.144,47681.390,47992.463
75,TVMe+G4,23391.572,56,46895.143,46898.389,47209.462
76,TVMe+I+G4,23384.155,57,46882.311,46885.674,47202.242
77,TVM+F,24403.693,58,48923.385,48926.868,49248.929
78,TVM+F+I,23708.447,59,47534.894,47538.499,47866.051
79,TVM+F+G4,23262.097,59,46642.193,46645.798,46973.350
80,TVM+F+I+G4,23248.221,60,46616.442,46620.171,46953.212
81,SYM,24343.876,56,48799.751,48802.997,49114.070
82,SYM+I,23783.079,57,47680.158,47683.521,48000.089
83,SYM+G4,23391.558,57,46897.115,46900.479,47217.047
84,SYM+I+G4,23384.138,58,46884.276,46887.759,47209.820
85,GTR+F,24395.246,59,48908.492,48912.097,49239.649
86,GTR+F+I,23707.522,60,47535.044,47538.773,47871.814
87,GTR+F+G4,23258.183,60,46636.366,46640.095,46973.136
88,GTR+F+I+G4,23244.895,61,46611.791,46615.646,46954.173
