No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,15936.528,11,31895.055,31895.154,31959.921
2,JC+I,15774.351,12,31572.701,31572.818,31643.464
3,JC+G4,15781.010,12,31586.020,31586.137,31656.784
4,JC+I+G4,15769.215,13,31564.430,31564.567,31641.090
5,F81+F,15906.710,14,31841.420,31841.577,31923.977
6,F81+F+I,15740.034,15,31510.067,31510.247,31598.521
7,F81+F+G4,15748.427,15,31526.854,31527.033,31615.308
8,F81+F+I+G4,15735.476,16,31502.953,31503.157,31597.304
9,K2P,15724.725,12,31473.450,31473.567,31544.213
10,K2P+I,15546.000,13,31118.000,31118.136,31194.660
11,K2P+G4,15546.832,13,31119.664,31119.800,31196.324
12,K2P+I+G4,15536.590,14,31101.180,31101.338,31183.737
13,HKY+F,15696.305,15,31422.611,31422.790,31511.065
14,HKY+F+I,15510.325,16,31052.650,31052.853,31147.001
15,HKY+F+G4,15513.664,16,31059.327,31059.531,31153.678
16,HKY+F+I+G4,15501.817,17,31037.635,31037.864,31137.883
17,TNe,15724.725,13,31475.450,31475.586,31552.110
18,TNe+I,15545.975,14,31119.951,31120.108,31202.508
19,TNe+G4,15546.828,14,31121.657,31121.814,31204.214
20,TNe+I+G4,15536.579,15,31103.159,31103.338,31191.613
21,TN+F,15692.494,16,31416.989,31417.192,31511.340
22,TN+F+I,15505.111,17,31044.223,31044.452,31144.470
23,TN+F+G4,15509.286,17,31052.572,31052.801,31152.820
24,TN+F+I+G4,15496.797,18,31029.594,31029.850,31135.739
25,K3P,15724.722,13,31475.443,31475.579,31552.103
26,K3P+I,15545.976,14,31119.952,31120.109,31202.509
27,K3P+G4,15546.814,14,31121.629,31121.786,31204.186
28,K3P+I+G4,15536.567,15,31103.133,31103.313,31191.587
29,K3Pu+F,15696.307,16,31424.614,31424.818,31518.965
30,K3Pu+F+I,15510.258,17,31054.516,31054.745,31154.763
31,K3Pu+F+G4,15513.610,17,31061.221,31061.450,31161.469
32,K3Pu+F+I+G4,15501.744,18,31039.489,31039.745,31145.633
33,TPM2+F,15696.305,16,31424.611,31424.814,31518.962
34,TPM2+F+I,15510.278,17,31054.556,31054.786,31154.804
35,TPM2+F+G4,15513.660,17,31061.321,31061.550,31161.568
36,TPM2+F+I+G4,15501.788,18,31039.577,31039.833,31145.721
37,TPM2u+F,15696.305,16,31424.611,31424.814,31518.961
38,TPM2u+F+I,15510.278,17,31054.556,31054.785,31154.804
39,TPM2u+F+G4,15513.660,17,31061.320,31061.549,31161.568
40,TPM2u+F+I+G4,15501.786,18,31039.572,31039.828,31145.717
41,TPM3+F,15694.751,16,31421.503,31421.706,31515.854
42,TPM3+F+I,15510.267,17,31054.534,31054.763,31154.782
43,TPM3+F+G4,15512.344,17,31058.688,31058.917,31158.935
44,TPM3+F+I+G4,15501.412,18,31038.825,31039.081,31144.969
45,TPM3u+F,15694.751,16,31421.503,31421.707,31515.854
46,TPM3u+F+I,15510.267,17,31054.534,31054.763,31154.782
47,TPM3u+F+G4,15512.344,17,31058.687,31058.916,31158.935
48,TPM3u+F+I+G4,15501.413,18,31038.825,31039.082,31144.970
49,TIMe,15724.722,14,31477.444,31477.601,31560.001
50,TIMe+I,15545.954,15,31121.907,31122.087,31210.361
51,TIMe+G4,15546.814,15,31123.628,31123.808,31212.082
52,TIMe+I+G4,15536.564,16,31105.127,31105.331,31199.478
53,TIM+F,15692.496,17,31418.993,31419.222,31519.240
54,TIM+F+I,15505.039,18,31046.079,31046.335,31152.223
55,TIM+F+G4,15509.230,18,31054.461,31054.717,31160.605
56,TIM+F+I+G4,15496.715,19,31031.431,31031.716,31143.472
57,TIM2e,15724.635,14,31477.270,31477.427,31559.826
58,TIM2e+I,15545.957,15,31121.915,31122.094,31210.369
59,TIM2e+G4,15546.671,15,31123.342,31123.522,31211.796
60,TIM2e+I+G4,15536.523,16,31105.047,31105.250,31199.398
61,TIM2+F,15692.495,17,31418.991,31419.220,31519.238
62,TIM2+F+I,15505.072,18,31046.144,31046.400,31152.289
63,TIM2+F+G4,15509.287,18,31054.574,31054.830,31160.718
64,TIM2+F+I+G4,15496.774,19,31031.548,31031.833,31143.590
65,TIM3e,15715.772,14,31459.544,31459.701,31542.101
66,TIM3e+I,15541.185,15,31112.371,31112.550,31200.824
67,TIM3e+G4,15536.323,15,31102.646,31102.826,31191.100
68,TIM3e+I+G4,15529.182,16,31090.365,31090.568,31184.715
69,TIM3+F,15690.889,17,31415.778,31416.007,31516.026
70,TIM3+F+I,15505.070,18,31046.140,31046.397,31152.285
71,TIM3+F+G4,15507.930,18,31051.860,31052.116,31158.005
72,TIM3+F+I+G4,15496.442,19,31030.884,31031.168,31142.925
73,TVMe,15715.682,15,31461.364,31461.544,31549.818
74,TVMe+I,15541.137,16,31114.274,31114.477,31208.624
75,TVMe+G4,15536.106,16,31104.212,31104.415,31198.562
76,TVMe+I+G4,15528.999,17,31091.998,31092.227,31192.246
77,TVM+F,15694.750,18,31425.500,31425.756,31531.645
78,TVM+F+I,15510.169,19,31058.338,31058.623,31170.380
79,TVM+F+G4,15512.274,19,31062.548,31062.833,31174.589
80,TVM+F+I+G4,15501.344,20,31042.688,31043.003,31160.627
81,SYM,15715.680,16,31463.361,31463.565,31557.712
82,SYM+I,15541.123,17,31116.246,31116.475,31216.493
83,SYM+G4,15536.098,17,31106.197,31106.426,31206.445
84,SYM+I+G4,15528.946,18,31093.892,31094.148,31200.036
85,GTR+F,15690.886,19,31419.773,31420.058,31531.815
86,GTR+F+I,15504.971,20,31049.941,31050.256,31167.880
87,GTR+F+G4,15507.860,20,31055.720,31056.035,31173.658
88,GTR+F+I+G4,15496.388,21,31034.777,31035.123,31158.612
