No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,2955.214,81,6072.427,6293.827,6311.849
2,Dayhoff+I,2929.793,82,6023.586,6254.298,6265.964
3,Dayhoff+G4,2861.904,82,5887.809,6118.520,6130.186
4,Dayhoff+I+G4,2862.217,83,5890.433,6130.847,6135.767
5,Dayhoff+F,2941.074,100,6082.147,6574.830,6377.730
6,Dayhoff+F+I,2915.453,101,6032.906,6548.006,6331.444
7,Dayhoff+F+G4,2849.744,101,5901.488,6416.588,6200.026
8,Dayhoff+F+I+G4,2849.998,102,5903.995,6442.765,6205.490
9,mtMAM,3270.496,81,6702.991,6924.391,6942.413
10,mtMAM+I,3254.831,82,6673.662,6904.374,6916.040
11,mtMAM+G4,3043.903,82,6251.806,6482.518,6494.184
12,mtMAM+I+G4,3044.140,83,6254.280,6494.694,6499.614
13,mtMAM+F,3043.331,100,6286.662,6779.345,6582.245
14,mtMAM+F+I,3026.700,101,6255.400,6770.500,6553.939
15,mtMAM+F+G4,2890.034,101,5982.068,6497.168,6280.606
16,mtMAM+F+I+G4,2890.169,102,5984.337,6523.107,6285.832
17,JTT,2922.464,81,6006.927,6228.327,6246.349
18,JTT+I,2898.401,82,5960.801,6191.513,6203.179
19,JTT+G4,2825.264,82,5814.527,6045.239,6056.905
20,JTT+I+G4,2825.313,83,5816.625,6057.039,6061.959
21,JTT+F,2910.275,100,6020.550,6513.233,6316.133
22,JTT+F+I,2887.249,101,5976.499,6491.599,6275.037
23,JTT+F+G4,2817.849,101,5837.698,6352.798,6136.236
24,JTT+F+I+G4,2817.894,102,5839.788,6378.557,6141.282
25,WAG,2953.139,81,6068.278,6289.678,6307.700
26,WAG+I,2929.905,82,6023.811,6254.522,6266.188
27,WAG+G4,2858.255,82,5880.510,6111.222,6122.888
28,WAG+I+G4,2858.305,83,5882.611,6123.025,6127.945
29,WAG+F,2939.314,100,6078.628,6571.311,6374.211
30,WAG+F+I,2916.225,101,6034.451,6549.551,6332.989
31,WAG+F+G4,2849.571,101,5901.142,6416.242,6199.681
32,WAG+F+I+G4,2849.610,102,5903.220,6441.989,6204.714
33,cpREV,2983.305,81,6128.610,6350.010,6368.032
34,cpREV+I,2955.502,82,6075.003,6305.715,6317.381
35,cpREV+G4,2875.278,82,5914.557,6145.269,6156.935
36,cpREV+I+G4,2875.308,83,5916.617,6157.031,6161.951
37,cpREV+F,2953.021,100,6106.042,6598.725,6401.625
38,cpREV+F+I,2925.504,101,6053.009,6568.109,6351.547
39,cpREV+F+G4,2854.632,101,5911.264,6426.364,6209.803
40,cpREV+F+I+G4,2854.646,102,5913.292,6452.061,6214.786
41,mtREV,3149.118,81,6460.236,6681.636,6699.658
42,mtREV+I,3131.345,82,6426.691,6657.402,6669.068
43,mtREV+G4,3009.376,82,6182.751,6413.463,6425.129
44,mtREV+I+G4,3009.441,83,6184.881,6425.295,6430.215
45,mtREV+F,2965.487,100,6130.974,6623.657,6426.557
46,mtREV+F+I,2946.712,101,6095.424,6610.524,6393.962
47,mtREV+F+G4,2861.220,101,5924.440,6439.540,6222.978
48,mtREV+F+I+G4,2861.234,102,5926.469,6465.238,6227.963
49,rtREV,3016.899,81,6195.798,6417.198,6435.220
50,rtREV+I,2992.577,82,6149.154,6379.866,6391.532
51,rtREV+G4,2906.161,82,5976.322,6207.034,6218.700
52,rtREV+I+G4,2906.184,83,5978.368,6218.782,6223.702
53,rtREV+F,2980.127,100,6160.255,6652.938,6455.838
54,rtREV+F+I,2954.760,101,6111.521,6626.621,6410.059
55,rtREV+F+G4,2880.693,101,5963.386,6478.486,6261.925
56,rtREV+F+I+G4,2880.704,102,5965.407,6504.177,6266.902
57,mtART,3274.937,81,6711.874,6933.274,6951.296
58,mtART+I,3245.944,82,6655.888,6886.600,6898.265
59,mtART+G4,3053.607,82,6271.213,6501.925,6513.591
60,mtART+I+G4,3053.626,83,6273.251,6513.665,6518.585
61,mtART+F,3083.248,100,6366.497,6859.180,6662.080
62,mtART+F+I,3058.997,101,6319.994,6835.094,6618.533
63,mtART+F+G4,2926.873,101,6055.746,6570.846,6354.285
64,mtART+F+I+G4,2926.876,102,6057.751,6596.521,6359.246
65,mtZOA,3128.424,81,6418.848,6640.248,6658.270
66,mtZOA+I,3106.085,82,6376.170,6606.882,6618.548
67,mtZOA+G4,2956.096,82,6076.192,6306.904,6318.570
68,mtZOA+I+G4,2956.107,83,6078.214,6318.628,6323.548
69,mtZOA+F,2992.732,100,6185.463,6678.146,6481.046
70,mtZOA+F+I,2970.158,101,6142.317,6657.417,6440.855
71,mtZOA+F+G4,2872.501,101,5947.001,6462.101,6245.540
72,mtZOA+F+I+G4,2872.495,102,5948.990,6487.759,6250.484
73,VT,2964.924,81,6091.848,6313.248,6331.270
74,VT+I,2940.147,82,6044.293,6275.005,6286.671
75,VT+G4,2870.539,82,5905.079,6135.791,6147.456
76,VT+I+G4,2870.546,83,5907.093,6147.507,6152.427
77,VT+F,2947.372,100,6094.743,6587.426,6390.326
78,VT+F+I,2923.233,101,6048.466,6563.566,6347.005
79,VT+F+G4,2858.770,101,5919.541,6434.641,6218.079
80,VT+F+I+G4,2858.774,102,5921.548,6460.318,6223.043
81,LG,2965.794,81,6093.588,6314.988,6333.010
82,LG+I,2941.625,82,6047.251,6277.962,6289.628
83,LG+G4,2860.301,82,5884.601,6115.313,6126.979
84,LG+I+G4,2860.307,83,5886.614,6127.028,6131.948
85,LG+F,2945.255,100,6090.509,6583.192,6386.092
86,LG+F+I,2922.080,101,6046.159,6561.259,6344.698
87,LG+F+G4,2850.884,101,5903.767,6418.867,6202.306
88,LG+F+I+G4,2850.888,102,5905.776,6444.545,6207.270
89,DCMut,2955.524,81,6073.047,6294.447,6312.469
90,DCMut+I,2930.092,82,6024.183,6254.895,6266.561
91,DCMut+G4,2862.445,82,5888.891,6119.603,6131.269
92,DCMut+I+G4,2862.446,83,5890.892,6131.305,6136.225
93,DCMut+F,2941.317,100,6082.634,6575.317,6378.217
94,DCMut+F+I,2915.683,101,6033.367,6548.467,6331.905
95,DCMut+F+G4,2850.219,101,5902.438,6417.538,6200.976
96,DCMut+F+I+G4,2850.215,102,5904.430,6443.199,6205.925
97,PMB,3002.753,81,6167.505,6388.905,6406.927
98,PMB+I,2980.135,82,6124.271,6354.983,6366.649
99,PMB+G4,2906.378,82,5976.756,6207.467,6219.133
100,PMB+I+G4,2906.383,83,5978.765,6219.179,6224.099
101,PMB+F,2979.910,100,6159.819,6652.502,6455.402
102,PMB+F+I,2957.265,101,6116.529,6631.629,6415.068
103,PMB+F+G4,2890.616,101,5983.232,6498.332,6281.771
104,PMB+F+I+G4,2890.619,102,5985.239,6524.008,6286.733
105,HIVb,3014.794,81,6191.587,6412.987,6431.009
106,HIVb+I,2983.775,82,6131.551,6362.263,6373.929
107,HIVb+G4,2885.587,82,5935.173,6165.885,6177.551
108,HIVb+I+G4,2885.589,83,5937.177,6177.591,6182.511
109,HIVb+F,2974.013,100,6148.025,6640.708,6443.608
110,HIVb+F+I,2947.637,101,6097.273,6612.373,6395.812
111,HIVb+F+G4,2852.834,101,5907.668,6422.768,6206.207
112,HIVb+F+I+G4,2852.837,102,5909.674,6448.443,6211.169
113,HIVw,3090.758,81,6343.516,6564.916,6582.938
114,HIVw+I,3053.749,82,6271.498,6502.210,6513.876
115,HIVw+G4,2967.814,82,6099.627,6330.339,6342.005
116,HIVw+I+G4,2967.810,83,6101.620,6342.034,6346.954
117,HIVw+F,3013.641,100,6227.282,6719.965,6522.865
118,HIVw+F+I,2984.854,101,6171.707,6686.807,6470.246
119,HIVw+F+G4,2891.182,101,5984.365,6499.465,6282.903
120,HIVw+F+I+G4,2891.183,102,5986.367,6525.136,6287.861
121,JTTDCMut,2923.310,81,6008.621,6230.021,6248.043
122,JTTDCMut+I,2899.000,82,5961.999,6192.711,6204.377
123,JTTDCMut+G4,2826.550,82,5817.100,6047.812,6059.478
124,JTTDCMut+I+G4,2826.552,83,5819.105,6059.518,6064.438
125,JTTDCMut+F,2910.672,100,6021.344,6514.027,6316.926
126,JTTDCMut+F+I,2887.591,101,5977.181,6492.281,6275.720
127,JTTDCMut+F+G4,2818.525,101,5839.049,6354.149,6137.588
128,JTTDCMut+F+I+G4,2818.527,102,5841.053,6379.822,6142.548
129,FLU,3004.499,81,6170.998,6392.398,6410.420
130,FLU+I,2977.782,82,6119.564,6350.276,6361.942
131,FLU+G4,2887.711,82,5939.422,6170.134,6181.800
132,FLU+I+G4,2887.712,83,5941.423,6181.837,6186.757
133,FLU+F,2957.686,100,6115.373,6608.056,6410.956
134,FLU+F+I,2934.404,101,6070.809,6585.909,6369.347
135,FLU+F+G4,2846.445,101,5894.890,6409.990,6193.428
136,FLU+F+I+G4,2846.445,102,5896.890,6435.659,6198.384
137,Blosum62,3008.714,81,6179.428,6400.828,6418.850
138,Blosum62+I,2987.531,82,6139.062,6369.774,6381.440
139,Blosum62+G4,2914.000,82,5991.999,6222.711,6234.377
140,Blosum62+I+G4,2914.002,83,5994.004,6234.417,6239.337
141,Blosum62+F,2981.314,100,6162.628,6655.311,6458.210
142,Blosum62+F+I,2959.924,101,6121.847,6636.947,6420.386
143,Blosum62+F+G4,2893.788,101,5989.576,6504.676,6288.115
144,Blosum62+F+I+G4,2893.788,102,5991.576,6530.346,6293.071
145,mtMet,3136.931,81,6435.862,6657.262,6675.284
146,mtMet+I,3115.864,82,6395.728,6626.440,6638.106
147,mtMet+G4,2983.410,82,6130.821,6361.533,6373.199
148,mtMet+I+G4,2983.414,83,6132.828,6373.241,6378.161
149,mtMet+F,2953.628,100,6107.257,6599.940,6402.839
150,mtMet+F+I,2933.131,101,6068.262,6583.362,6366.801
151,mtMet+F+G4,2839.956,101,5881.912,6397.012,6180.451
152,mtMet+F+I+G4,2839.947,102,5883.893,6422.663,6185.388
153,mtVer,3173.120,81,6508.239,6729.639,6747.661
154,mtVer+I,3154.426,82,6472.852,6703.563,6715.229
155,mtVer+G4,2991.622,82,6147.245,6377.956,6389.622
156,mtVer+I+G4,2991.627,83,6149.254,6389.668,6394.588
157,mtVer+F,2986.433,100,6172.865,6665.548,6468.448
158,mtVer+F+I,2962.450,101,6126.900,6642.000,6425.439
159,mtVer+F+G4,2857.244,101,5916.489,6431.589,6215.027
160,mtVer+F+I+G4,2857.219,102,5918.438,6457.207,6219.932
161,mtInv,3158.309,81,6478.617,6700.017,6718.039
162,mtInv+I,3133.861,82,6431.722,6662.434,6674.100
163,mtInv+G4,3018.956,82,6201.911,6432.623,6444.289
164,mtInv+I+G4,3018.936,83,6203.872,6444.286,6449.206
165,mtInv+F,2951.518,100,6103.036,6595.719,6398.619
166,mtInv+F+I,2928.806,101,6059.611,6574.711,6358.150
167,mtInv+F+G4,2846.334,101,5894.668,6409.768,6193.206
168,mtInv+F+I+G4,2846.333,102,5896.666,6435.435,6198.160
