No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,3273.146,69,6684.292,6779.935,6901.067
2,Dayhoff+I,3207.906,70,6555.813,6655.213,6775.729
3,Dayhoff+G4,3090.314,70,6320.629,6420.029,6540.545
4,Dayhoff+I+G4,3089.299,71,6320.599,6423.872,6543.657
5,Dayhoff+F,3231.290,88,6638.581,6829.605,6915.047
6,Dayhoff+F+I,3159.224,89,6496.447,6694.225,6776.055
7,Dayhoff+F+G4,3043.165,89,6264.329,6462.107,6543.937
8,Dayhoff+F+I+G4,3040.661,90,6261.322,6466.072,6544.072
9,mtMAM,3639.885,69,7417.769,7513.413,7634.544
10,mtMAM+I,3569.963,70,7279.926,7379.326,7499.843
11,mtMAM+G4,3284.329,70,6708.658,6808.058,6928.574
12,mtMAM+I+G4,3280.673,71,6703.346,6806.619,6926.404
13,mtMAM+F,3377.837,88,6931.673,7122.697,7208.139
14,mtMAM+F+I,3299.135,89,6776.270,6974.047,7055.878
15,mtMAM+F+G4,3072.529,89,6323.058,6520.836,6602.666
16,mtMAM+F+I+G4,3070.000,90,6319.999,6524.749,6602.749
17,JTT,3164.734,69,6467.469,6563.112,6684.244
18,JTT+I,3106.056,70,6352.111,6451.511,6572.028
19,JTT+G4,3015.938,70,6171.877,6271.277,6391.793
20,JTT+I+G4,3015.264,71,6172.529,6275.801,6395.587
21,JTT+F,3131.070,88,6438.141,6629.165,6714.607
22,JTT+F+I,3064.846,89,6307.692,6505.470,6587.300
23,JTT+F+G4,2979.993,89,6137.987,6335.764,6417.595
24,JTT+F+I+G4,2978.574,90,6137.148,6341.898,6419.897
25,WAG,3222.392,69,6582.783,6678.427,6799.558
26,WAG+I,3157.554,70,6455.109,6554.509,6675.025
27,WAG+G4,3055.877,70,6251.753,6351.153,6471.670
28,WAG+I+G4,3055.165,71,6252.331,6355.604,6475.389
29,WAG+F,3177.757,88,6531.515,6722.539,6807.981
30,WAG+F+I,3105.988,89,6389.977,6587.754,6669.585
31,WAG+F+G4,3007.805,89,6193.609,6391.387,6473.217
32,WAG+F+I+G4,3006.365,90,6192.729,6397.479,6475.479
33,cpREV,3274.879,69,6687.758,6783.402,6904.533
34,cpREV+I,3199.212,70,6538.425,6637.825,6758.341
35,cpREV+G4,3075.154,70,6290.307,6389.707,6510.224
36,cpREV+I+G4,3075.000,71,6292.000,6395.273,6515.058
37,cpREV+F,3235.691,88,6647.382,6838.407,6923.849
38,cpREV+F+I,3151.968,89,6481.936,6679.714,6761.544
39,cpREV+F+G4,3033.097,89,6244.194,6441.972,6523.802
40,cpREV+F+I+G4,3031.271,90,6242.542,6447.292,6525.291
41,mtREV,3511.908,69,7161.816,7257.459,7378.590
42,mtREV+I,3443.109,70,7026.219,7125.619,7246.135
43,mtREV+G4,3240.577,70,6621.154,6720.554,6841.070
44,mtREV+I+G4,3239.108,71,6620.216,6723.489,6843.274
45,mtREV+F,3288.573,88,6753.145,6944.170,7029.612
46,mtREV+F+I,3207.991,89,6593.982,6791.759,6873.590
47,mtREV+F+G4,3047.525,89,6273.050,6470.828,6552.658
48,mtREV+F+I+G4,3045.634,90,6271.268,6476.018,6554.018
49,rtREV,3306.761,69,6751.522,6847.165,6968.297
50,rtREV+I,3246.216,70,6632.432,6731.832,6852.348
51,rtREV+G4,3125.668,70,6391.337,6490.737,6611.253
52,rtREV+I+G4,3124.126,71,6390.252,6493.525,6613.311
53,rtREV+F,3228.743,88,6633.485,6824.510,6909.952
54,rtREV+F+I,3160.293,89,6498.586,6696.364,6778.194
55,rtREV+F+G4,3044.064,89,6266.128,6463.906,6545.736
56,rtREV+F+I+G4,3040.918,90,6261.835,6466.585,6544.585
57,mtART,3780.873,69,7699.745,7795.389,7916.520
58,mtART+I,3710.725,70,7561.450,7660.850,7781.366
59,mtART+G4,3373.154,70,6886.308,6985.708,7106.224
60,mtART+I+G4,3371.264,71,6884.529,6987.801,7107.587
61,mtART+F,3547.935,88,7271.869,7462.893,7548.335
62,mtART+F+I,3470.290,89,7118.580,7316.357,7398.188
63,mtART+F+G4,3185.586,89,6549.173,6746.951,6828.781
64,mtART+F+I+G4,3183.574,90,6547.147,6751.897,6829.897
65,mtZOA,3518.805,69,7175.611,7271.254,7392.385
66,mtZOA+I,3464.696,70,7069.392,7168.792,7289.309
67,mtZOA+G4,3234.936,70,6609.872,6709.272,6829.789
68,mtZOA+I+G4,3232.825,71,6607.649,6710.922,6830.708
69,mtZOA+F,3358.033,88,6892.067,7083.091,7168.533
70,mtZOA+F+I,3291.526,89,6761.052,6958.830,7040.661
71,mtZOA+F+G4,3108.275,89,6394.550,6592.328,6674.158
72,mtZOA+F+I+G4,3106.353,90,6392.707,6597.457,6675.456
73,VT,3200.236,69,6538.472,6634.115,6755.246
74,VT+I,3139.416,70,6418.831,6518.231,6638.748
75,VT+G4,3051.546,70,6243.091,6342.491,6463.008
76,VT+I+G4,3050.817,71,6243.634,6346.907,6466.692
77,VT+F,3152.578,88,6481.155,6672.179,6757.621
78,VT+F+I,3086.628,89,6351.257,6549.035,6630.865
79,VT+F+G4,3001.796,89,6181.592,6379.370,6461.200
80,VT+F+I+G4,3000.372,90,6180.745,6385.495,6463.495
81,LG,3276.802,69,6691.603,6787.247,6908.378
82,LG+I,3214.317,70,6568.634,6668.034,6788.551
83,LG+G4,3096.265,70,6332.530,6431.930,6552.446
84,LG+I+G4,3095.737,71,6333.475,6436.747,6556.533
85,LG+F,3210.877,88,6597.754,6788.778,6874.220
86,LG+F+I,3143.990,89,6465.980,6663.758,6745.588
87,LG+F+G4,3030.978,89,6239.956,6437.733,6519.564
88,LG+F+I+G4,3029.006,90,6238.012,6442.762,6520.762
89,DCMut,3272.856,69,6683.713,6779.356,6900.487
90,DCMut+I,3207.585,70,6555.171,6654.571,6775.087
91,DCMut+G4,3090.277,70,6320.553,6419.953,6540.470
92,DCMut+I+G4,3089.227,71,6320.454,6423.727,6543.512
93,DCMut+F,3230.969,88,6637.938,6828.962,6914.404
94,DCMut+F+I,3158.901,89,6495.802,6693.579,6775.410
95,DCMut+F+G4,3043.153,89,6264.305,6462.083,6543.913
96,DCMut+F+I+G4,3040.663,90,6261.326,6466.076,6544.075
97,PMB,3227.039,69,6592.079,6687.722,6808.853
98,PMB+I,3164.089,70,6468.178,6567.578,6688.095
99,PMB+G4,3064.995,70,6269.990,6369.390,6489.906
