No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,8835.541,59,17789.081,17803.327,18044.112
2,Dayhoff+I,8643.572,60,17407.145,17421.903,17666.499
3,Dayhoff+G4,8489.861,60,17099.721,17114.479,17359.075
4,Dayhoff+I+G4,8485.818,61,17093.635,17108.916,17357.312
5,Dayhoff+F,8779.915,78,17715.830,17741.613,18052.990
6,Dayhoff+F+I,8592.964,79,17343.928,17370.427,17685.411
7,Dayhoff+F+G4,8428.536,79,17015.072,17041.571,17356.555
8,Dayhoff+F+I+G4,8425.159,80,17010.318,17037.545,17356.123
9,mtMAM,9861.551,59,19841.101,19855.347,20096.133
10,mtMAM+I,9500.077,60,19120.154,19134.912,19379.508
11,mtMAM+G4,9109.556,60,18339.112,18353.870,18598.466
12,mtMAM+I+G4,9105.337,61,18332.675,18347.955,18596.351
13,mtMAM+F,9160.928,78,18477.856,18503.638,18815.016
14,mtMAM+F+I,8887.630,79,17933.260,17959.759,18274.743
15,mtMAM+F+G4,8591.032,79,17340.065,17366.564,17681.548
16,mtMAM+F+I+G4,8588.150,80,17336.301,17363.528,17682.106
17,JTT,8650.878,59,17419.756,17434.001,17674.787
18,JTT+I,8462.300,60,17044.601,17059.359,17303.955
19,JTT+G4,8335.478,60,16790.955,16805.713,17050.309
20,JTT+I+G4,8330.285,61,16782.569,16797.850,17046.246
21,JTT+F,8605.021,78,17366.042,17391.825,17703.203
22,JTT+F+I,8427.314,79,17012.629,17039.128,17354.111
23,JTT+F+G4,8294.813,79,16747.627,16774.126,17089.110
24,JTT+F+I+G4,8290.704,80,16741.408,16768.635,17087.214
25,WAG,8775.892,59,17669.785,17684.030,17924.816
26,WAG+I,8593.673,60,17307.346,17322.104,17566.700
27,WAG+G4,8463.256,60,17046.513,17061.271,17305.867
28,WAG+I+G4,8459.117,61,17040.233,17055.514,17303.910
29,WAG+F,8728.953,78,17613.906,17639.688,17951.066
30,WAG+F+I,8557.233,79,17272.467,17298.966,17613.949
31,WAG+F+G4,8412.006,79,16982.012,17008.511,17323.495
32,WAG+F+I+G4,8409.176,80,16978.352,17005.579,17324.157
33,cpREV,8908.125,59,17934.250,17948.495,18189.281
34,cpREV+I,8716.116,60,17552.232,17566.990,17811.586
35,cpREV+G4,8542.287,60,17204.574,17219.332,17463.928
36,cpREV+I+G4,8539.321,61,17200.643,17215.924,17464.319
37,cpREV+F,8859.283,78,17874.566,17900.348,18211.726
38,cpREV+F+I,8682.244,79,17522.489,17548.988,17863.971
39,cpREV+F+G4,8486.201,79,17130.401,17156.900,17471.884
40,cpREV+F+I+G4,8484.702,80,17129.404,17156.630,17475.209
41,mtREV,9481.444,59,19080.889,19095.134,19335.920
42,mtREV+I,9220.006,60,18560.011,18574.769,18819.365
43,mtREV+G4,8969.216,60,18058.432,18073.190,18317.786
44,mtREV+I+G4,8965.154,61,18052.308,18067.589,18315.985
45,mtREV+F,8917.514,78,17991.028,18016.810,18328.188
46,mtREV+F+I,8710.197,79,17578.395,17604.894,17919.877
47,mtREV+F+G4,8491.899,79,17141.799,17168.298,17483.281
48,mtREV+F+I+G4,8489.286,80,17138.573,17165.800,17484.378
49,rtREV,8938.963,59,17995.926,18010.171,18250.957
50,rtREV+I,8734.496,60,17588.991,17603.749,17848.345
51,rtREV+G4,8583.322,60,17286.644,17301.402,17545.997
52,rtREV+I+G4,8578.688,61,17279.377,17294.658,17543.053
53,rtREV+F,8847.540,78,17851.081,17876.863,18188.241
54,rtREV+F+I,8659.824,79,17477.648,17504.147,17819.131
55,rtREV+F+G4,8503.241,79,17164.483,17190.982,17505.966
56,rtREV+F+I+G4,8499.713,80,17159.426,17186.652,17505.231
57,mtART,10124.915,59,20367.831,20382.076,20622.862
58,mtART+I,9747.721,60,19615.442,19630.200,19874.796
59,mtART+G4,9333.358,60,18786.716,18801.474,19046.070
