No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,81076.758,107,162367.517,162372.350,163062.476
2,JC+I,79165.583,108,158547.167,158552.091,159248.621
3,JC+G4,77244.473,108,154704.946,154709.871,155406.401
4,JC+I+G4,77213.357,109,154644.715,154649.732,155352.664
5,F81+F,81034.144,110,162288.287,162293.397,163002.731
6,F81+F+I,79088.573,111,158399.146,158404.350,159120.085
7,F81+F+G4,77197.934,111,154617.869,154623.073,155338.808
8,F81+F+I+G4,77162.958,112,154549.917,154555.216,155277.351
9,K2P,79341.107,108,158898.215,158903.139,159599.669
10,K2P+I,77365.469,109,154948.939,154953.956,155656.888
11,K2P+G4,75257.591,109,150733.181,150738.198,151441.131
12,K2P+I+G4,75229.779,110,150679.558,150684.668,151394.002
13,HKY+F,79187.074,111,158596.147,158601.351,159317.087
14,HKY+F+I,77157.012,112,154538.025,154543.323,155265.459
15,HKY+F+G4,75109.804,112,150443.609,150448.907,151171.043
16,HKY+F+I+G4,75074.828,113,150375.655,150381.050,151109.584
17,TNe,79338.344,109,158894.687,158899.704,159602.637
18,TNe+I,77365.437,110,154950.875,154955.985,155665.319
19,TNe+G4,75251.920,110,150723.840,150728.950,151438.284
20,TNe+I+G4,75223.879,111,150669.758,150674.962,151390.697
21,TN+F,79178.341,112,158580.681,158585.980,159308.115
22,TN+F+I,77154.910,113,154535.820,154541.215,155269.750
23,TN+F+G4,75106.549,113,150439.098,150444.493,151173.027
24,TN+F+I+G4,75071.742,114,150371.485,150376.976,151111.909
25,K3P,79340.937,109,158899.874,158904.891,159607.824
26,K3P+I,77365.340,110,154950.681,154955.791,155665.125
27,K3P+G4,75257.568,110,150735.136,150740.246,151449.581
28,K3P+I+G4,75229.717,111,150681.434,150686.638,151402.373
29,K3Pu+F,79186.805,112,158597.610,158602.909,159325.044
30,K3Pu+F+I,77156.900,113,154539.800,154545.195,155273.729
31,K3Pu+F+G4,75109.794,113,150445.588,150450.982,151179.517
32,K3Pu+F+I+G4,75074.841,114,150377.681,150383.172,151118.105
33,TPM2+F,79178.047,112,158580.095,158585.394,159307.529
34,TPM2+F+I,77142.845,113,154511.690,154517.085,155245.619
35,TPM2+F+G4,75097.030,113,150420.060,150425.454,151153.989
36,TPM2+F+I+G4,75061.667,114,150351.334,150356.825,151091.758
37,TPM2u+F,79178.044,112,158580.088,158585.386,159307.522
38,TPM2u+F+I,77142.845,113,154511.690,154517.085,155245.619
39,TPM2u+F+G4,75097.030,113,150420.060,150425.454,151153.989
40,TPM2u+F+I+G4,75061.650,114,150351.300,150356.791,151091.724
41,TPM3+F,79164.077,112,158552.154,158557.453,159279.588
42,TPM3+F+I,77120.410,113,154466.821,154472.215,155200.750
43,TPM3+F+G4,75102.164,113,150430.329,150435.723,151164.258
44,TPM3+F+I+G4,75065.185,114,150358.370,150363.861,151098.794
45,TPM3u+F,79164.079,112,158552.157,158557.456,159279.591
46,TPM3u+F+I,77120.410,113,154466.819,154472.214,155200.748
47,TPM3u+F+G4,75102.164,113,150430.329,150435.723,151164.258
48,TPM3u+F+I+G4,75065.173,114,150358.345,150363.837,151098.769
49,TIMe,79338.184,110,158896.369,158901.479,159610.813
50,TIMe+I,77365.309,111,154952.617,154957.821,155673.556
51,TIMe+G4,75251.905,111,150725.810,150731.014,151446.749
52,TIMe+I+G4,75223.904,112,150671.808,150677.107,151399.243
53,TIM+F,79178.077,113,158582.155,158587.549,159316.084
54,TIM+F+I,77154.801,114,154537.602,154543.093,155278.026
55,TIM+F+G4,75106.538,114,150441.077,150446.568,151181.501
