No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,30271.984,103,60749.967,60763.424,61309.878
2,JC+I,29907.267,104,60022.534,60036.261,60587.881
3,JC+G4,29287.019,104,58782.038,58795.765,59347.385
4,JC+I+G4,29274.537,105,58759.074,58773.074,59329.857
5,F81+F,30214.302,106,60640.604,60654.880,61216.823
6,F81+F+I,29836.504,107,59887.008,59901.562,60468.662
7,F81+F+G4,29223.152,107,58660.304,58674.858,59241.959
8,F81+F+I+G4,29208.649,108,58633.297,58648.133,59220.388
9,K2P,29674.084,104,59556.168,59569.895,60121.515
10,K2P+I,29294.563,105,58799.126,58813.126,59369.909
11,K2P+G4,28618.196,105,57446.392,57460.392,58017.175
12,K2P+I+G4,28605.801,106,57423.602,57437.878,57999.821
13,HKY+F,29665.529,107,59545.059,59559.613,60126.714
14,HKY+F+I,29287.805,108,58791.609,58806.445,59378.700
15,HKY+F+G4,28614.906,108,57445.812,57460.648,58032.903
16,HKY+F+I+G4,28602.444,109,57422.889,57438.008,58015.416
17,TNe,29672.287,105,59554.574,59568.574,60125.357
18,TNe+I,29294.352,106,58800.704,58814.979,59376.923
19,TNe+G4,28617.168,106,57446.336,57460.612,58022.555
20,TNe+I+G4,28605.319,107,57424.638,57439.192,58006.293
21,TN+F,29649.250,108,59514.500,59529.336,60101.591
22,TN+F+I,29254.178,109,58726.357,58741.476,59318.884
23,TN+F+G4,28590.080,109,57398.160,57413.279,57990.687
24,TN+F+I+G4,28574.366,110,57368.732,57384.139,57966.695
25,K3P,29673.757,105,59557.514,59571.514,60128.296
26,K3P+I,29294.285,106,58800.570,58814.846,59376.789
27,K3P+G4,28617.203,106,57446.406,57460.681,58022.625
28,K3P+I+G4,28604.832,107,57423.665,57438.219,58005.320
29,K3Pu+F,29665.069,108,59546.137,59560.973,60133.228
30,K3Pu+F+I,29287.100,109,58792.200,58807.320,59384.727
31,K3Pu+F+G4,28613.356,109,57444.713,57459.833,58037.240
32,K3Pu+F+I+G4,28600.863,110,57421.725,57437.132,58019.688
33,TPM2+F,29639.197,108,59494.393,59509.229,60081.484
34,TPM2+F+I,29264.990,109,58747.979,58763.099,59340.506
35,TPM2+F+G4,28593.547,109,57405.093,57420.213,57997.620
36,TPM2+F+I+G4,28580.671,110,57381.342,57396.749,57979.305
37,TPM2u+F,29639.196,108,59494.391,59509.227,60081.482
38,TPM2u+F+I,29264.987,109,58747.974,58763.094,59340.501
39,TPM2u+F+G4,28593.547,109,57405.094,57420.213,57997.621
40,TPM2u+F+I+G4,28580.671,110,57381.343,57396.750,57979.306
41,TPM3+F,29665.359,108,59546.719,59561.554,60133.810
42,TPM3+F+I,29284.192,109,58786.384,58801.504,59378.911
43,TPM3+F+G4,28612.913,109,57443.826,57458.945,58036.353
44,TPM3+F+I+G4,28599.583,110,57419.167,57434.574,58017.130
45,TPM3u+F,29665.356,108,59546.712,59561.548,60133.803
46,TPM3u+F+I,29284.192,109,58786.384,58801.504,59378.911
47,TPM3u+F+G4,28612.918,109,57443.836,57458.956,58036.363
48,TPM3u+F+I+G4,28599.580,110,57419.159,57434.566,58017.122
49,TIMe,29671.958,106,59555.916,59570.191,60132.135
50,TIMe+I,29294.077,107,58802.155,58816.709,59383.810
51,TIMe+G4,28616.175,107,57446.350,57460.904,58028.005
52,TIMe+I+G4,28604.347,108,57424.695,57439.530,58011.786
53,TIM+F,29648.793,109,59515.587,59530.706,60108.114
54,TIM+F+I,29253.484,110,58726.967,58742.374,59324.930
55,TIM+F+G4,28588.578,110,57397.156,57412.562,57995.119
56,TIM+F+I+G4,28572.818,111,57367.635,57383.332,57971.034
57,TIM2e,29658.482,106,59528.965,59543.241,60105.184
58,TIM2e+I,29282.718,107,58779.437,58793.991,59361.091
59,TIM2e+G4,28610.303,107,57434.607,57449.161,58016.262
60,TIM2e+I+G4,28598.093,108,57412.185,57427.021,57999.276
61,TIM2+F,29623.208,109,59464.416,59479.535,60056.943
62,TIM2+F+I,29231.458,110,58682.916,58698.323,59280.879
63,TIM2+F+G4,28568.644,110,57357.288,57372.695,57955.251
64,TIM2+F+I+G4,28552.449,111,57326.898,57342.595,57930.297
65,TIM3e,29671.365,106,59554.731,59569.006,60130.950
66,TIM3e+I,29293.223,107,58800.447,58815.001,59382.102
67,TIM3e+G4,28616.833,107,57447.667,57462.221,58029.322
68,TIM3e+I+G4,28604.622,108,57425.243,57440.079,58012.334
69,TIM3+F,29649.107,109,59516.214,59531.334,60108.741
70,TIM3+F+I,29250.030,110,58720.059,58735.466,59318.022
71,TIM3+F+G4,28588.008,110,57396.015,57411.422,57993.978
72,TIM3+F+I+G4,28571.269,111,57364.538,57380.235,57967.937
73,TVMe,29659.291,107,59532.582,59547.136,60114.237
74,TVMe+I,29281.568,108,58779.136,58793.971,59366.227
75,TVMe+G4,28610.096,108,57436.191,57451.027,58023.282
76,TVMe+I+G4,28597.047,109,57412.093,57427.213,58004.620
77,TVM+F,29638.716,110,59497.432,59512.839,60095.395
78,TVM+F+I,29260.955,111,58743.911,58759.608,59347.310
79,TVM+F+G4,28590.630,111,57403.259,57418.956,58006.658
80,TVM+F+I+G4,28576.892,112,57377.784,57393.774,57986.619
81,SYM,29657.342,108,59530.684,59545.520,60117.775
82,SYM+I,29281.352,109,58780.703,58795.823,59373.230
83,SYM+G4,28609.161,109,57436.322,57451.442,58028.849
84,SYM+I+G4,28596.649,110,57413.299,57428.705,58011.262
85,GTR+F,29622.764,111,59467.529,59483.226,60070.928
86,GTR+F+I,29226.898,112,58677.795,58693.785,59286.630
87,GTR+F+G4,28565.699,112,57355.397,57371.387,57964.233
88,GTR+F+I+G4,28548.501,113,57323.002,57339.288,57937.273
