No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,29075.879,119,58389.759,58411.711,59015.594
2,JC+I,28177.801,120,56595.602,56617.941,57226.696
3,JC+G4,27872.155,120,55984.311,56006.649,56615.405
4,JC+I+G4,27777.135,121,55796.270,55818.998,56432.623
5,F81+F,29054.157,122,58352.313,58375.435,58993.926
6,F81+F+I,28118.451,123,56482.902,56506.421,57129.774
7,F81+F+G4,27809.062,123,55864.125,55887.644,56510.996
8,F81+F+I+G4,27712.978,124,55673.956,55697.876,56326.087
9,K2P,28266.439,120,56772.878,56795.216,57403.972
10,K2P+I,27332.767,121,54907.534,54930.262,55543.887
11,K2P+G4,26951.351,121,54144.703,54167.431,54781.056
12,K2P+I+G4,26866.218,122,53976.437,53999.559,54618.049
13,HKY+F,28198.666,123,56643.333,56666.852,57290.204
14,HKY+F+I,27194.665,124,54637.329,54661.249,55289.460
15,HKY+F+G4,26788.648,124,53825.295,53849.215,54477.426
16,HKY+F+I+G4,26701.271,125,53652.542,53676.867,54309.932
17,TNe,28263.843,121,56769.685,56792.413,57406.038
18,TNe+I,27329.510,122,54903.020,54926.142,55544.632
19,TNe+G4,26950.855,122,54145.709,54168.831,54787.322
20,TNe+I+G4,26866.202,123,53978.405,54001.924,54625.276
21,TN+F,28164.795,124,56577.591,56601.511,57229.721
22,TN+F+I,27147.047,125,54544.095,54568.419,55201.484
23,TN+F+G4,26773.904,125,53797.807,53822.132,54455.197
24,TN+F+I+G4,26679.671,126,53611.342,53636.074,54273.990
25,K3P,28266.377,121,56774.753,56797.481,57411.106
26,K3P+I,27332.656,122,54909.311,54932.433,55550.923
27,K3P+G4,26950.169,122,54144.338,54167.460,54785.950
28,K3P+I+G4,26865.191,123,53976.381,53999.900,54623.252
29,K3Pu+F,28197.543,124,56643.087,56667.007,57295.217
30,K3Pu+F+I,27193.081,125,54636.161,54660.486,55293.551
31,K3Pu+F+G4,26784.315,125,53818.630,53842.955,54476.020
32,K3Pu+F+I+G4,26697.227,126,53646.454,53671.186,54309.102
33,TPM2+F,28198.662,124,56645.323,56669.243,57297.454
34,TPM2+F+I,27194.664,125,54639.328,54663.652,55296.718
35,TPM2+F+G4,26785.181,125,53820.363,53844.687,54477.752
36,TPM2+F+I+G4,26698.717,126,53649.434,53674.167,54312.083
37,TPM2u+F,28198.662,124,56645.323,56669.243,57297.454
38,TPM2u+F+I,27194.664,125,54639.328,54663.652,55296.718
39,TPM2u+F+G4,26785.181,125,53820.363,53844.687,54477.752
40,TPM2u+F+I+G4,26698.717,126,53649.434,53674.167,54312.083
41,TPM3+F,28187.037,124,56622.073,56645.993,57274.204
42,TPM3+F+I,27194.329,125,54638.658,54662.982,55296.048
43,TPM3+F+G4,26787.454,125,53824.909,53849.233,54482.298
44,TPM3+F+I+G4,26700.792,126,53653.584,53678.317,54316.233
45,TPM3u+F,28187.037,124,56622.073,56645.993,57274.204
46,TPM3u+F+I,27194.329,125,54638.658,54662.983,55296.048
47,TPM3u+F+G4,26787.454,125,53824.909,53849.233,54482.298
48,TPM3u+F+I+G4,26700.792,126,53653.584,53678.317,54316.233
49,TIMe,28263.780,122,56771.560,56794.682,57413.172
50,TIMe+I,27329.397,123,54904.794,54928.313,55551.665
51,TIMe+G4,26949.677,123,54145.354,54168.873,54792.225
52,TIMe+I+G4,26865.176,124,53978.352,54002.272,54630.483
53,TIM+F,28163.659,125,56577.318,56601.643,57234.708
54,TIM+F+I,27145.427,126,54542.855,54567.587,55205.503
55,TIM+F+G4,26769.519,126,53791.038,53815.771,54453.687
56,TIM+F+I+G4,26675.584,127,53605.169,53630.313,54273.077
57,TIM2e,28263.287,122,56770.574,56793.696,57412.186
58,TIM2e+I,27328.906,123,54903.811,54927.330,55550.682
59,TIM2e+G4,26950.244,123,54146.488,54170.007,54793.360
60,TIM2e+I+G4,26865.893,124,53979.787,54003.707,54631.917
61,TIM2+F,28164.793,125,56579.586,56603.910,57236.975
62,TIM2+F+I,27147.050,126,54546.101,54570.834,55208.750
63,TIM2+F+G4,26770.500,126,53793.000,53817.733,54455.649
64,TIM2+F+I+G4,26677.186,127,53608.373,53633.517,54276.281
65,TIM3e,28193.711,122,56631.422,56654.544,57273.034
66,TIM3e+I,27299.172,123,54844.343,54867.862,55491.214
67,TIM3e+G4,26906.593,123,54059.186,54082.705,54706.057
68,TIM3e+I+G4,26827.268,124,53902.537,53926.457,54554.667
69,TIM3+F,28153.076,125,56556.152,56580.477,57213.542
70,TIM3+F+I,27146.823,126,54545.645,54570.378,55208.294
71,TIM3+F+G4,26772.775,126,53797.550,53822.283,54460.199
72,TIM3+F+I+G4,26679.272,127,53612.544,53637.688,54280.451
