No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,13906.750,115,28043.500,28075.338,28602.476
2,JC+I,13559.150,116,27350.300,27382.731,27914.137
3,JC+G4,13241.607,116,26715.215,26747.645,27279.052
4,JC+I+G4,13236.860,117,26707.720,26740.748,27276.417
5,F81+F,13908.093,118,28052.186,28085.820,28625.745
6,F81+F+I,13560.669,119,27359.338,27393.582,27937.757
7,F81+F+G4,13251.723,119,26741.445,26775.690,27319.864
8,F81+F+I+G4,13246.697,120,26733.393,26768.255,27316.673
9,K2P,13591.097,116,27414.194,27446.624,27978.031
10,K2P+I,13232.244,117,26698.488,26731.516,27267.185
11,K2P+G4,12884.203,117,26002.406,26035.435,26571.104
12,K2P+I+G4,12880.103,118,25996.206,26029.839,26569.764
13,HKY+F,13599.217,119,27436.434,27470.678,28014.853
14,HKY+F+I,13234.737,120,26709.473,26744.335,27292.753
15,HKY+F+G4,12890.281,120,26020.562,26055.424,26603.842
16,HKY+F+I+G4,12885.597,121,26013.193,26048.679,26601.333
17,TNe,13584.887,117,27403.774,27436.803,27972.472
18,TNe+I,13229.407,118,26694.813,26728.447,27268.371
19,TNe+G4,12884.201,118,26004.403,26038.036,26577.961
20,TNe+I+G4,12880.067,119,25998.134,26032.379,26576.553
21,TN+F,13570.055,120,27380.111,27414.973,27963.390
22,TN+F+I,13213.425,121,26668.850,26704.335,27256.990
23,TN+F+G4,12880.552,121,26003.104,26038.590,26591.244
24,TN+F+I+G4,12875.678,122,25995.356,26031.472,26588.357
25,K3P,13590.924,117,27415.847,27448.876,27984.545
26,K3P+I,13232.036,118,26700.072,26733.706,27273.630
27,K3P+G4,12883.955,118,26003.910,26037.543,26577.468
28,K3P+I+G4,12879.797,119,25997.594,26031.839,26576.013
29,K3Pu+F,13599.185,120,27438.370,27473.232,28021.649
30,K3Pu+F+I,13234.733,121,26711.465,26746.951,27299.606
31,K3Pu+F+G4,12890.219,121,26022.439,26057.925,26610.579
32,K3Pu+F+I+G4,12885.537,122,26015.075,26051.190,26608.076
33,TPM2+F,13598.724,120,27437.447,27472.309,28020.727
34,TPM2+F+I,13234.142,121,26710.285,26745.770,27298.425
35,TPM2+F+G4,12888.221,121,26018.441,26053.927,26606.582
36,TPM2+F+I+G4,12883.557,122,26011.115,26047.230,26604.116
37,TPM2u+F,13598.724,120,27437.449,27472.311,28020.728
38,TPM2u+F+I,13234.142,121,26710.285,26745.770,27298.425
39,TPM2u+F+G4,12888.221,121,26018.441,26053.927,26606.582
40,TPM2u+F+I+G4,12883.558,122,26011.115,26047.231,26604.116
41,TPM3+F,13599.210,120,27438.420,27473.282,28021.700
42,TPM3+F+I,13232.940,121,26707.879,26743.365,27296.019
43,TPM3+F+G4,12890.280,121,26022.561,26058.046,26610.701
44,TPM3+F+I+G4,12885.570,122,26015.140,26051.256,26608.141
45,TPM3u+F,13599.210,120,27438.420,27473.282,28021.700
46,TPM3u+F+I,13232.940,121,26707.879,26743.365,27296.019
47,TPM3u+F+G4,12890.280,121,26022.561,26058.046,26610.701
