No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,16318.048,101,32838.095,32853.058,33373.307
2,JC+I,15408.757,102,31021.515,31036.785,31562.025
3,JC+G4,15082.727,102,30369.454,30384.724,30909.964
4,JC+I+G4,15048.767,103,30303.535,30319.116,30849.344
5,F81+F,16327.677,104,32863.354,32879.249,33414.463
6,F81+F+I,15416.605,105,31043.211,31059.423,31599.618
7,F81+F+G4,15105.274,105,30420.548,30436.760,30976.955
8,F81+F+I+G4,15068.959,106,30349.917,30366.451,30911.624
9,K2P,15766.225,102,31736.449,31751.720,32276.960
10,K2P+I,14825.286,103,29856.573,29872.154,30402.382
11,K2P+G4,14453.163,103,29112.326,29127.907,29658.135
12,K2P+I+G4,14418.979,104,29045.959,29061.854,29597.067
13,HKY+F,15795.924,105,31801.848,31818.061,32358.256
14,HKY+F+I,14852.959,106,29917.918,29934.452,30479.625
15,HKY+F+G4,14478.672,106,29169.344,29185.878,29731.051
16,HKY+F+I+G4,14445.285,107,29104.569,29121.427,29671.575
17,TNe,15755.755,103,31717.510,31733.091,32263.319
18,TNe+I,14812.514,104,29833.028,29848.923,30384.136
19,TNe+G4,14452.810,104,29113.621,29129.516,29664.729
20,TNe+I+G4,14417.604,105,29045.209,29061.421,29601.616
21,TN+F,15755.989,106,31723.977,31740.511,32285.684
22,TN+F+I,14811.392,107,29836.783,29853.641,30403.789
23,TN+F+G4,14465.407,107,29144.813,29161.671,29711.819
24,TN+F+I+G4,14427.164,108,29070.328,29087.513,29642.633
25,K3P,15761.862,103,31729.725,31745.306,32275.534
26,K3P+I,14820.273,104,29848.545,29864.440,30399.654
27,K3P+G4,14447.376,104,29102.753,29118.648,29653.862
28,K3P+I+G4,14412.950,105,29035.900,29052.113,29592.308
29,K3Pu+F,15791.615,106,31795.231,31811.764,32356.938
30,K3Pu+F+I,14848.279,107,29910.558,29927.415,30477.564
31,K3Pu+F+G4,14473.067,107,29160.133,29176.991,29727.139
32,K3Pu+F+I+G4,14439.451,108,29094.901,29112.087,29667.207
33,TPM2+F,15795.670,106,31803.340,31819.873,32365.046
34,TPM2+F+I,14852.756,107,29919.511,29936.369,30486.517
35,TPM2+F+G4,14477.638,107,29169.277,29186.135,29736.283
36,TPM2+F+I+G4,14444.299,108,29104.598,29121.784,29676.903
37,TPM2u+F,15795.671,106,31803.341,31819.875,32365.048
38,TPM2u+F+I,14852.755,107,29919.511,29936.369,30486.517
39,TPM2u+F+G4,14477.638,107,29169.277,29186.135,29736.283
40,TPM2u+F+I+G4,14444.302,108,29104.604,29121.789,29676.909
41,TPM3+F,15789.021,106,31790.042,31806.576,32351.749
42,TPM3+F+I,14852.351,107,29918.702,29935.560,30485.708
43,TPM3+F+G4,14472.957,107,29159.914,29176.771,29726.920
44,TPM3+F+I+G4,14439.913,108,29095.825,29113.010,29668.130
45,TPM3u+F,15789.021,106,31790.042,31806.576,32351.749
46,TPM3u+F+I,14852.352,107,29918.703,29935.561,30485.709
47,TPM3u+F+G4,14472.957,107,29159.914,29176.771,29726.920
48,TPM3u+F+I+G4,14439.916,108,29095.832,29113.017,29668.137
49,TIMe,15751.414,104,31710.828,31726.724,32261.937
50,TIMe+I,14807.532,105,29825.064,29841.277,30381.472
51,TIMe+G4,14447.022,105,29104.044,29120.256,29660.452
52,TIMe+I+G4,14411.607,106,29035.214,29051.748,29596.921
53,TIM+F,15751.717,107,31717.433,31734.291,32284.439
54,TIM+F+I,14806.778,108,29829.556,29846.741,30401.861
55,TIM+F+G4,14459.803,108,29135.606,29152.792,29707.911
56,TIM+F+I+G4,14421.475,109,29060.950,29078.467,29638.555
57,TIM2e,15754.866,104,31717.731,31733.627,32268.840
58,TIM2e+I,14812.501,105,29835.003,29851.215,30391.410
59,TIM2e+G4,14450.183,105,29110.365,29126.578,29666.773
60,TIM2e+I+G4,14415.105,106,29042.210,29058.744,29603.917
61,TIM2+F,15755.745,107,31725.489,31742.347,32292.495
62,TIM2+F+I,14811.201,108,29838.401,29855.587,30410.706
63,TIM2+F+G4,14464.462,108,29144.925,29162.110,29717.230
64,TIM2+F+I+G4,14426.312,109,29070.623,29088.139,29648.227
65,TIM3e,15749.234,104,31706.469,31722.364,32257.577
66,TIM3e+I,14811.801,105,29833.602,29849.814,30390.010
67,TIM3e+G4,14447.172,105,29104.345,29120.557,29660.752
68,TIM3e+I+G4,14412.253,106,29036.507,29053.040,29598.214
69,TIM3+F,15748.914,107,31711.828,31728.686,32278.834
70,TIM3+F+I,14810.874,108,29837.747,29854.933,30410.052
71,TIM3+F+G4,14459.326,108,29134.651,29151.837,29706.956
72,TIM3+F+I+G4,14421.344,109,29060.689,29078.205,29638.293
73,TVMe,15755.155,105,31720.310,31736.523,32276.718
74,TVMe+I,14819.657,106,29851.315,29867.848,30413.021
75,TVMe+G4,14440.571,106,29093.143,29109.676,29654.850
76,TVMe+I+G4,14406.578,107,29027.156,29044.014,29594.162
77,TVM+F,15785.101,108,31786.203,31803.388,32358.508
78,TVM+F+I,14847.506,109,29913.012,29930.528,30490.616
79,TVM+F+G4,14467.650,109,29153.300,29170.816,29730.904
80,TVM+F+I+G4,14434.414,110,29088.829,29106.679,29671.732
81,SYM,15744.635,106,31701.271,31717.804,32262.978
82,SYM+I,14806.974,107,29827.947,29844.805,30394.953
83,SYM+G4,14440.214,107,29094.429,29111.287,29661.435
84,SYM+I+G4,14405.234,108,29026.467,29043.653,29598.772
