No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,38012.126,117,76258.253,76270.902,76929.962
2,JC+I,36843.064,118,73922.129,73934.999,74599.578
3,JC+G4,35968.751,118,72173.503,72186.374,72850.953
4,JC+I+G4,35926.821,119,72091.642,72104.737,72774.833
5,F81+F,38177.542,120,76595.084,76608.406,77284.016
6,F81+F+I,36962.564,121,74167.127,74180.676,74861.800
7,F81+F+G4,36028.852,121,72299.704,72313.254,72994.377
8,F81+F+I+G4,35989.401,122,72222.802,72236.582,72923.216
9,K2P,37460.724,118,75157.448,75170.318,75834.897
10,K2P+I,36276.667,119,72791.333,72804.428,73474.524
11,K2P+G4,35343.219,119,70924.439,70937.534,71607.630
12,K2P+I+G4,35306.286,120,70852.573,70865.894,71541.505
13,HKY+F,37591.477,121,75424.953,75438.503,76119.626
14,HKY+F+I,36294.311,122,72832.622,72846.402,73533.036
15,HKY+F+G4,35226.212,122,70696.424,70710.204,71396.839
16,HKY+F+I+G4,35190.060,123,70626.120,70640.132,71332.275
17,TNe,37398.180,119,75034.359,75047.454,75717.550
18,TNe+I,36254.343,120,72748.686,72762.007,73437.618
19,TNe+G4,35328.370,120,70896.740,70910.061,71585.672
20,TNe+I+G4,35293.586,121,70829.171,70842.721,71523.844
21,TN+F,37392.652,122,75029.305,75043.084,75729.719
22,TN+F+I,36164.237,123,72574.474,72588.486,73280.629
23,TN+F+G4,35111.208,123,70468.417,70482.429,71174.572
24,TN+F+I+G4,35080.722,124,70409.444,70423.691,71121.341
25,K3P,37450.945,119,75139.890,75152.985,75823.081
26,K3P+I,36266.670,120,72773.339,72786.661,73462.271
27,K3P+G4,35337.139,120,70914.278,70927.599,71603.210
28,K3P+I+G4,35299.617,121,70841.235,70854.784,71535.908
29,K3Pu+F,37590.414,122,75424.828,75438.608,76125.242
30,K3Pu+F+I,36294.311,123,72834.622,72848.634,73540.777
31,K3Pu+F+G4,35223.017,123,70692.033,70706.045,71398.188
32,K3Pu+F+I+G4,35187.047,124,70622.095,70636.341,71333.991
33,TPM2+F,37577.276,122,75398.552,75412.332,76098.966
34,TPM2+F+I,36290.169,123,72826.339,72840.351,73532.494
35,TPM2+F+G4,35221.555,123,70689.109,70703.121,71395.265
36,TPM2+F+I+G4,35185.809,124,70619.618,70633.864,71331.514
37,TPM2u+F,37577.274,122,75398.547,75412.327,76098.961
38,TPM2u+F+I,36290.170,123,72826.339,72840.351,73532.494
39,TPM2u+F+G4,35221.554,123,70689.109,70703.121,71395.264
40,TPM2u+F+I+G4,35185.806,124,70619.612,70633.858,71331.508
41,TPM3+F,37581.180,122,75406.359,75420.139,76106.773
42,TPM3+F+I,36294.207,123,72834.415,72848.427,73540.570
43,TPM3+F+G4,35224.180,123,70694.360,70708.372,71400.515
44,TPM3+F+I+G4,35187.742,124,70623.485,70637.731,71335.381
45,TPM3u+F,37581.181,122,75406.361,75420.141,76106.775
46,TPM3u+F+I,36294.207,123,72834.415,72848.427,73540.570
47,TPM3u+F+G4,35224.179,123,70694.358,70708.370,71400.513
48,TPM3u+F+I+G4,35187.742,124,70623.484,70637.730,71335.380
49,TIMe,37388.455,120,75016.910,75030.231,75705.841
